ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
ADBE,Adobe,Cybersecurity Races to Keep Pace with AI Threats - MSSP Alert,Cybersecurity Races to Keep Pace with AI Threats  MSSP Alert,Cybersecurity Races to Keep Pace with AI Threats - MSSP Alert. Cybersecurity Races to Keep Pace with AI Threats  MSSP Alert,AI,0.55556744,neutral,2025-05-02 15:57:34
ADBE,Adobe,Chocolate-free brownies and coffee-less cold brew: AI might help food brands weather the tariffs - Fast Company,Chocolate-free brownies and coffee-less cold brew: AI might help food brands weather the tariffs  Fast Company,Chocolate-free brownies and coffee-less cold brew: AI might help food brands weather the tariffs - Fast Company. Chocolate-free brownies and coffee-less cold brew: AI might help food brands weather the tariffs  Fast Company,AI,0.6723388,neutral,2025-05-02 08:11:31
ADBE,Adobe,Small Businesses See AI as Driver of Confidence: American Express Study - Supply & Demand Chain Executive,Small Businesses See AI as Driver of Confidence: American Express Study  Supply & Demand Chain Executive,Small Businesses See AI as Driver of Confidence: American Express Study - Supply & Demand Chain Executive. Small Businesses See AI as Driver of Confidence: American Express Study  Supply & Demand Chain Executive,AI,-0.9971193,negative,2025-05-01 14:51:50
ADBE,Adobe,Cavallo Expands Introduces AI-Driven Insights for Distributors - Supply & Demand Chain Executive,Cavallo Expands Introduces AI-Driven Insights for Distributors  Supply & Demand Chain Executive,Cavallo Expands Introduces AI-Driven Insights for Distributors - Supply & Demand Chain Executive. Cavallo Expands Introduces AI-Driven Insights for Distributors  Supply & Demand Chain Executive,AI,-0.549795,negative,2025-05-01 14:41:47
ADBE,Adobe,Resilinc Launches Agentic AI Platform - Supply & Demand Chain Executive,Resilinc Launches Agentic AI Platform  Supply & Demand Chain Executive,Resilinc Launches Agentic AI Platform - Supply & Demand Chain Executive. Resilinc Launches Agentic AI Platform  Supply & Demand Chain Executive,AI,-0.999902,negative,2025-05-01 13:11:28
ADBE,Adobe,The Hidden Risks of Over-Relying on AI in Cybersecurity - MSSP Alert,The Hidden Risks of Over-Relying on AI in Cybersecurity  MSSP Alert,The Hidden Risks of Over-Relying on AI in Cybersecurity - MSSP Alert. The Hidden Risks of Over-Relying on AI in Cybersecurity  MSSP Alert,AI,0.9897546,positive,2025-04-30 17:42:00
ADBE,Adobe,How AI is Revolutionizing Marine Logistics - Supply & Demand Chain Executive,How AI is Revolutionizing Marine Logistics  Supply & Demand Chain Executive,How AI is Revolutionizing Marine Logistics - Supply & Demand Chain Executive. How AI is Revolutionizing Marine Logistics  Supply & Demand Chain Executive,AI,-0.7932259,negative,2025-04-30 09:25:21
ADBE,Adobe,"Higginbotham Acquires Florida-Based CCI, Expands AI Risk Management With CompCorrect Integration - Fort Worth Inc.","Higginbotham Acquires Florida-Based CCI, Expands AI Risk Management With CompCorrect Integration  Fort Worth Inc.","Higginbotham Acquires Florida-Based CCI, Expands AI Risk Management With CompCorrect Integration - Fort Worth Inc.. Higginbotham Acquires Florida-Based CCI, Expands AI Risk Management With CompCorrect Integration  Fort Worth Inc.",AI,-0.9927469,negative,2025-04-29 21:34:42
ADBE,Adobe,"In his first 100 days, Trump’s tariffs are already threatening the AI boom - Fast Company","In his first 100 days, Trump’s tariffs are already threatening the AI boom  Fast Company","In his first 100 days, Trump’s tariffs are already threatening the AI boom - Fast Company. In his first 100 days, Trump’s tariffs are already threatening the AI boom  Fast Company",AI,0.9800031,positive,2025-04-29 16:31:40
ADBE,Adobe,Hackett Group to Fast-Track Enterprise Gen AI Business Transformation - Supply & Demand Chain Executive,Hackett Group to Fast-Track Enterprise Gen AI Business Transformation  Supply & Demand Chain Executive,Hackett Group to Fast-Track Enterprise Gen AI Business Transformation - Supply & Demand Chain Executive. Hackett Group to Fast-Track Enterprise Gen AI Business Transformation  Supply & Demand Chain Executive,AI,-0.99975175,negative,2025-04-29 15:17:16
ADBE,Adobe,SOCRadar Introduces Copilot to Streamline Cybersecurity Operations with AI - MSSP Alert,SOCRadar Introduces Copilot to Streamline Cybersecurity Operations with AI  MSSP Alert,SOCRadar Introduces Copilot to Streamline Cybersecurity Operations with AI - MSSP Alert. SOCRadar Introduces Copilot to Streamline Cybersecurity Operations with AI  MSSP Alert,AI,-0.9629523,negative,2025-04-28 19:57:01
ADBE,Adobe,3 Top Artificial Intelligence (AI) Stocks Ready for a Bull Run - The Motley Fool,3 Top Artificial Intelligence (AI) Stocks Ready for a Bull Run  The Motley Fool,3 Top Artificial Intelligence (AI) Stocks Ready for a Bull Run - The Motley Fool. 3 Top Artificial Intelligence (AI) Stocks Ready for a Bull Run  The Motley Fool,AI,-0.99997807,negative,2025-04-28 16:30:00
ADBE,Adobe,IBM Introduces Agentic AI and Predictive Threat Intelligence to Strengthen Managed Detection and Response Services - MSSP Alert,IBM Introduces Agentic AI and Predictive Threat Intelligence to Strengthen Managed Detection and Response Services  MSSP Alert,IBM Introduces Agentic AI and Predictive Threat Intelligence to Strengthen Managed Detection and Response Services - MSSP Alert. IBM Introduces Agentic AI and Predictive Threat Intelligence to Strengthen Managed Detection and Response Services  MSSP Alert,AI,0.9999534,neutral,2025-04-28 13:12:20
