ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
AMAT,Applied Materials,"Applied Materials (AMAT) Lifts Dividend, Sees $7.1B Q2 on AI Demand - Yahoo Finance","Applied Materials (AMAT) Lifts Dividend, Sees $7.1B Q2 on AI Demand  Yahoo Finance","Applied Materials (AMAT) Lifts Dividend, Sees $7.1B Q2 on AI Demand - Yahoo Finance. Applied Materials (AMAT) Lifts Dividend, Sees $7.1B Q2 on AI Demand  Yahoo Finance",AI,0.9999865,neutral,2025-04-14 07:00:00
AMAT,Applied Materials,These 2 Insiders Bought Millions in Stock of Their AI-Focused Companies As the Nasdaq Plunged Into a Bear Market -- and Each Has a Strong Track Record of Timing Such Buys - The Motley Fool,These 2 Insiders Bought Millions in Stock of Their AI-Focused Companies As the Nasdaq Plunged Into a Bear Market -- and Each Has a Strong Track Record of Timing Such Buys  The Motley Fool,These 2 Insiders Bought Millions in Stock of Their AI-Focused Companies As the Nasdaq Plunged Into a Bear Market -- and Each Has a Strong Track Record of Timing Such Buys - The Motley Fool. These 2 Insiders Bought Millions in Stock of Their AI-Focused Companies As the Nasdaq Plunged Into a Bear Market -- and Each Has a Strong Track Record of Timing Such Buys  The Motley Fool,AI,1.0,neutral,2025-04-10 07:00:00
AMAT,Applied Materials,Is Applied Materials Inc. (AMAT) the Best Semiconductor Stock to Buy According to Billionaires? - Yahoo Finance,Is Applied Materials Inc. (AMAT) the Best Semiconductor Stock to Buy According to Billionaires?  Yahoo Finance,Is Applied Materials Inc. (AMAT) the Best Semiconductor Stock to Buy According to Billionaires? - Yahoo Finance. Is Applied Materials Inc. (AMAT) the Best Semiconductor Stock to Buy According to Billionaires?  Yahoo Finance,AI,-0.6734285,negative,2025-03-26 07:00:00
AMAT,Applied Materials,Applied Materials: AI Agents Mean More DRAM (NASDAQ:AMAT) - Seeking Alpha,Applied Materials: AI Agents Mean More DRAM (NASDAQ:AMAT)  Seeking Alpha,Applied Materials: AI Agents Mean More DRAM (NASDAQ:AMAT) - Seeking Alpha. Applied Materials: AI Agents Mean More DRAM (NASDAQ:AMAT)  Seeking Alpha,AI,-0.9999888,negative,2025-03-21 07:00:00
AMAT,Applied Materials,2 Artificial Intelligence (AI) Stocks That Are Worth Buying the Dip - The Motley Fool,2 Artificial Intelligence (AI) Stocks That Are Worth Buying the Dip  The Motley Fool,2 Artificial Intelligence (AI) Stocks That Are Worth Buying the Dip - The Motley Fool. 2 Artificial Intelligence (AI) Stocks That Are Worth Buying the Dip  The Motley Fool,AI,-0.99995315,negative,2025-03-16 07:00:00
AMAT,Applied Materials,3 No-Brainer Artificial Intelligence (AI) Stocks to Buy With $200 Right Now - The Motley Fool,3 No-Brainer Artificial Intelligence (AI) Stocks to Buy With $200 Right Now  The Motley Fool,3 No-Brainer Artificial Intelligence (AI) Stocks to Buy With $200 Right Now - The Motley Fool. 3 No-Brainer Artificial Intelligence (AI) Stocks to Buy With $200 Right Now  The Motley Fool,AI,-0.9993717,negative,2025-03-03 08:00:00
AMAT,Applied Materials,2 Top Artificial Intelligence Stocks to Buy Right Now - The Motley Fool,2 Top Artificial Intelligence Stocks to Buy Right Now  The Motley Fool,2 Top Artificial Intelligence Stocks to Buy Right Now - The Motley Fool. 2 Top Artificial Intelligence Stocks to Buy Right Now  The Motley Fool,AI,-0.99976486,negative,2025-02-24 08:00:00
AMAT,Applied Materials,"After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued? - Morningstar","After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued?  Morningstar","After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued? - Morningstar. After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued?  Morningstar",AI,0.9943158,neutral,2025-02-24 08:00:00
AMAT,Applied Materials,Applied Materials' SWOT analysis: semiconductor stock poised for AI-driven growth - Investing.com Nigeria,Applied Materials' SWOT analysis: semiconductor stock poised for AI-driven growth  Investing.com Nigeria,Applied Materials' SWOT analysis: semiconductor stock poised for AI-driven growth - Investing.com Nigeria. Applied Materials' SWOT analysis: semiconductor stock poised for AI-driven growth  Investing.com Nigeria,AI,0.5767366,neutral,2025-02-18 08:00:00
AMAT,Applied Materials,"Chip Equipment Stocks Gain Traction as AI Demand, TSMC's Capex, and Semiconductor Expansion Drive Valuations - Yahoo Finance","Chip Equipment Stocks Gain Traction as AI Demand, TSMC's Capex, and Semiconductor Expansion Drive Valuations  Yahoo Finance","Chip Equipment Stocks Gain Traction as AI Demand, TSMC's Capex, and Semiconductor Expansion Drive Valuations - Yahoo Finance. Chip Equipment Stocks Gain Traction as AI Demand, TSMC's Capex, and Semiconductor Expansion Drive Valuations  Yahoo Finance",AI,1.0,neutral,2025-02-06 08:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT) Reports Record $27.18B Revenue in FY 2024, Advances AIx Platform for Semiconductor Innovation - Yahoo Finance","Applied Materials, Inc. (AMAT) Reports Record $27.18B Revenue in FY 2024, Advances AIx Platform for Semiconductor Innovation  Yahoo Finance","Applied Materials, Inc. (AMAT) Reports Record $27.18B Revenue in FY 2024, Advances AIx Platform for Semiconductor Innovation - Yahoo Finance. Applied Materials, Inc. (AMAT) Reports Record $27.18B Revenue in FY 2024, Advances AIx Platform for Semiconductor Innovation  Yahoo Finance",AI,0.9719916,neutral,2025-01-29 08:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): AI Boom Drives Record Revenue and Strong Semiconductor Demand - Yahoo Finance","Applied Materials, Inc. (AMAT): AI Boom Drives Record Revenue and Strong Semiconductor Demand  Yahoo Finance","Applied Materials, Inc. (AMAT): AI Boom Drives Record Revenue and Strong Semiconductor Demand - Yahoo Finance. Applied Materials, Inc. (AMAT): AI Boom Drives Record Revenue and Strong Semiconductor Demand  Yahoo Finance",AI,1.0,neutral,2025-01-27 08:00:00
AMAT,Applied Materials,35 Most Important AI Stocks for 2025 According to JPMorgan - Insider Monkey,35 Most Important AI Stocks for 2025 According to JPMorgan  Insider Monkey,35 Most Important AI Stocks for 2025 According to JPMorgan - Insider Monkey. 35 Most Important AI Stocks for 2025 According to JPMorgan  Insider Monkey,AI,-0.9999993,negative,2025-01-27 08:00:00
AMAT,Applied Materials,"Why Is Applied Materials, Inc. (AMAT) Among the Best Semiconductor Stocks to Buy for the AI Boom? - Yahoo Finance","Why Is Applied Materials, Inc. (AMAT) Among the Best Semiconductor Stocks to Buy for the AI Boom?  Yahoo Finance","Why Is Applied Materials, Inc. (AMAT) Among the Best Semiconductor Stocks to Buy for the AI Boom? - Yahoo Finance. Why Is Applied Materials, Inc. (AMAT) Among the Best Semiconductor Stocks to Buy for the AI Boom?  Yahoo Finance",AI,0.99957544,neutral,2025-01-22 08:00:00
AMAT,Applied Materials,10 Best Semiconductor Stocks to Buy for the AI Boom - Insider Monkey,10 Best Semiconductor Stocks to Buy for the AI Boom  Insider Monkey,10 Best Semiconductor Stocks to Buy for the AI Boom - Insider Monkey. 10 Best Semiconductor Stocks to Buy for the AI Boom  Insider Monkey,AI,0.9996624,neutral,2025-01-21 08:00:00
AMAT,Applied Materials,"KeyBanc Upgrades Applied Materials, Inc. (AMAT) to Overweight, Highlights AI Growth and Attractive Valuation - Insider Monkey","KeyBanc Upgrades Applied Materials, Inc. (AMAT) to Overweight, Highlights AI Growth and Attractive Valuation  Insider Monkey","KeyBanc Upgrades Applied Materials, Inc. (AMAT) to Overweight, Highlights AI Growth and Attractive Valuation - Insider Monkey. KeyBanc Upgrades Applied Materials, Inc. (AMAT) to Overweight, Highlights AI Growth and Attractive Valuation  Insider Monkey",AI,1.0,neutral,2025-01-20 08:00:00
AMAT,Applied Materials,Applied Materials' SWOT analysis: ai-driven growth boosts semiconductor stock - Investing.com India,Applied Materials' SWOT analysis: ai-driven growth boosts semiconductor stock  Investing.com India,Applied Materials' SWOT analysis: ai-driven growth boosts semiconductor stock - Investing.com India. Applied Materials' SWOT analysis: ai-driven growth boosts semiconductor stock  Investing.com India,AI,0.99999964,neutral,2025-01-18 08:00:00
AMAT,Applied Materials,Applied Materials and Lam Research Stock Are Upgraded. Of Course It Has Something to Do With AI. - Barron's,Applied Materials and Lam Research Stock Are Upgraded. Of Course It Has Something to Do With AI.  Barron's,Applied Materials and Lam Research Stock Are Upgraded. Of Course It Has Something to Do With AI. - Barron's. Applied Materials and Lam Research Stock Are Upgraded. Of Course It Has Something to Do With AI.  Barron's,AI,0.91199315,neutral,2025-01-17 08:00:00
AMAT,Applied Materials,"Nvidia, Broadcom Among Goldman Highlights For AI Opportunities - Benzinga","Nvidia, Broadcom Among Goldman Highlights For AI Opportunities  Benzinga","Nvidia, Broadcom Among Goldman Highlights For AI Opportunities - Benzinga. Nvidia, Broadcom Among Goldman Highlights For AI Opportunities  Benzinga",AI,-0.70567906,negative,2025-01-10 08:00:00
AMAT,Applied Materials,Better Artificial Intelligence Stock: Applied Materials vs. ASML - MSN,Better Artificial Intelligence Stock: Applied Materials vs. ASML  MSN,Better Artificial Intelligence Stock: Applied Materials vs. ASML - MSN. Better Artificial Intelligence Stock: Applied Materials vs. ASML  MSN,AI,0.99999964,neutral,2024-12-31 12:07:12
AMAT,Applied Materials,Better Artificial Intelligence Stock: Applied Materials vs. ASML - Yahoo Finance,Better Artificial Intelligence Stock: Applied Materials vs. ASML  Yahoo Finance,Better Artificial Intelligence Stock: Applied Materials vs. ASML - Yahoo Finance. Better Artificial Intelligence Stock: Applied Materials vs. ASML  Yahoo Finance,AI,0.99999905,neutral,2024-12-31 08:00:00
AMAT,Applied Materials,Better Artificial Intelligence Stock: Applied Materials vs. ASML - The Motley Fool,Better Artificial Intelligence Stock: Applied Materials vs. ASML  The Motley Fool,Better Artificial Intelligence Stock: Applied Materials vs. ASML - The Motley Fool. Better Artificial Intelligence Stock: Applied Materials vs. ASML  The Motley Fool,AI,0.9999999,neutral,2024-12-31 08:00:00
AMAT,Applied Materials,Prediction: 1 Struggling AI Stock to Buy in December Could Make Investors a Fortune in 2025 - The Motley Fool,Prediction: 1 Struggling AI Stock to Buy in December Could Make Investors a Fortune in 2025  The Motley Fool,Prediction: 1 Struggling AI Stock to Buy in December Could Make Investors a Fortune in 2025 - The Motley Fool. Prediction: 1 Struggling AI Stock to Buy in December Could Make Investors a Fortune in 2025  The Motley Fool,AI,-0.81417066,negative,2024-12-22 08:00:00
AMAT,Applied Materials,Missed Out on Investing in Nvidia? Here's 1 Artificial Intelligence (AI) Chip Stock to Buy on the Dip - The Motley Fool,Missed Out on Investing in Nvidia? Here's 1 Artificial Intelligence (AI) Chip Stock to Buy on the Dip  The Motley Fool,Missed Out on Investing in Nvidia? Here's 1 Artificial Intelligence (AI) Chip Stock to Buy on the Dip - The Motley Fool. Missed Out on Investing in Nvidia? Here's 1 Artificial Intelligence (AI) Chip Stock to Buy on the Dip  The Motley Fool,AI,-0.96366626,negative,2024-11-23 08:00:00
AMAT,Applied Materials,"After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued? - Morningstar","After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued?  Morningstar","After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued? - Morningstar. After Earnings, Is Applied Materials Stock a Buy, a Sell, or Fairly Valued?  Morningstar",AI,0.9943158,neutral,2024-11-22 08:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): Forecasts Q1 Revenue Below Estimates, Cites Slower Growth Despite AI Chip Demand - Insider Monkey","Applied Materials, Inc. (AMAT): Forecasts Q1 Revenue Below Estimates, Cites Slower Growth Despite AI Chip Demand  Insider Monkey","Applied Materials, Inc. (AMAT): Forecasts Q1 Revenue Below Estimates, Cites Slower Growth Despite AI Chip Demand - Insider Monkey. Applied Materials, Inc. (AMAT): Forecasts Q1 Revenue Below Estimates, Cites Slower Growth Despite AI Chip Demand  Insider Monkey",AI,0.9999949,positive,2024-11-20 08:00:00
AMAT,Applied Materials,Applied Materials (AMAT) Faces Mixed Outlook: Deutsche Bank Maintains Hold Rating - Yahoo Finance,Applied Materials (AMAT) Faces Mixed Outlook: Deutsche Bank Maintains Hold Rating  Yahoo Finance,Applied Materials (AMAT) Faces Mixed Outlook: Deutsche Bank Maintains Hold Rating - Yahoo Finance. Applied Materials (AMAT) Faces Mixed Outlook: Deutsche Bank Maintains Hold Rating  Yahoo Finance,AI,0.97331536,positive,2024-11-20 08:00:00
AMAT,Applied Materials,Applied Materials (AMAT): The AI Chip Leader Poised for Growth Despite Market Volatility - Yahoo Finance,Applied Materials (AMAT): The AI Chip Leader Poised for Growth Despite Market Volatility  Yahoo Finance,Applied Materials (AMAT): The AI Chip Leader Poised for Growth Despite Market Volatility - Yahoo Finance. Applied Materials (AMAT): The AI Chip Leader Poised for Growth Despite Market Volatility  Yahoo Finance,AI,1.0,neutral,2024-11-18 08:00:00
AMAT,Applied Materials,"Applied Materials reports $7.05bn Q4 revenue, forecasts weaker demand outside AI chips - Tech Monitor","Applied Materials reports $7.05bn Q4 revenue, forecasts weaker demand outside AI chips  Tech Monitor","Applied Materials reports $7.05bn Q4 revenue, forecasts weaker demand outside AI chips - Tech Monitor. Applied Materials reports $7.05bn Q4 revenue, forecasts weaker demand outside AI chips  Tech Monitor",AI,0.9999944,positive,2024-11-15 08:00:00
AMAT,Applied Materials,"Applied Materials Stock Rises 3% on Q4 Earnings Beat, Driven by AI Demand Surge - Yahoo Finance","Applied Materials Stock Rises 3% on Q4 Earnings Beat, Driven by AI Demand Surge  Yahoo Finance","Applied Materials Stock Rises 3% on Q4 Earnings Beat, Driven by AI Demand Surge - Yahoo Finance. Applied Materials Stock Rises 3% on Q4 Earnings Beat, Driven by AI Demand Surge  Yahoo Finance",AI,1.0,neutral,2024-11-15 08:00:00
AMAT,Applied Materials,Applied Materials' revenue forecast signals weak spending outside AI chips - Reuters,Applied Materials' revenue forecast signals weak spending outside AI chips  Reuters,Applied Materials' revenue forecast signals weak spending outside AI chips - Reuters. Applied Materials' revenue forecast signals weak spending outside AI chips  Reuters,AI,0.9999993,positive,2024-11-14 08:00:00
AMAT,Applied Materials,Applied Materials Q4 Preview: Can Regulatory Headwinds Trump AI Catalysts? (NASDAQ:AMAT) - Seeking Alpha,Applied Materials Q4 Preview: Can Regulatory Headwinds Trump AI Catalysts? (NASDAQ:AMAT)  Seeking Alpha,Applied Materials Q4 Preview: Can Regulatory Headwinds Trump AI Catalysts? (NASDAQ:AMAT) - Seeking Alpha. Applied Materials Q4 Preview: Can Regulatory Headwinds Trump AI Catalysts? (NASDAQ:AMAT)  Seeking Alpha,AI,0.9720625,neutral,2024-11-11 08:00:00
AMAT,Applied Materials,AMAT Stock To Benefit From Higher AI Chip Demand? - Forbes,AMAT Stock To Benefit From Higher AI Chip Demand?  Forbes,AMAT Stock To Benefit From Higher AI Chip Demand? - Forbes. AMAT Stock To Benefit From Higher AI Chip Demand?  Forbes,AI,1.0,neutral,2024-10-24 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT) Forecasts Strong Revenue Growth Driven by AI Expansion, Expected to Reach $37 Billion by 2028 - Yahoo Finance","Applied Materials, Inc. (AMAT) Forecasts Strong Revenue Growth Driven by AI Expansion, Expected to Reach $37 Billion by 2028  Yahoo Finance","Applied Materials, Inc. (AMAT) Forecasts Strong Revenue Growth Driven by AI Expansion, Expected to Reach $37 Billion by 2028 - Yahoo Finance. Applied Materials, Inc. (AMAT) Forecasts Strong Revenue Growth Driven by AI Expansion, Expected to Reach $37 Billion by 2028  Yahoo Finance",AI,1.0,neutral,2024-10-12 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): Goldman Sachs Is Bullish On This AI Stock - Insider Monkey","Applied Materials, Inc. (AMAT): Goldman Sachs Is Bullish On This AI Stock  Insider Monkey","Applied Materials, Inc. (AMAT): Goldman Sachs Is Bullish On This AI Stock - Insider Monkey. Applied Materials, Inc. (AMAT): Goldman Sachs Is Bullish On This AI Stock  Insider Monkey",AI,1.0,neutral,2024-09-19 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): Among the Worst Performing AI Stocks Recently - Insider Monkey","Applied Materials, Inc. (AMAT): Among the Worst Performing AI Stocks Recently  Insider Monkey","Applied Materials, Inc. (AMAT): Among the Worst Performing AI Stocks Recently - Insider Monkey. Applied Materials, Inc. (AMAT): Among the Worst Performing AI Stocks Recently  Insider Monkey",AI,0.99968636,positive,2024-09-14 07:00:00
AMAT,Applied Materials,Applied Materials automates warehouse ops as AI accelerates chip demand - cio.com,Applied Materials automates warehouse ops as AI accelerates chip demand  cio.com,Applied Materials automates warehouse ops as AI accelerates chip demand - cio.com. Applied Materials automates warehouse ops as AI accelerates chip demand  cio.com,AI,-0.95547426,negative,2024-09-13 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): A Very Important AI Stock According to BlackRock - Yahoo Finance","Applied Materials, Inc. (AMAT): A Very Important AI Stock According to BlackRock  Yahoo Finance","Applied Materials, Inc. (AMAT): A Very Important AI Stock According to BlackRock - Yahoo Finance. Applied Materials, Inc. (AMAT): A Very Important AI Stock According to BlackRock  Yahoo Finance",AI,-0.9998989,negative,2024-09-12 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): Trending AI Stock on Latest Analyst Ratings and News - Insider Monkey","Applied Materials, Inc. (AMAT): Trending AI Stock on Latest Analyst Ratings and News  Insider Monkey","Applied Materials, Inc. (AMAT): Trending AI Stock on Latest Analyst Ratings and News - Insider Monkey. Applied Materials, Inc. (AMAT): Trending AI Stock on Latest Analyst Ratings and News  Insider Monkey",AI,-0.9999883,negative,2024-08-27 07:00:00
AMAT,Applied Materials,Is Applied Materials (AMAT) the Best AI Semiconductor Stock to Buy According to Jim Cramer - Insider Monkey,Is Applied Materials (AMAT) the Best AI Semiconductor Stock to Buy According to Jim Cramer  Insider Monkey,Is Applied Materials (AMAT) the Best AI Semiconductor Stock to Buy According to Jim Cramer - Insider Monkey. Is Applied Materials (AMAT) the Best AI Semiconductor Stock to Buy According to Jim Cramer  Insider Monkey,AI,0.9981754,neutral,2024-08-26 07:00:00
AMAT,Applied Materials,"Applied Materials, Inc. (AMAT): This AI Stock Is Trending Right Now - Insider Monkey","Applied Materials, Inc. (AMAT): This AI Stock Is Trending Right Now  Insider Monkey","Applied Materials, Inc. (AMAT): This AI Stock Is Trending Right Now - Insider Monkey. Applied Materials, Inc. (AMAT): This AI Stock Is Trending Right Now  Insider Monkey",AI,-0.9999993,negative,2024-08-19 07:00:00
AMAT,Applied Materials,"Applied Materials, boosted by AI, is well positioned heading into 2025, analysts say - MarketWatch","Applied Materials, boosted by AI, is well positioned heading into 2025, analysts say  MarketWatch","Applied Materials, boosted by AI, is well positioned heading into 2025, analysts say - MarketWatch. Applied Materials, boosted by AI, is well positioned heading into 2025, analysts say  MarketWatch",AI,1.0,neutral,2024-08-16 07:00:00
