ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
F,Ford,F Lite is an open AI image model built for copyright safety - the-decoder.com,F Lite is an open AI image model built for copyright safety  the-decoder.com,F Lite is an open AI image model built for copyright safety - the-decoder.com. F Lite is an open AI image model built for copyright safety  the-decoder.com,AI,-0.99998486,negative,2025-05-04 10:20:38
F,Ford,"Trump's First 100 Days Fuel Gold, Crush Stocks: BofA Strategist Sees Soft Macro Masked By Hard AI Bets - Benzinga","Trump's First 100 Days Fuel Gold, Crush Stocks: BofA Strategist Sees Soft Macro Masked By Hard AI Bets  Benzinga","Trump's First 100 Days Fuel Gold, Crush Stocks: BofA Strategist Sees Soft Macro Masked By Hard AI Bets - Benzinga. Trump's First 100 Days Fuel Gold, Crush Stocks: BofA Strategist Sees Soft Macro Masked By Hard AI Bets  Benzinga",AI,-0.9567393,negative,2025-05-02 15:12:10
F,Ford,AI Enterprise Solutions Provider YXT.com Releases Complete 2024 Financial Performance Data - Stock Titan,AI Enterprise Solutions Provider YXT.com Releases Complete 2024 Financial Performance Data  Stock Titan,AI Enterprise Solutions Provider YXT.com Releases Complete 2024 Financial Performance Data - Stock Titan. AI Enterprise Solutions Provider YXT.com Releases Complete 2024 Financial Performance Data  Stock Titan,AI,-0.9999701,negative,2025-04-24 11:00:00
F,Ford,"Vertiv Stock Soars 21% After AI-Fueled Blowout Quarter, Raises F - GuruFocus","Vertiv Stock Soars 21% After AI-Fueled Blowout Quarter, Raises F  GuruFocus","Vertiv Stock Soars 21% After AI-Fueled Blowout Quarter, Raises F - GuruFocus. Vertiv Stock Soars 21% After AI-Fueled Blowout Quarter, Raises F  GuruFocus",AI,-0.93392056,negative,2025-04-23 19:30:46
F,Ford,This Artificial Intelligence Challenger Is Down 49%. Is It Time to Buy the Dip on the Stock? - Yahoo Finance,This Artificial Intelligence Challenger Is Down 49%. Is It Time to Buy the Dip on the Stock?  Yahoo Finance,This Artificial Intelligence Challenger Is Down 49%. Is It Time to Buy the Dip on the Stock? - Yahoo Finance. This Artificial Intelligence Challenger Is Down 49%. Is It Time to Buy the Dip on the Stock?  Yahoo Finance,AI,0.999607,positive,2025-04-14 08:19:00
F,Ford,Quantum Computing Stocks: D-Wave Touts AI Synergies At Conference - Investor's Business Daily,Quantum Computing Stocks: D-Wave Touts AI Synergies At Conference  Investor's Business Daily,Quantum Computing Stocks: D-Wave Touts AI Synergies At Conference - Investor's Business Daily. Quantum Computing Stocks: D-Wave Touts AI Synergies At Conference  Investor's Business Daily,AI,-0.98578066,negative,2025-03-31 07:00:00
F,Ford,Looking for a Dirt Cheap AI Stock With Massive Upside? 1 Analyst Firm Thinks Super Micro Computer Can Soar 66%. - Yahoo Finance,Looking for a Dirt Cheap AI Stock With Massive Upside? 1 Analyst Firm Thinks Super Micro Computer Can Soar 66%.  Yahoo Finance,Looking for a Dirt Cheap AI Stock With Massive Upside? 1 Analyst Firm Thinks Super Micro Computer Can Soar 66%. - Yahoo Finance. Looking for a Dirt Cheap AI Stock With Massive Upside? 1 Analyst Firm Thinks Super Micro Computer Can Soar 66%.  Yahoo Finance,AI,0.98022115,neutral,2025-03-22 07:00:00
F,Ford,Ford Credit CEO Joins Cerence Board: Digital Transformation Expert to Guide AI Strategy - Stock Titan,Ford Credit CEO Joins Cerence Board: Digital Transformation Expert to Guide AI Strategy  Stock Titan,Ford Credit CEO Joins Cerence Board: Digital Transformation Expert to Guide AI Strategy - Stock Titan. Ford Credit CEO Joins Cerence Board: Digital Transformation Expert to Guide AI Strategy  Stock Titan,AI,-0.9998921,negative,2025-03-20 07:00:00
F,Ford,Cerence AI appoints ex-Ford exec to board - Investing.com,Cerence AI appoints ex-Ford exec to board  Investing.com,Cerence AI appoints ex-Ford exec to board - Investing.com. Cerence AI appoints ex-Ford exec to board  Investing.com,AI,-0.9999927,negative,2025-03-20 07:00:00
F,Ford,Cerence AI Adds Former Ford Executive Marion Harris to its Board of Directors - GlobeNewswire,Cerence AI Adds Former Ford Executive Marion Harris to its Board of Directors  GlobeNewswire,Cerence AI Adds Former Ford Executive Marion Harris to its Board of Directors - GlobeNewswire. Cerence AI Adds Former Ford Executive Marion Harris to its Board of Directors  GlobeNewswire,AI,-0.9972996,negative,2025-03-20 07:00:00
F,Ford,The Top Nasdaq-100 Stock in 2025 Has Nothing to Do With Artificial Intelligence (AI) - Yahoo Finance,The Top Nasdaq-100 Stock in 2025 Has Nothing to Do With Artificial Intelligence (AI)  Yahoo Finance,The Top Nasdaq-100 Stock in 2025 Has Nothing to Do With Artificial Intelligence (AI) - Yahoo Finance. The Top Nasdaq-100 Stock in 2025 Has Nothing to Do With Artificial Intelligence (AI)  Yahoo Finance,AI,-0.9999535,negative,2025-03-11 07:00:00
F,Ford,Growing AI energy demand means 'a lot more oil and gas' - Yahoo Finance,Growing AI energy demand means 'a lot more oil and gas'  Yahoo Finance,Growing AI energy demand means 'a lot more oil and gas' - Yahoo Finance. Growing AI energy demand means 'a lot more oil and gas'  Yahoo Finance,AI,0.9999474,neutral,2025-03-10 07:00:00
F,Ford,This AI Company Just Landed $240M to Make Fighter Jets Fly Themselves - Stock Titan,This AI Company Just Landed $240M to Make Fighter Jets Fly Themselves  Stock Titan,This AI Company Just Landed $240M to Make Fighter Jets Fly Themselves - Stock Titan. This AI Company Just Landed $240M to Make Fighter Jets Fly Themselves  Stock Titan,AI,-0.9999032,negative,2025-03-06 08:00:00
F,Ford,"Futures Tumble; Marvell, JD.com Are Big Movers - Investor's Business Daily","Futures Tumble; Marvell, JD.com Are Big Movers  Investor's Business Daily","Futures Tumble; Marvell, JD.com Are Big Movers - Investor's Business Daily. Futures Tumble; Marvell, JD.com Are Big Movers  Investor's Business Daily",AI,-0.999967,negative,2025-03-06 08:00:00
F,Ford,RTX's Raytheon demonstrates first-ever AI/ML-powered Radar Warning Receiver for 4th generation aircraft - RTX,RTX's Raytheon demonstrates first-ever AI/ML-powered Radar Warning Receiver for 4th generation aircraft  RTX,RTX's Raytheon demonstrates first-ever AI/ML-powered Radar Warning Receiver for 4th generation aircraft - RTX. RTX's Raytheon demonstrates first-ever AI/ML-powered Radar Warning Receiver for 4th generation aircraft  RTX,AI,0.9999957,neutral,2025-02-24 08:00:00
F,Ford,Nvidia slashes stake in emerging rival as AI arms race heats up - TheStreet,Nvidia slashes stake in emerging rival as AI arms race heats up  TheStreet,Nvidia slashes stake in emerging rival as AI arms race heats up - TheStreet. Nvidia slashes stake in emerging rival as AI arms race heats up  TheStreet,AI,-0.9649476,negative,2025-02-18 08:00:00
F,Ford,ServiceNow vaunts agentic AI and announces 22% annual revenue growth - Computer Weekly,ServiceNow vaunts agentic AI and announces 22% annual revenue growth  Computer Weekly,ServiceNow vaunts agentic AI and announces 22% annual revenue growth - Computer Weekly. ServiceNow vaunts agentic AI and announces 22% annual revenue growth  Computer Weekly,AI,-0.99323565,negative,2025-01-30 08:00:00
F,Ford,"Stock market today: Nasdaq clobbered, Nvidia sinks 17% while Dow stages comeback as AI fears shake markets - Yahoo Finance","Stock market today: Nasdaq clobbered, Nvidia sinks 17% while Dow stages comeback as AI fears shake markets  Yahoo Finance","Stock market today: Nasdaq clobbered, Nvidia sinks 17% while Dow stages comeback as AI fears shake markets - Yahoo Finance. Stock market today: Nasdaq clobbered, Nvidia sinks 17% while Dow stages comeback as AI fears shake markets  Yahoo Finance",AI,-0.998987,negative,2025-01-27 08:00:00
F,Ford,"Stocks react to DeepSeek AI, tech earnings, Fed meeting: 3 Things - Yahoo Finance","Stocks react to DeepSeek AI, tech earnings, Fed meeting: 3 Things  Yahoo Finance","Stocks react to DeepSeek AI, tech earnings, Fed meeting: 3 Things - Yahoo Finance. Stocks react to DeepSeek AI, tech earnings, Fed meeting: 3 Things  Yahoo Finance",AI,-0.9999989,negative,2025-01-27 08:00:00
F,Ford,"This Maker Of Parts For Boeing 737s, F-35 Fighter Jets Is Also An AI Play - Investor's Business Daily","This Maker Of Parts For Boeing 737s, F-35 Fighter Jets Is Also An AI Play  Investor's Business Daily","This Maker Of Parts For Boeing 737s, F-35 Fighter Jets Is Also An AI Play - Investor's Business Daily. This Maker Of Parts For Boeing 737s, F-35 Fighter Jets Is Also An AI Play  Investor's Business Daily",AI,-0.99998605,negative,2025-01-24 08:00:00
F,Ford,"Stock market today: Nasdaq jumps, S&P 500 nears record as Netflix, 'Stargate' AI project invigorate tech - Yahoo Finance","Stock market today: Nasdaq jumps, S&P 500 nears record as Netflix, 'Stargate' AI project invigorate tech  Yahoo Finance","Stock market today: Nasdaq jumps, S&P 500 nears record as Netflix, 'Stargate' AI project invigorate tech - Yahoo Finance. Stock market today: Nasdaq jumps, S&P 500 nears record as Netflix, 'Stargate' AI project invigorate tech  Yahoo Finance",AI,-0.9996748,negative,2025-01-22 08:00:00
F,Ford,"Why Nvidia, Microsoft, Oracle, Arm, and Other AI Stocks Are Surging Wednesday - Investopedia","Why Nvidia, Microsoft, Oracle, Arm, and Other AI Stocks Are Surging Wednesday  Investopedia","Why Nvidia, Microsoft, Oracle, Arm, and Other AI Stocks Are Surging Wednesday - Investopedia. Why Nvidia, Microsoft, Oracle, Arm, and Other AI Stocks Are Surging Wednesday  Investopedia",AI,-0.9333943,negative,2025-01-22 08:00:00
F,Ford,"As a co-pilot in Ford cars, AI predicts failures - Valor International","As a co-pilot in Ford cars, AI predicts failures  Valor International","As a co-pilot in Ford cars, AI predicts failures - Valor International. As a co-pilot in Ford cars, AI predicts failures  Valor International",AI,-0.91123194,negative,2025-01-15 08:00:00
F,Ford,Light AI Completes Offering and Announces Trading - Nasdaq,Light AI Completes Offering and Announces Trading  Nasdaq,Light AI Completes Offering and Announces Trading - Nasdaq. Light AI Completes Offering and Announces Trading  Nasdaq,AI,-0.999979,negative,2024-12-30 08:00:00
F,Ford,3 AI Stocks That Could Each Be Worth $4 Trillion in 2025 - TradingView,3 AI Stocks That Could Each Be Worth $4 Trillion in 2025  TradingView,3 AI Stocks That Could Each Be Worth $4 Trillion in 2025 - TradingView. 3 AI Stocks That Could Each Be Worth $4 Trillion in 2025  TradingView,AI,-0.9999989,negative,2024-12-25 08:00:00
F,Ford,"Ford Stock is Down 3%. We Asked our AI What It 'Thinks' About That... - Forexlive | Forex News, Technical Analysis & Trading Tools","Ford Stock is Down 3%. We Asked our AI What It 'Thinks' About That...  Forexlive | Forex News, Technical Analysis & Trading Tools","Ford Stock is Down 3%. We Asked our AI What It 'Thinks' About That... - Forexlive | Forex News, Technical Analysis & Trading Tools. Ford Stock is Down 3%. We Asked our AI What It 'Thinks' About That...  Forexlive | Forex News, Technical Analysis & Trading Tools",AI,-0.83214843,negative,2024-12-16 08:00:00
F,Ford,Billionaire Israel Englander Sold 96% of Millennium's Stake in Artificial Intelligence (AI) Giant Palantir and Is Piling Into This Beloved Consumer Brand - The Motley Fool,Billionaire Israel Englander Sold 96% of Millennium's Stake in Artificial Intelligence (AI) Giant Palantir and Is Piling Into This Beloved Consumer Brand  The Motley Fool,Billionaire Israel Englander Sold 96% of Millennium's Stake in Artificial Intelligence (AI) Giant Palantir and Is Piling Into This Beloved Consumer Brand - The Motley Fool. Billionaire Israel Englander Sold 96% of Millennium's Stake in Artificial Intelligence (AI) Giant Palantir and Is Piling Into This Beloved Consumer Brand  The Motley Fool,AI,-0.9999924,negative,2024-12-05 08:00:00
F,Ford,Salesforce headed for record high as firm promises AI boost - Investment News,Salesforce headed for record high as firm promises AI boost  Investment News,Salesforce headed for record high as firm promises AI boost - Investment News. Salesforce headed for record high as firm promises AI boost  Investment News,AI,1.0,neutral,2024-12-04 08:00:00
F,Ford,"Nvidia Bought 6 Artificial Intelligence (AI) Stocks, but This 1 Has Soared the Most - Yahoo Finance","Nvidia Bought 6 Artificial Intelligence (AI) Stocks, but This 1 Has Soared the Most  Yahoo Finance","Nvidia Bought 6 Artificial Intelligence (AI) Stocks, but This 1 Has Soared the Most - Yahoo Finance. Nvidia Bought 6 Artificial Intelligence (AI) Stocks, but This 1 Has Soared the Most  Yahoo Finance",AI,-0.85932106,negative,2024-12-02 08:00:00
F,Ford,Brookfield Corp.: AI Boom Represents Huge Potential For BN To Grow Further. - Seeking Alpha,Brookfield Corp.: AI Boom Represents Huge Potential For BN To Grow Further.  Seeking Alpha,Brookfield Corp.: AI Boom Represents Huge Potential For BN To Grow Further. - Seeking Alpha. Brookfield Corp.: AI Boom Represents Huge Potential For BN To Grow Further.  Seeking Alpha,AI,1.0,neutral,2024-10-15 07:00:00
F,Ford,"Facebook, Instagram users outraged over AI training with user posts: ‘F–k right off’ - New York Post","Facebook, Instagram users outraged over AI training with user posts: ‘F–k right off’  New York Post","Facebook, Instagram users outraged over AI training with user posts: ‘F–k right off’ - New York Post. Facebook, Instagram users outraged over AI training with user posts: ‘F–k right off’  New York Post",AI,-0.99997616,negative,2024-10-02 07:00:00
F,Ford,"Why Artificial Intelligence (AI) Stocks Broadcom, TSMC, and Arm Holdings Were Moving Higher Today - Yahoo Finance","Why Artificial Intelligence (AI) Stocks Broadcom, TSMC, and Arm Holdings Were Moving Higher Today  Yahoo Finance","Why Artificial Intelligence (AI) Stocks Broadcom, TSMC, and Arm Holdings Were Moving Higher Today - Yahoo Finance. Why Artificial Intelligence (AI) Stocks Broadcom, TSMC, and Arm Holdings Were Moving Higher Today  Yahoo Finance",AI,0.95391464,neutral,2024-09-19 07:00:00
F,Ford,"These Stocks Are Moving the Most Today: Target, Macy’s, JD.com, Ford, TJX, American Express, BigBear.ai, and More - Barron's","These Stocks Are Moving the Most Today: Target, Macy’s, JD.com, Ford, TJX, American Express, BigBear.ai, and More  Barron's","These Stocks Are Moving the Most Today: Target, Macy’s, JD.com, Ford, TJX, American Express, BigBear.ai, and More - Barron's. These Stocks Are Moving the Most Today: Target, Macy’s, JD.com, Ford, TJX, American Express, BigBear.ai, and More  Barron's",AI,-0.99998415,negative,2024-08-21 07:00:00
