ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
GM,General Motors,"Markets News, March 27, 2025: Stocks Close Lower for 2nd Straight Day; GM Leads Auto Sector Selloff After Trump Announces Tariffs - Investopedia","Markets News, March 27, 2025: Stocks Close Lower for 2nd Straight Day; GM Leads Auto Sector Selloff After Trump Announces Tariffs  Investopedia","Markets News, March 27, 2025: Stocks Close Lower for 2nd Straight Day; GM Leads Auto Sector Selloff After Trump Announces Tariffs - Investopedia. Markets News, March 27, 2025: Stocks Close Lower for 2nd Straight Day; GM Leads Auto Sector Selloff After Trump Announces Tariffs  Investopedia",AI,-0.98849726,negative,2025-03-27 07:00:00
GM,General Motors,"GM partners with Silicon Valley chipmaker Nvidia on AI, self-driving - AOL.com","GM partners with Silicon Valley chipmaker Nvidia on AI, self-driving  AOL.com","GM partners with Silicon Valley chipmaker Nvidia on AI, self-driving - AOL.com. GM partners with Silicon Valley chipmaker Nvidia on AI, self-driving  AOL.com",AI,-0.9999862,negative,2025-03-25 07:00:00
GM,General Motors,"Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two 'personal AI supercomputers' - TechCrunch","Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two 'personal AI supercomputers'  TechCrunch","Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two 'personal AI supercomputers' - TechCrunch. Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two 'personal AI supercomputers'  TechCrunch",AI,-0.98519915,negative,2025-03-20 07:00:00
GM,General Motors,Can GM's Nvidia-Powered AI Push Steer Stock Away From Looming Death Cross? - Benzinga,Can GM's Nvidia-Powered AI Push Steer Stock Away From Looming Death Cross?  Benzinga,Can GM's Nvidia-Powered AI Push Steer Stock Away From Looming Death Cross? - Benzinga. Can GM's Nvidia-Powered AI Push Steer Stock Away From Looming Death Cross?  Benzinga,AI,0.98199505,neutral,2025-03-19 07:00:00
GM,General Motors,Tesla Rises On Taxi Permit. Nvidia-GM Deal Could Be Roadblock. - Investor's Business Daily,Tesla Rises On Taxi Permit. Nvidia-GM Deal Could Be Roadblock.  Investor's Business Daily,Tesla Rises On Taxi Permit. Nvidia-GM Deal Could Be Roadblock. - Investor's Business Daily. Tesla Rises On Taxi Permit. Nvidia-GM Deal Could Be Roadblock.  Investor's Business Daily,AI,-0.9966575,negative,2025-03-19 07:00:00
GM,General Motors,"Nvidia GTC: Stock over 2% down amid General Motors partnership, new AI chip announcements - The Economic Times","Nvidia GTC: Stock over 2% down amid General Motors partnership, new AI chip announcements  The Economic Times","Nvidia GTC: Stock over 2% down amid General Motors partnership, new AI chip announcements - The Economic Times. Nvidia GTC: Stock over 2% down amid General Motors partnership, new AI chip announcements  The Economic Times",AI,0.9990693,positive,2025-03-19 07:00:00
GM,General Motors,"These Stocks Moved the Most Today: Nvidia, Intel, Tesla, Alphabet, XPeng, BigBear.ai, Lucid, Sarepta, and More - Barron's","These Stocks Moved the Most Today: Nvidia, Intel, Tesla, Alphabet, XPeng, BigBear.ai, Lucid, Sarepta, and More  Barron's","These Stocks Moved the Most Today: Nvidia, Intel, Tesla, Alphabet, XPeng, BigBear.ai, Lucid, Sarepta, and More - Barron's. These Stocks Moved the Most Today: Nvidia, Intel, Tesla, Alphabet, XPeng, BigBear.ai, Lucid, Sarepta, and More  Barron's",AI,-0.99997056,negative,2025-03-18 09:15:55
GM,General Motors,"NVIDIA (NVDA) & General Motors (GM) announce AI, factory & next-gen vehicle deal - Shacknews","NVIDIA (NVDA) & General Motors (GM) announce AI, factory & next-gen vehicle deal  Shacknews","NVIDIA (NVDA) & General Motors (GM) announce AI, factory & next-gen vehicle deal - Shacknews. NVIDIA (NVDA) & General Motors (GM) announce AI, factory & next-gen vehicle deal  Shacknews",AI,0.5061493,neutral,2025-03-18 07:00:00
GM,General Motors,Nvidia Announces AI Partnership With GM - Barron's,Nvidia Announces AI Partnership With GM  Barron's,Nvidia Announces AI Partnership With GM - Barron's. Nvidia Announces AI Partnership With GM  Barron's,AI,-0.72612166,negative,2025-03-18 07:00:00
GM,General Motors,"Nvidia Showcases Latest AI Chips, Unveils GM Partnership at GTC Conference - Investopedia","Nvidia Showcases Latest AI Chips, Unveils GM Partnership at GTC Conference  Investopedia","Nvidia Showcases Latest AI Chips, Unveils GM Partnership at GTC Conference - Investopedia. Nvidia Showcases Latest AI Chips, Unveils GM Partnership at GTC Conference  Investopedia",AI,-0.9950269,negative,2025-03-18 07:00:00
