ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
HSBC,HSBC,NVIDIA (NVDA) Downgraded by HSBC as AI GPU Momentum Shows Signs of Slowing - Yahoo Finance,NVIDIA (NVDA) Downgraded by HSBC as AI GPU Momentum Shows Signs of Slowing  Yahoo Finance,NVIDIA (NVDA) Downgraded by HSBC as AI GPU Momentum Shows Signs of Slowing - Yahoo Finance. NVIDIA (NVDA) Downgraded by HSBC as AI GPU Momentum Shows Signs of Slowing  Yahoo Finance,AI,0.9999831,positive,2025-04-07 07:00:00
HSBC,HSBC,Nvidia Slips Into Bearish Trend As HSBC Downgrades AI Giant - Benzinga,Nvidia Slips Into Bearish Trend As HSBC Downgrades AI Giant  Benzinga,Nvidia Slips Into Bearish Trend As HSBC Downgrades AI Giant - Benzinga. Nvidia Slips Into Bearish Trend As HSBC Downgrades AI Giant  Benzinga,AI,0.9985183,positive,2025-04-04 12:15:52
HSBC,HSBC,"Nvidia Tumbles as HSBC Slashes Target, Warns of AI Slowdown - Yahoo Finance","Nvidia Tumbles as HSBC Slashes Target, Warns of AI Slowdown  Yahoo Finance","Nvidia Tumbles as HSBC Slashes Target, Warns of AI Slowdown - Yahoo Finance. Nvidia Tumbles as HSBC Slashes Target, Warns of AI Slowdown  Yahoo Finance",AI,0.98301965,positive,2025-04-03 07:00:00
HSBC,HSBC,HSBC launches first multi-asset index driven by AI and big data - FinTech Futures,HSBC launches first multi-asset index driven by AI and big data  FinTech Futures,HSBC launches first multi-asset index driven by AI and big data - FinTech Futures. HSBC launches first multi-asset index driven by AI and big data  FinTech Futures,AI,-0.9999496,negative,2025-03-30 18:59:58
HSBC,HSBC,"Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC survey - MSN","Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC survey  MSN","Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC survey - MSN. Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC survey  MSN",AI,0.9999956,neutral,2025-03-27 15:58:50
HSBC,HSBC,"Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC - South China Morning Post","Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC  South China Morning Post","Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC - South China Morning Post. Investors bank on more AI-driven stock upside in Hong Kong, Singapore, US: HSBC  South China Morning Post",AI,0.9999969,neutral,2025-03-27 07:00:00
HSBC,HSBC,Alibaba Stock Drops. Its Chairman Sees an AI Bubble. - Barron's,Alibaba Stock Drops. Its Chairman Sees an AI Bubble.  Barron's,Alibaba Stock Drops. Its Chairman Sees an AI Bubble. - Barron's. Alibaba Stock Drops. Its Chairman Sees an AI Bubble.  Barron's,AI,-0.9991455,negative,2025-03-25 07:00:00
HSBC,HSBC,"HSBC Research Constructive on CN AI Stocks in Mid-to-Long Term, Expects Baidu/ Lenovo/ Alibaba to Catch Up - AASTOCKS.com","HSBC Research Constructive on CN AI Stocks in Mid-to-Long Term, Expects Baidu/ Lenovo/ Alibaba to Catch Up  AASTOCKS.com","HSBC Research Constructive on CN AI Stocks in Mid-to-Long Term, Expects Baidu/ Lenovo/ Alibaba to Catch Up - AASTOCKS.com. HSBC Research Constructive on CN AI Stocks in Mid-to-Long Term, Expects Baidu/ Lenovo/ Alibaba to Catch Up  AASTOCKS.com",AI,0.99830294,neutral,2025-03-06 08:00:00
HSBC,HSBC,"HSBC cuts NVIDIA stock price target to $175, maintains Buy - Investing.com","HSBC cuts NVIDIA stock price target to $175, maintains Buy  Investing.com","HSBC cuts NVIDIA stock price target to $175, maintains Buy - Investing.com. HSBC cuts NVIDIA stock price target to $175, maintains Buy  Investing.com",AI,-0.5682003,negative,2025-02-19 08:00:00
HSBC,HSBC,HSBC Mexico Taps OneMeta's Revolutionary AI Translation Tech for Global Cybersecurity Event - Stock Titan,HSBC Mexico Taps OneMeta's Revolutionary AI Translation Tech for Global Cybersecurity Event  Stock Titan,HSBC Mexico Taps OneMeta's Revolutionary AI Translation Tech for Global Cybersecurity Event - Stock Titan. HSBC Mexico Taps OneMeta's Revolutionary AI Translation Tech for Global Cybersecurity Event  Stock Titan,AI,-0.9981781,negative,2025-02-13 08:00:00
HSBC,HSBC,AI thinks these could be the best FTSE 100 stocks to consider buying now - The Motley Fool UK,AI thinks these could be the best FTSE 100 stocks to consider buying now  The Motley Fool UK,AI thinks these could be the best FTSE 100 stocks to consider buying now - The Motley Fool UK. AI thinks these could be the best FTSE 100 stocks to consider buying now  The Motley Fool UK,AI,-0.9662624,negative,2025-01-16 08:00:00
HSBC,HSBC,HSBC analyst raises Amazon stock price citing AI growth potential and strong profitability - Finbold,HSBC analyst raises Amazon stock price citing AI growth potential and strong profitability  Finbold,HSBC analyst raises Amazon stock price citing AI growth potential and strong profitability - Finbold. HSBC analyst raises Amazon stock price citing AI growth potential and strong profitability  Finbold,AI,1.0,neutral,2025-01-14 08:00:00
HSBC,HSBC,Nvidia Shares Dip on U.S. AI Export Restrictions and HSBC Price Target Cut - Yahoo Finance,Nvidia Shares Dip on U.S. AI Export Restrictions and HSBC Price Target Cut  Yahoo Finance,Nvidia Shares Dip on U.S. AI Export Restrictions and HSBC Price Target Cut - Yahoo Finance. Nvidia Shares Dip on U.S. AI Export Restrictions and HSBC Price Target Cut  Yahoo Finance,AI,0.86256164,positive,2025-01-13 08:00:00
HSBC,HSBC,Nvidia (NVDA) HSBC Securities Cut Target Forecast to $185 - The Globe and Mail,Nvidia (NVDA) HSBC Securities Cut Target Forecast to $185  The Globe and Mail,Nvidia (NVDA) HSBC Securities Cut Target Forecast to $185 - The Globe and Mail. Nvidia (NVDA) HSBC Securities Cut Target Forecast to $185  The Globe and Mail,AI,0.9743517,positive,2025-01-13 08:00:00
HSBC,HSBC,"AMD’s AI Ambitions Face Headwinds, HSBC Analyst Warns - TipRanks","AMD’s AI Ambitions Face Headwinds, HSBC Analyst Warns  TipRanks","AMD’s AI Ambitions Face Headwinds, HSBC Analyst Warns - TipRanks. AMD’s AI Ambitions Face Headwinds, HSBC Analyst Warns  TipRanks",AI,0.99882036,positive,2025-01-09 08:00:00
HSBC,HSBC,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns - MSN,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns  MSN,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns - MSN. AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns  MSN,AI,0.9999857,positive,2025-01-08 20:07:20
HSBC,HSBC,AMD stock down as HSBC cuts rating on less competitive AI roadmap - MSN,AMD stock down as HSBC cuts rating on less competitive AI roadmap  MSN,AMD stock down as HSBC cuts rating on less competitive AI roadmap - MSN. AMD stock down as HSBC cuts rating on less competitive AI roadmap  MSN,AI,0.9999889,positive,2025-01-08 14:09:32
HSBC,HSBC,AMD Shares Plunge 5% as Analysts Cut Rating on AI Concerns - Yahoo Finance,AMD Shares Plunge 5% as Analysts Cut Rating on AI Concerns  Yahoo Finance,AMD Shares Plunge 5% as Analysts Cut Rating on AI Concerns - Yahoo Finance. AMD Shares Plunge 5% as Analysts Cut Rating on AI Concerns  Yahoo Finance,AI,0.9999951,positive,2025-01-08 08:00:00
HSBC,HSBC,"AMD Stock Drops After Downgrade. It's Behind Nvidia, Intel in AI Chips Race. - Barron's","AMD Stock Drops After Downgrade. It's Behind Nvidia, Intel in AI Chips Race.  Barron's","AMD Stock Drops After Downgrade. It's Behind Nvidia, Intel in AI Chips Race. - Barron's. AMD Stock Drops After Downgrade. It's Behind Nvidia, Intel in AI Chips Race.  Barron's",AI,-0.837908,negative,2025-01-08 08:00:00
HSBC,HSBC,HSBC analyst revises AMD stock price amid ‘less competitive’ AI chip roadmap - Finbold,HSBC analyst revises AMD stock price amid ‘less competitive’ AI chip roadmap  Finbold,HSBC analyst revises AMD stock price amid ‘less competitive’ AI chip roadmap - Finbold. HSBC analyst revises AMD stock price amid ‘less competitive’ AI chip roadmap  Finbold,AI,-0.999964,negative,2025-01-08 08:00:00
HSBC,HSBC,"HSBC double downgrades AMD, says chipmaker will fall due to strong AI competition - CNBC","HSBC double downgrades AMD, says chipmaker will fall due to strong AI competition  CNBC","HSBC double downgrades AMD, says chipmaker will fall due to strong AI competition - CNBC. HSBC double downgrades AMD, says chipmaker will fall due to strong AI competition  CNBC",AI,-0.5767318,negative,2025-01-08 08:00:00
HSBC,HSBC,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns - Investopedia,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns  Investopedia,AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns - Investopedia. AMD Stock Slumps After Double Downgrade by HSBC on AI Revenue Concerns  Investopedia,AI,0.99996984,positive,2025-01-08 08:00:00
HSBC,HSBC,AMD stock down as HSBC cuts rating on less competitive AI roadmap - Investing.com Nigeria,AMD stock down as HSBC cuts rating on less competitive AI roadmap  Investing.com Nigeria,AMD stock down as HSBC cuts rating on less competitive AI roadmap - Investing.com Nigeria. AMD stock down as HSBC cuts rating on less competitive AI roadmap  Investing.com Nigeria,AI,0.9999058,positive,2025-01-08 08:00:00
HSBC,HSBC,"HSBC reduces AMD shares rating, highlighting challenges in AI GPU market and competition - Investing.com","HSBC reduces AMD shares rating, highlighting challenges in AI GPU market and competition  Investing.com","HSBC reduces AMD shares rating, highlighting challenges in AI GPU market and competition - Investing.com. HSBC reduces AMD shares rating, highlighting challenges in AI GPU market and competition  Investing.com",AI,0.99987376,positive,2025-01-08 08:00:00
HSBC,HSBC,AMD Faces AI Roadblocks: HSBC Slashes Price Target by Nearly 50% - GuruFocus,AMD Faces AI Roadblocks: HSBC Slashes Price Target by Nearly 50%  GuruFocus,AMD Faces AI Roadblocks: HSBC Slashes Price Target by Nearly 50% - GuruFocus. AMD Faces AI Roadblocks: HSBC Slashes Price Target by Nearly 50%  GuruFocus,AI,-0.9949372,negative,2025-01-08 08:00:00
HSBC,HSBC,AMD’s AI Ambitions Downshifted: HSBC Slashes Price Target - Wall Street Pit,AMD’s AI Ambitions Downshifted: HSBC Slashes Price Target  Wall Street Pit,AMD’s AI Ambitions Downshifted: HSBC Slashes Price Target - Wall Street Pit. AMD’s AI Ambitions Downshifted: HSBC Slashes Price Target  Wall Street Pit,AI,-0.99999595,negative,2025-01-08 08:00:00
HSBC,HSBC,AMD stock down as HSBC cuts rating on less competitive AI roadmap - Investing.com,AMD stock down as HSBC cuts rating on less competitive AI roadmap  Investing.com,AMD stock down as HSBC cuts rating on less competitive AI roadmap - Investing.com. AMD stock down as HSBC cuts rating on less competitive AI roadmap  Investing.com,AI,0.9999651,positive,2025-01-08 08:00:00
HSBC,HSBC,HSBC and AI - HSBC,HSBC and AI  HSBC,HSBC and AI - HSBC. HSBC and AI  HSBC,AI,-0.9999572,negative,2024-12-16 21:05:33
