ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
LI,Li Auto,Donald Trump Is the New Pope? US President Shares AI Image in Papal Attire Days After Joking ‘He’d Like - LatestLY,Donald Trump Is the New Pope? US President Shares AI Image in Papal Attire Days After Joking ‘He’d Like  LatestLY,Donald Trump Is the New Pope? US President Shares AI Image in Papal Attire Days After Joking ‘He’d Like - LatestLY. Donald Trump Is the New Pope? US President Shares AI Image in Papal Attire Days After Joking ‘He’d Like  LatestLY,AI,-0.9999583,negative,2025-05-03 04:31:41
LI,Li Auto,"‘Shanghai bump’: Nio, Zeekr, Li Auto, and Pony AI stocks jump on news from Auto Shanghai - Investorsobserver","‘Shanghai bump’: Nio, Zeekr, Li Auto, and Pony AI stocks jump on news from Auto Shanghai  Investorsobserver","‘Shanghai bump’: Nio, Zeekr, Li Auto, and Pony AI stocks jump on news from Auto Shanghai - Investorsobserver. ‘Shanghai bump’: Nio, Zeekr, Li Auto, and Pony AI stocks jump on news from Auto Shanghai  Investorsobserver",AI,-0.999995,negative,2025-04-29 07:50:11
LI,Li Auto,How High Can This Growth Stock Go After Doubling in 2025? - The Globe and Mail,How High Can This Growth Stock Go After Doubling in 2025?  The Globe and Mail,How High Can This Growth Stock Go After Doubling in 2025? - The Globe and Mail. How High Can This Growth Stock Go After Doubling in 2025?  The Globe and Mail,AI,-0.9953591,negative,2025-03-20 07:00:00
LI,Li Auto,Inside the AI talent wars where research scientists get multimillion-dollar stock grants and wooed by Mark Zuckerberg - Fortune,Inside the AI talent wars where research scientists get multimillion-dollar stock grants and wooed by Mark Zuckerberg  Fortune,Inside the AI talent wars where research scientists get multimillion-dollar stock grants and wooed by Mark Zuckerberg - Fortune. Inside the AI talent wars where research scientists get multimillion-dollar stock grants and wooed by Mark Zuckerberg  Fortune,AI,-0.9999348,negative,2025-03-15 07:00:00
LI,Li Auto,Could Buying SoundHound AI Stock Set You Up for Life? - The Motley Fool,Could Buying SoundHound AI Stock Set You Up for Life?  The Motley Fool,Could Buying SoundHound AI Stock Set You Up for Life? - The Motley Fool. Could Buying SoundHound AI Stock Set You Up for Life?  The Motley Fool,AI,-0.9999405,negative,2025-02-24 08:00:00
LI,Li Auto,"US Listed China Stocks Rally: Alibaba's Performance, President Xi's Support, DeepSeek AI Boost Investor Confidence - Benzinga","US Listed China Stocks Rally: Alibaba's Performance, President Xi's Support, DeepSeek AI Boost Investor Confidence  Benzinga","US Listed China Stocks Rally: Alibaba's Performance, President Xi's Support, DeepSeek AI Boost Investor Confidence - Benzinga. US Listed China Stocks Rally: Alibaba's Performance, President Xi's Support, DeepSeek AI Boost Investor Confidence  Benzinga",AI,0.99999833,neutral,2025-02-21 08:00:00
LI,Li Auto,Baidu Stock Falls After Earnings. Advertising Slump Eclipses AI Boost. - Barron's,Baidu Stock Falls After Earnings. Advertising Slump Eclipses AI Boost.  Barron's,Baidu Stock Falls After Earnings. Advertising Slump Eclipses AI Boost. - Barron's. Baidu Stock Falls After Earnings. Advertising Slump Eclipses AI Boost.  Barron's,AI,0.56457126,positive,2025-02-18 08:00:00
LI,Li Auto,"Bridgewater misses rally after pruning Alibaba, adding bets on Li Auto, Baidu - South China Morning Post","Bridgewater misses rally after pruning Alibaba, adding bets on Li Auto, Baidu  South China Morning Post","Bridgewater misses rally after pruning Alibaba, adding bets on Li Auto, Baidu - South China Morning Post. Bridgewater misses rally after pruning Alibaba, adding bets on Li Auto, Baidu  South China Morning Post",AI,0.9564117,positive,2025-02-14 08:00:00
LI,Li Auto,DeepSeek fever fuels patriotic bets on Chinese AI stocks - Reuters,DeepSeek fever fuels patriotic bets on Chinese AI stocks  Reuters,DeepSeek fever fuels patriotic bets on Chinese AI stocks - Reuters. DeepSeek fever fuels patriotic bets on Chinese AI stocks  Reuters,AI,-0.9999522,negative,2025-02-06 08:00:00
LI,Li Auto,"IBM is the best Dow stock over the past 3 months, but one CIO says its AI message is disappointing - CNBC","IBM is the best Dow stock over the past 3 months, but one CIO says its AI message is disappointing  CNBC","IBM is the best Dow stock over the past 3 months, but one CIO says its AI message is disappointing - CNBC. IBM is the best Dow stock over the past 3 months, but one CIO says its AI message is disappointing  CNBC",AI,0.6068074,positive,2025-02-05 08:00:00
LI,Li Auto,"China's stocks kick off Year of the Snake with trade war, AI rally - Reuters","China's stocks kick off Year of the Snake with trade war, AI rally  Reuters","China's stocks kick off Year of the Snake with trade war, AI rally - Reuters. China's stocks kick off Year of the Snake with trade war, AI rally  Reuters",AI,0.9166772,neutral,2025-02-05 08:00:00
LI,Li Auto,SES AI Regains Compliance with NYSE Minimum Price Requirement - Business Wire,SES AI Regains Compliance with NYSE Minimum Price Requirement  Business Wire,SES AI Regains Compliance with NYSE Minimum Price Requirement - Business Wire. SES AI Regains Compliance with NYSE Minimum Price Requirement  Business Wire,AI,0.9879915,neutral,2025-02-04 08:00:00
