ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
MMTOF,Mitsubishi Motors,Stock market today: Asian shares sag after Trump raises tariffs on auto imports - WHEC.com,Stock market today: Asian shares sag after Trump raises tariffs on auto imports  WHEC.com,Stock market today: Asian shares sag after Trump raises tariffs on auto imports - WHEC.com. Stock market today: Asian shares sag after Trump raises tariffs on auto imports  WHEC.com,AI,-0.9948027,negative,2025-03-27 03:58:30
MMTOF,Mitsubishi Motors,Hon Hai secures EV deal with Mitsubishi - Taipei Times,Hon Hai secures EV deal with Mitsubishi  Taipei Times,Hon Hai secures EV deal with Mitsubishi - Taipei Times. Hon Hai secures EV deal with Mitsubishi  Taipei Times,AI,-0.99958295,negative,2025-03-22 07:00:00
MMTOF,Mitsubishi Motors,Mitsubishi Motors Canada unveils AI tool to enhance Outlander buying process - Yahoo Finance,Mitsubishi Motors Canada unveils AI tool to enhance Outlander buying process  Yahoo Finance,Mitsubishi Motors Canada unveils AI tool to enhance Outlander buying process - Yahoo Finance. Mitsubishi Motors Canada unveils AI tool to enhance Outlander buying process  Yahoo Finance,AI,0.9175272,neutral,2025-03-12 07:00:00
MMTOF,Mitsubishi Motors,IBM watsonx Powers Mitsubishi Motors' AI Initiative: Stock to Gain? - Yahoo Finance,IBM watsonx Powers Mitsubishi Motors' AI Initiative: Stock to Gain?  Yahoo Finance,IBM watsonx Powers Mitsubishi Motors' AI Initiative: Stock to Gain? - Yahoo Finance. IBM watsonx Powers Mitsubishi Motors' AI Initiative: Stock to Gain?  Yahoo Finance,AI,-0.97387785,negative,2025-03-11 07:00:00
MMTOF,Mitsubishi Motors,Mitsubishi Motors Canada Launches AI-Powered - acrofan.com,Mitsubishi Motors Canada Launches AI-Powered  acrofan.com,Mitsubishi Motors Canada Launches AI-Powered - acrofan.com. Mitsubishi Motors Canada Launches AI-Powered  acrofan.com,AI,-0.99981993,negative,2025-03-10 10:00:00
MMTOF,Mitsubishi Motors,Mitsubishi Teams with IBM to Create AI-Powered Virtual Car Guide - Stock Titan,Mitsubishi Teams with IBM to Create AI-Powered Virtual Car Guide  Stock Titan,Mitsubishi Teams with IBM to Create AI-Powered Virtual Car Guide - Stock Titan. Mitsubishi Teams with IBM to Create AI-Powered Virtual Car Guide  Stock Titan,AI,-0.9983272,negative,2025-03-10 07:00:00
MMTOF,Mitsubishi Motors,Honda Stock Gains as Merger With Nissan Called Off - Investopedia,Honda Stock Gains as Merger With Nissan Called Off  Investopedia,Honda Stock Gains as Merger With Nissan Called Off - Investopedia. Honda Stock Gains as Merger With Nissan Called Off  Investopedia,AI,0.9999968,neutral,2025-02-13 08:00:00
MMTOF,Mitsubishi Motors,"Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off - Gulf News","Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off  Gulf News","Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off - Gulf News. Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off  Gulf News",AI,-0.99983907,negative,2024-12-23 08:00:00
MMTOF,Mitsubishi Motors,Mitsubishi Motors’ shares up on reports it will join Honda-Nissan partnership - Cyprus Mail,Mitsubishi Motors’ shares up on reports it will join Honda-Nissan partnership  Cyprus Mail,Mitsubishi Motors’ shares up on reports it will join Honda-Nissan partnership - Cyprus Mail. Mitsubishi Motors’ shares up on reports it will join Honda-Nissan partnership  Cyprus Mail,AI,-0.9999856,negative,2024-07-30 07:00:00
MMTOF,Mitsubishi Motors,Message from the President & CEO | Sustainability | MITSUBISHI MOTORS - mitsubishi-motors.com,Message from the President & CEO | Sustainability | MITSUBISHI MOTORS  mitsubishi-motors.com,Message from the President & CEO | Sustainability | MITSUBISHI MOTORS - mitsubishi-motors.com. Message from the President & CEO | Sustainability | MITSUBISHI MOTORS  mitsubishi-motors.com,AI,-0.99685246,negative,2021-09-01 19:05:29
MMTOF,Mitsubishi Motors,Mitsubishi Motors office raided over fuel economy tests - BBC,Mitsubishi Motors office raided over fuel economy tests  BBC,Mitsubishi Motors office raided over fuel economy tests - BBC. Mitsubishi Motors office raided over fuel economy tests  BBC,AI,-0.9999864,negative,2016-04-21 07:00:00
