ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NKLA,Nikola,"Morning Brew: Nikola Files for Bankruptcy, Arista's AI Boost, an - GuruFocus","Morning Brew: Nikola Files for Bankruptcy, Arista's AI Boost, an  GuruFocus","Morning Brew: Nikola Files for Bankruptcy, Arista's AI Boost, an - GuruFocus. Morning Brew: Nikola Files for Bankruptcy, Arista's AI Boost, an  GuruFocus",AI,-0.9997267,negative,2025-02-19 08:00:00
NKLA,Nikola,Why Nikola (NKLA) Shares Are Trading Lower Today - The Globe and Mail,Why Nikola (NKLA) Shares Are Trading Lower Today  The Globe and Mail,Why Nikola (NKLA) Shares Are Trading Lower Today - The Globe and Mail. Why Nikola (NKLA) Shares Are Trading Lower Today  The Globe and Mail,AI,-0.92177844,negative,2025-02-07 08:00:00
NKLA,Nikola,Bank of America Is Losing Faith in This AI Semiconductor Stock. Should You Sell? - TradingView,Bank of America Is Losing Faith in This AI Semiconductor Stock. Should You Sell?  TradingView,Bank of America Is Losing Faith in This AI Semiconductor Stock. Should You Sell? - TradingView. Bank of America Is Losing Faith in This AI Semiconductor Stock. Should You Sell?  TradingView,AI,0.9856339,positive,2024-12-12 08:00:00
NKLA,Nikola,Nikola’s $100M Bet to Fuel Hydrogen Trucking and Alpine’s Leap into Sustainable Speed - CarbonCredits.com,Nikola’s $100M Bet to Fuel Hydrogen Trucking and Alpine’s Leap into Sustainable Speed  CarbonCredits.com,Nikola’s $100M Bet to Fuel Hydrogen Trucking and Alpine’s Leap into Sustainable Speed - CarbonCredits.com. Nikola’s $100M Bet to Fuel Hydrogen Trucking and Alpine’s Leap into Sustainable Speed  CarbonCredits.com,AI,-0.99998784,negative,2024-12-11 08:00:00
NKLA,Nikola,Nikola and AiLO Logistics Announce Order for 100 Hydrogen Fuel Cell Electric Trucks - Nikola Corporation,Nikola and AiLO Logistics Announce Order for 100 Hydrogen Fuel Cell Electric Trucks  Nikola Corporation,Nikola and AiLO Logistics Announce Order for 100 Hydrogen Fuel Cell Electric Trucks - Nikola Corporation. Nikola and AiLO Logistics Announce Order for 100 Hydrogen Fuel Cell Electric Trucks  Nikola Corporation,AI,-0.99466926,negative,2024-05-21 07:00:00
NKLA,Nikola,NKLA Stock Tumbles As Judge Sentences Founder For Fraud - Investor's Business Daily,NKLA Stock Tumbles As Judge Sentences Founder For Fraud  Investor's Business Daily,NKLA Stock Tumbles As Judge Sentences Founder For Fraud - Investor's Business Daily. NKLA Stock Tumbles As Judge Sentences Founder For Fraud  Investor's Business Daily,AI,-0.806011,negative,2024-05-10 07:00:00
NKLA,Nikola,"Markets News, Aug. 14, 2023: Stocks Rebound From Early Losses Ahead of Retail Data and Earnings - Investopedia","Markets News, Aug. 14, 2023: Stocks Rebound From Early Losses Ahead of Retail Data and Earnings  Investopedia","Markets News, Aug. 14, 2023: Stocks Rebound From Early Losses Ahead of Retail Data and Earnings - Investopedia. Markets News, Aug. 14, 2023: Stocks Rebound From Early Losses Ahead of Retail Data and Earnings  Investopedia",AI,0.9931764,neutral,2023-08-14 07:00:00
NKLA,Nikola,EV truck maker Nikola fails again to secure enough shareholder support to issue more shares - TechCrunch,EV truck maker Nikola fails again to secure enough shareholder support to issue more shares  TechCrunch,EV truck maker Nikola fails again to secure enough shareholder support to issue more shares - TechCrunch. EV truck maker Nikola fails again to secure enough shareholder support to issue more shares  TechCrunch,AI,0.99989355,positive,2023-07-06 07:00:00
NKLA,Nikola,Watch: Shaquille O'Neal shares AI video of how Nikola Jokic & other NBA players would look if they were all jacked up - Sportskeeda,Watch: Shaquille O'Neal shares AI video of how Nikola Jokic & other NBA players would look if they were all jacked up  Sportskeeda,Watch: Shaquille O'Neal shares AI video of how Nikola Jokic & other NBA players would look if they were all jacked up - Sportskeeda. Watch: Shaquille O'Neal shares AI video of how Nikola Jokic & other NBA players would look if they were all jacked up  Sportskeeda,AI,-0.99999774,negative,2023-06-27 07:00:00
NKLA,Nikola,"Nikola, Lucid latest EV SPACs trying to raise cash - TechCrunch","Nikola, Lucid latest EV SPACs trying to raise cash  TechCrunch","Nikola, Lucid latest EV SPACs trying to raise cash - TechCrunch. Nikola, Lucid latest EV SPACs trying to raise cash  TechCrunch",AI,-0.9995408,negative,2022-08-30 07:00:00
NKLA,Nikola,"Nikola Mrksic, Co-founder and CEO of PolyAI – Interview Series - Unite.AI","Nikola Mrksic, Co-founder and CEO of PolyAI – Interview Series  Unite.AI","Nikola Mrksic, Co-founder and CEO of PolyAI – Interview Series - Unite.AI. Nikola Mrksic, Co-founder and CEO of PolyAI – Interview Series  Unite.AI",AI,-0.9998838,negative,2021-02-18 08:00:00
