ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NSANY,Nissan,Nissan revises down its earnings forecast with bigger losses - The Globe and Mail,Nissan revises down its earnings forecast with bigger losses  The Globe and Mail,Nissan revises down its earnings forecast with bigger losses - The Globe and Mail. Nissan revises down its earnings forecast with bigger losses  The Globe and Mail,AI,0.99999833,positive,2025-04-24 13:37:00
NSANY,Nissan,UK AI start-up Wayve makes Japan debut after Nissan partnership - The Edge Malaysia,UK AI start-up Wayve makes Japan debut after Nissan partnership  The Edge Malaysia,UK AI start-up Wayve makes Japan debut after Nissan partnership - The Edge Malaysia. UK AI start-up Wayve makes Japan debut after Nissan partnership  The Edge Malaysia,AI,-0.999985,negative,2025-04-22 04:14:35
NSANY,Nissan,"Nissan Taps $1.3B-Backed AI Pioneer Wayve To Supercharge ProPilot System, Ushering A New Era Of Human-Like Driving - Yahoo","Nissan Taps $1.3B-Backed AI Pioneer Wayve To Supercharge ProPilot System, Ushering A New Era Of Human-Like Driving  Yahoo","Nissan Taps $1.3B-Backed AI Pioneer Wayve To Supercharge ProPilot System, Ushering A New Era Of Human-Like Driving - Yahoo. Nissan Taps $1.3B-Backed AI Pioneer Wayve To Supercharge ProPilot System, Ushering A New Era Of Human-Like Driving  Yahoo",AI,-0.9976846,negative,2025-04-17 13:17:12
NSANY,Nissan,Buzzy Nvidia-backed AI startup Wayve is partnering with Nissan on autonomous driving tech - Business Insider,Buzzy Nvidia-backed AI startup Wayve is partnering with Nissan on autonomous driving tech  Business Insider,Buzzy Nvidia-backed AI startup Wayve is partnering with Nissan on autonomous driving tech - Business Insider. Buzzy Nvidia-backed AI startup Wayve is partnering with Nissan on autonomous driving tech  Business Insider,AI,-0.9990408,negative,2025-04-10 07:00:00
NSANY,Nissan,No Need for Nissan? Hon Hai Buyout Not in the Cards - nippon.com,No Need for Nissan? Hon Hai Buyout Not in the Cards  nippon.com,No Need for Nissan? Hon Hai Buyout Not in the Cards - nippon.com. No Need for Nissan? Hon Hai Buyout Not in the Cards  nippon.com,AI,-0.99998474,negative,2025-04-10 07:00:00
NSANY,Nissan,British AI Driving Group Wayve Starts the Engine on Global Expansion Plans With Nissan Deal - TipRanks,British AI Driving Group Wayve Starts the Engine on Global Expansion Plans With Nissan Deal  TipRanks,British AI Driving Group Wayve Starts the Engine on Global Expansion Plans With Nissan Deal - TipRanks. British AI Driving Group Wayve Starts the Engine on Global Expansion Plans With Nissan Deal  TipRanks,AI,-0.99999666,negative,2025-04-10 07:00:00
NSANY,Nissan,Nissan taps SoftBank-backed startup Wayve for AI driving system - The Business Times,Nissan taps SoftBank-backed startup Wayve for AI driving system  The Business Times,Nissan taps SoftBank-backed startup Wayve for AI driving system - The Business Times. Nissan taps SoftBank-backed startup Wayve for AI driving system  The Business Times,AI,-0.9999858,negative,2025-04-10 07:00:00
NSANY,Nissan,UK AI start-up Wayve clinches first carmaker deal with Nissan - Financial Times,UK AI start-up Wayve clinches first carmaker deal with Nissan  Financial Times,UK AI start-up Wayve clinches first carmaker deal with Nissan - Financial Times. UK AI start-up Wayve clinches first carmaker deal with Nissan  Financial Times,AI,-0.9999355,negative,2025-04-09 07:00:00
NSANY,Nissan,"Former Nissan India MD- Rakesh Srivastava, Joins BiUP.ai, a SaaS Startup - TimesTech","Former Nissan India MD- Rakesh Srivastava, Joins BiUP.ai, a SaaS Startup  TimesTech","Former Nissan India MD- Rakesh Srivastava, Joins BiUP.ai, a SaaS Startup - TimesTech. Former Nissan India MD- Rakesh Srivastava, Joins BiUP.ai, a SaaS Startup  TimesTech",AI,-0.9989139,negative,2025-02-14 08:00:00
NSANY,Nissan,Alibaba becomes China’s new AI darling with US$87 billion rally - Taipei Times,Alibaba becomes China’s new AI darling with US$87 billion rally  Taipei Times,Alibaba becomes China’s new AI darling with US$87 billion rally - Taipei Times. Alibaba becomes China’s new AI darling with US$87 billion rally  Taipei Times,AI,-0.99981886,negative,2025-02-13 08:00:00
NSANY,Nissan,Honda Stock Gains as Merger With Nissan Called Off - Investopedia,Honda Stock Gains as Merger With Nissan Called Off  Investopedia,Honda Stock Gains as Merger With Nissan Called Off - Investopedia. Honda Stock Gains as Merger With Nissan Called Off  Investopedia,AI,0.9999968,neutral,2025-02-13 08:00:00
NSANY,Nissan,"What is Goose, Jack Dorsey's open-source AI? Can it disrupt the industry? - Business Standard","What is Goose, Jack Dorsey's open-source AI? Can it disrupt the industry?  Business Standard","What is Goose, Jack Dorsey's open-source AI? Can it disrupt the industry? - Business Standard. What is Goose, Jack Dorsey's open-source AI? Can it disrupt the industry?  Business Standard",AI,0.9441124,positive,2025-02-13 08:00:00
NSANY,Nissan,Nissan shares tumble as Foxconn Chair says not seeking a stake - Investing.com UK,Nissan shares tumble as Foxconn Chair says not seeking a stake  Investing.com UK,Nissan shares tumble as Foxconn Chair says not seeking a stake - Investing.com UK. Nissan shares tumble as Foxconn Chair says not seeking a stake  Investing.com UK,AI,-0.9974413,negative,2025-02-12 08:00:00
NSANY,Nissan,Hon Hai Says It’s Open to Buying Renault’s Stake in Nissan - Bloomberg.com,Hon Hai Says It’s Open to Buying Renault’s Stake in Nissan  Bloomberg.com,Hon Hai Says It’s Open to Buying Renault’s Stake in Nissan - Bloomberg.com. Hon Hai Says It’s Open to Buying Renault’s Stake in Nissan  Bloomberg.com,AI,-0.9999924,negative,2025-02-11 08:00:00
NSANY,Nissan,"Honda, Toyota, Nissan Shares Ending Tough 2024 On High Note - Investor's Business Daily","Honda, Toyota, Nissan Shares Ending Tough 2024 On High Note  Investor's Business Daily","Honda, Toyota, Nissan Shares Ending Tough 2024 On High Note - Investor's Business Daily. Honda, Toyota, Nissan Shares Ending Tough 2024 On High Note  Investor's Business Daily",AI,-0.99999857,negative,2024-12-27 08:00:00
NSANY,Nissan,"At Nissan’s biggest U.S. plant, technicians work alongside robots as AI plays a bigger role - The Globe and Mail","At Nissan’s biggest U.S. plant, technicians work alongside robots as AI plays a bigger role  The Globe and Mail","At Nissan’s biggest U.S. plant, technicians work alongside robots as AI plays a bigger role - The Globe and Mail. At Nissan’s biggest U.S. plant, technicians work alongside robots as AI plays a bigger role  The Globe and Mail",AI,-0.97130406,negative,2024-12-26 08:00:00
NSANY,Nissan,"Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off - Gulf News","Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off  Gulf News","Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off - Gulf News. Honda, Nissan, Mitsubishi Motors aim to merge in 2026 as talks kick off  Gulf News",AI,-0.99983907,negative,2024-12-23 08:00:00
NSANY,Nissan,"Honda, Nissan aim to finalize merger terms by June- NHK - Investing.com","Honda, Nissan aim to finalize merger terms by June- NHK  Investing.com","Honda, Nissan aim to finalize merger terms by June- NHK - Investing.com. Honda, Nissan aim to finalize merger terms by June- NHK  Investing.com",AI,-0.9999981,negative,2024-12-22 08:00:00
