ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
WFC,Wells Fargo,"Wells Fargo & Company MN Has $5.75 Million Stake in C3.ai, Inc. (NYSE:AI) - MarketBeat","Wells Fargo & Company MN Has $5.75 Million Stake in C3.ai, Inc. (NYSE:AI)  MarketBeat","Wells Fargo & Company MN Has $5.75 Million Stake in C3.ai, Inc. (NYSE:AI) - MarketBeat. Wells Fargo & Company MN Has $5.75 Million Stake in C3.ai, Inc. (NYSE:AI)  MarketBeat",AI,-0.9999993,negative,2025-04-23 07:00:00
WFC,Wells Fargo,"Wells Fargo & Company MN Has $8.14 Million Stake in SoundHound AI, Inc. (NASDAQ:SOUN) - MarketBeat","Wells Fargo & Company MN Has $8.14 Million Stake in SoundHound AI, Inc. (NASDAQ:SOUN)  MarketBeat","Wells Fargo & Company MN Has $8.14 Million Stake in SoundHound AI, Inc. (NASDAQ:SOUN) - MarketBeat. Wells Fargo & Company MN Has $8.14 Million Stake in SoundHound AI, Inc. (NASDAQ:SOUN)  MarketBeat",AI,-0.9999988,negative,2025-04-21 07:00:00
WFC,Wells Fargo,"Wells Fargo & Company MN Has $5.75 Million Position in C3.ai, Inc. (NYSE:AI) - Defense World","Wells Fargo & Company MN Has $5.75 Million Position in C3.ai, Inc. (NYSE:AI)  Defense World","Wells Fargo & Company MN Has $5.75 Million Position in C3.ai, Inc. (NYSE:AI) - Defense World. Wells Fargo & Company MN Has $5.75 Million Position in C3.ai, Inc. (NYSE:AI)  Defense World",AI,-0.9999969,negative,2025-04-20 07:00:00
WFC,Wells Fargo,Wells Fargo (NYSE:WFC) Sees 14% Weekly Drop As Activist Investors Push Sustainability Proposals - Yahoo Finance,Wells Fargo (NYSE:WFC) Sees 14% Weekly Drop As Activist Investors Push Sustainability Proposals  Yahoo Finance,Wells Fargo (NYSE:WFC) Sees 14% Weekly Drop As Activist Investors Push Sustainability Proposals - Yahoo Finance. Wells Fargo (NYSE:WFC) Sees 14% Weekly Drop As Activist Investors Push Sustainability Proposals  Yahoo Finance,AI,0.9703391,positive,2025-04-05 07:00:00
WFC,Wells Fargo,Jim Cramer: ‘Wells Fargo (WFC) Turnaround Still Has More to Gain’ - Insider Monkey,Jim Cramer: ‘Wells Fargo (WFC) Turnaround Still Has More to Gain’  Insider Monkey,Jim Cramer: ‘Wells Fargo (WFC) Turnaround Still Has More to Gain’ - Insider Monkey. Jim Cramer: ‘Wells Fargo (WFC) Turnaround Still Has More to Gain’  Insider Monkey,AI,-0.96394736,negative,2025-03-25 07:00:00
WFC,Wells Fargo,Wells Fargo maintains NVIDIA stock Overweight with $185 target - Investing.com,Wells Fargo maintains NVIDIA stock Overweight with $185 target  Investing.com,Wells Fargo maintains NVIDIA stock Overweight with $185 target - Investing.com. Wells Fargo maintains NVIDIA stock Overweight with $185 target  Investing.com,AI,0.9999989,neutral,2025-03-19 07:00:00
WFC,Wells Fargo,"AI Will Affect Nearly ‘Every Part’ of Wells Fargo, CFO Says - Barron's","AI Will Affect Nearly ‘Every Part’ of Wells Fargo, CFO Says  Barron's","AI Will Affect Nearly ‘Every Part’ of Wells Fargo, CFO Says - Barron's. AI Will Affect Nearly ‘Every Part’ of Wells Fargo, CFO Says  Barron's",AI,-0.999951,negative,2025-02-11 18:31:55
WFC,Wells Fargo,"CyberArk Software Ltd. (CYBR): Wells Fargo Ups Target to $425, Touts Venafi Acquisition and AI-Driven Growth Ahead of Analyst Day - Yahoo Finance","CyberArk Software Ltd. (CYBR): Wells Fargo Ups Target to $425, Touts Venafi Acquisition and AI-Driven Growth Ahead of Analyst Day  Yahoo Finance","CyberArk Software Ltd. (CYBR): Wells Fargo Ups Target to $425, Touts Venafi Acquisition and AI-Driven Growth Ahead of Analyst Day - Yahoo Finance. CyberArk Software Ltd. (CYBR): Wells Fargo Ups Target to $425, Touts Venafi Acquisition and AI-Driven Growth Ahead of Analyst Day  Yahoo Finance",AI,-0.7987979,negative,2025-01-27 08:00:00
WFC,Wells Fargo,Alphabet Stock Sees Raised Price Targets. It Isn’t All Bullish. - Barron's,Alphabet Stock Sees Raised Price Targets. It Isn’t All Bullish.  Barron's,Alphabet Stock Sees Raised Price Targets. It Isn’t All Bullish. - Barron's. Alphabet Stock Sees Raised Price Targets. It Isn’t All Bullish.  Barron's,AI,0.9923046,neutral,2025-01-13 08:00:00
WFC,Wells Fargo,"Wells Fargo Maintains ‘Hold’ Rating on Broadcom Inc. (AVGO) with $170 Price Target, Highlights AI Revenue Growth and Conservative FY25 Guidance - Yahoo Finance","Wells Fargo Maintains ‘Hold’ Rating on Broadcom Inc. (AVGO) with $170 Price Target, Highlights AI Revenue Growth and Conservative FY25 Guidance  Yahoo Finance","Wells Fargo Maintains ‘Hold’ Rating on Broadcom Inc. (AVGO) with $170 Price Target, Highlights AI Revenue Growth and Conservative FY25 Guidance - Yahoo Finance. Wells Fargo Maintains ‘Hold’ Rating on Broadcom Inc. (AVGO) with $170 Price Target, Highlights AI Revenue Growth and Conservative FY25 Guidance  Yahoo Finance",AI,0.51123035,neutral,2024-12-07 08:00:00
WFC,Wells Fargo,Microsoft Eyes 19.5% Upside as Wells Fargo Sets $515 AI-Driven Price Target - Yahoo Finance,Microsoft Eyes 19.5% Upside as Wells Fargo Sets $515 AI-Driven Price Target  Yahoo Finance,Microsoft Eyes 19.5% Upside as Wells Fargo Sets $515 AI-Driven Price Target - Yahoo Finance. Microsoft Eyes 19.5% Upside as Wells Fargo Sets $515 AI-Driven Price Target  Yahoo Finance,AI,1.0,neutral,2024-12-04 08:00:00
WFC,Wells Fargo,Wells Fargo’s Tech Stocks To Beat The S&P: 14 Top AI & Non-AI Stocks - Insider Monkey,Wells Fargo’s Tech Stocks To Beat The S&P: 14 Top AI & Non-AI Stocks  Insider Monkey,Wells Fargo’s Tech Stocks To Beat The S&P: 14 Top AI & Non-AI Stocks - Insider Monkey. Wells Fargo’s Tech Stocks To Beat The S&P: 14 Top AI & Non-AI Stocks  Insider Monkey,AI,0.9906945,neutral,2024-11-30 08:00:00
WFC,Wells Fargo,NVIDIA Corporation (NVDA): Volatility Amid Strong AI Demand and Growth Opportunities - Yahoo Finance,NVIDIA Corporation (NVDA): Volatility Amid Strong AI Demand and Growth Opportunities  Yahoo Finance,NVIDIA Corporation (NVDA): Volatility Amid Strong AI Demand and Growth Opportunities - Yahoo Finance. NVIDIA Corporation (NVDA): Volatility Amid Strong AI Demand and Growth Opportunities  Yahoo Finance,AI,0.9999908,neutral,2024-11-25 08:00:00
WFC,Wells Fargo,"ON Semiconductor (ON) Initiated at Overweight by Wells Fargo with $85 Target, Highlighting Gen-AI and EV Growth Opportunities - Yahoo Finance","ON Semiconductor (ON) Initiated at Overweight by Wells Fargo with $85 Target, Highlighting Gen-AI and EV Growth Opportunities  Yahoo Finance","ON Semiconductor (ON) Initiated at Overweight by Wells Fargo with $85 Target, Highlighting Gen-AI and EV Growth Opportunities - Yahoo Finance. ON Semiconductor (ON) Initiated at Overweight by Wells Fargo with $85 Target, Highlighting Gen-AI and EV Growth Opportunities  Yahoo Finance",AI,0.99996567,neutral,2024-11-23 08:00:00
WFC,Wells Fargo,"Monolithic Power Systems, Inc. (MPWR) Initiated at Equal Weight by Wells Fargo with $610 Target Amid Nvidia Supply Chain Focus - Yahoo Finance","Monolithic Power Systems, Inc. (MPWR) Initiated at Equal Weight by Wells Fargo with $610 Target Amid Nvidia Supply Chain Focus  Yahoo Finance","Monolithic Power Systems, Inc. (MPWR) Initiated at Equal Weight by Wells Fargo with $610 Target Amid Nvidia Supply Chain Focus - Yahoo Finance. Monolithic Power Systems, Inc. (MPWR) Initiated at Equal Weight by Wells Fargo with $610 Target Amid Nvidia Supply Chain Focus  Yahoo Finance",AI,-0.99982846,negative,2024-11-22 08:00:00
WFC,Wells Fargo,"NRG Energy, Inc. (NRG): Wells Fargo Boosts Target to $140, Highlights AI Growth and 10% EPS CAGR Potential - Yahoo Finance","NRG Energy, Inc. (NRG): Wells Fargo Boosts Target to $140, Highlights AI Growth and 10% EPS CAGR Potential  Yahoo Finance","NRG Energy, Inc. (NRG): Wells Fargo Boosts Target to $140, Highlights AI Growth and 10% EPS CAGR Potential - Yahoo Finance. NRG Energy, Inc. (NRG): Wells Fargo Boosts Target to $140, Highlights AI Growth and 10% EPS CAGR Potential  Yahoo Finance",AI,1.0,neutral,2024-11-16 08:00:00
