ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
XPEV,XPeng,XPeng Stock Rallies After Auto Shanghai 2025 - XPeng (NYSE:XPEV) - Benzinga,XPeng Stock Rallies After Auto Shanghai 2025 - XPeng (NYSE:XPEV)  Benzinga,XPeng Stock Rallies After Auto Shanghai 2025 - XPeng (NYSE:XPEV) - Benzinga. XPeng Stock Rallies After Auto Shanghai 2025 - XPeng (NYSE:XPEV)  Benzinga,AI,-0.9999988,negative,2025-04-23 17:54:20
XPEV,XPeng,XPENG (XPEV) Unveils Cutting-Edge AI and EV Technologies | XPEV Stock News - GuruFocus,XPENG (XPEV) Unveils Cutting-Edge AI and EV Technologies | XPEV Stock News  GuruFocus,XPENG (XPEV) Unveils Cutting-Edge AI and EV Technologies | XPEV Stock News - GuruFocus. XPENG (XPEV) Unveils Cutting-Edge AI and EV Technologies | XPEV Stock News  GuruFocus,AI,-0.9999901,negative,2025-04-23 13:37:16
XPEV,XPeng,XPENG Motors Unveils Groundbreaking AI Technologies and Record-Breaking Electric Vehicles at Shanghai 2025 - Nasdaq,XPENG Motors Unveils Groundbreaking AI Technologies and Record-Breaking Electric Vehicles at Shanghai 2025  Nasdaq,XPENG Motors Unveils Groundbreaking AI Technologies and Record-Breaking Electric Vehicles at Shanghai 2025 - Nasdaq. XPENG Motors Unveils Groundbreaking AI Technologies and Record-Breaking Electric Vehicles at Shanghai 2025  Nasdaq,AI,-0.999876,negative,2025-04-23 12:31:00
XPEV,XPeng,XPENG Unveils AI-Driven Mobility Revolution at Auto Shanghai 2025 - Nasdaq,XPENG Unveils AI-Driven Mobility Revolution at Auto Shanghai 2025  Nasdaq,XPENG Unveils AI-Driven Mobility Revolution at Auto Shanghai 2025 - Nasdaq. XPENG Unveils AI-Driven Mobility Revolution at Auto Shanghai 2025  Nasdaq,AI,-0.9999752,negative,2025-04-23 12:19:00
XPEV,XPeng,XPENG's Game-Changing AI: 35X Stronger Model Powers New EVs with 420km Range in 10 Minutes - Stock Titan,XPENG's Game-Changing AI: 35X Stronger Model Powers New EVs with 420km Range in 10 Minutes  Stock Titan,XPENG's Game-Changing AI: 35X Stronger Model Powers New EVs with 420km Range in 10 Minutes - Stock Titan. XPENG's Game-Changing AI: 35X Stronger Model Powers New EVs with 420km Range in 10 Minutes  Stock Titan,AI,0.9999769,neutral,2025-04-23 12:19:00
XPEV,XPeng,XPeng is the leading gainer in the EV sector after showing off its AI and robotics firepower (XPEV:NYSE) - Seeking Alpha,XPeng is the leading gainer in the EV sector after showing off its AI and robotics firepower (XPEV:NYSE)  Seeking Alpha,XPeng is the leading gainer in the EV sector after showing off its AI and robotics firepower (XPEV:NYSE) - Seeking Alpha. XPeng is the leading gainer in the EV sector after showing off its AI and robotics firepower (XPEV:NYSE)  Seeking Alpha,AI,1.0,neutral,2025-04-23 07:00:00
XPEV,XPeng,XPeng Speeds Up Development of AI Chip for Self-Driving Cars - marketscreener.com,XPeng Speeds Up Development of AI Chip for Self-Driving Cars  marketscreener.com,XPeng Speeds Up Development of AI Chip for Self-Driving Cars - marketscreener.com. XPeng Speeds Up Development of AI Chip for Self-Driving Cars  marketscreener.com,AI,-0.99964345,negative,2025-04-16 07:00:00
XPEV,XPeng,"Tesla Rival XPeng Unveils Bold Vision: AI-Powered EVs, Flying Cars, Humanoid Robots - Benzinga","Tesla Rival XPeng Unveils Bold Vision: AI-Powered EVs, Flying Cars, Humanoid Robots  Benzinga","Tesla Rival XPeng Unveils Bold Vision: AI-Powered EVs, Flying Cars, Humanoid Robots - Benzinga. Tesla Rival XPeng Unveils Bold Vision: AI-Powered EVs, Flying Cars, Humanoid Robots  Benzinga",AI,-0.99874204,negative,2025-04-16 07:00:00
XPEV,XPeng,Does XPeng's Global Push & AI Edge Make This EV Stock a Buy? - NewsBreak: Local News & Alerts,Does XPeng's Global Push & AI Edge Make This EV Stock a Buy?  NewsBreak: Local News & Alerts,Does XPeng's Global Push & AI Edge Make This EV Stock a Buy? - NewsBreak: Local News & Alerts. Does XPeng's Global Push & AI Edge Make This EV Stock a Buy?  NewsBreak: Local News & Alerts,AI,0.9939678,neutral,2025-04-15 10:28:21
XPEV,XPeng,"XPENG Unveils AI Tech Tree Strategy and Launches 2025 XPENG X9 Flagship EV, Setting New Standards in Smart Mobility - Nasdaq","XPENG Unveils AI Tech Tree Strategy and Launches 2025 XPENG X9 Flagship EV, Setting New Standards in Smart Mobility  Nasdaq","XPENG Unveils AI Tech Tree Strategy and Launches 2025 XPENG X9 Flagship EV, Setting New Standards in Smart Mobility - Nasdaq. XPENG Unveils AI Tech Tree Strategy and Launches 2025 XPENG X9 Flagship EV, Setting New Standards in Smart Mobility  Nasdaq",AI,-0.9996494,negative,2025-04-15 07:00:00
