ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
AMAT,Applied Materials,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger. Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,ESG,-0.999064,negative,2025-04-18 07:00:00
AMAT,Applied Materials,Sustainability Advisory - Nasdaq,Sustainability Advisory  Nasdaq,Sustainability Advisory - Nasdaq. Sustainability Advisory  Nasdaq,ESG,-0.99988127,negative,2025-03-24 14:25:14
AMAT,Applied Materials,Microsoft: This 'Magnificent Seven' Stock Also Is The Best ESG Company - Investor's Business Daily,Microsoft: This 'Magnificent Seven' Stock Also Is The Best ESG Company  Investor's Business Daily,Microsoft: This 'Magnificent Seven' Stock Also Is The Best ESG Company - Investor's Business Daily. Microsoft: This 'Magnificent Seven' Stock Also Is The Best ESG Company  Investor's Business Daily,ESG,0.99145657,neutral,2023-10-30 07:00:00
AMAT,Applied Materials,ESG Sustainability Data Becomes Key Tool For Investors And Companies - Investor's Business Daily,ESG Sustainability Data Becomes Key Tool For Investors And Companies  Investor's Business Daily,ESG Sustainability Data Becomes Key Tool For Investors And Companies - Investor's Business Daily. ESG Sustainability Data Becomes Key Tool For Investors And Companies  Investor's Business Daily,ESG,-0.9978672,negative,2023-10-27 07:00:00
AMAT,Applied Materials,"At Applied Materials, Cutting Carbon Emissions Is A Team Effort - Investor's Business Daily","At Applied Materials, Cutting Carbon Emissions Is A Team Effort  Investor's Business Daily","At Applied Materials, Cutting Carbon Emissions Is A Team Effort - Investor's Business Daily. At Applied Materials, Cutting Carbon Emissions Is A Team Effort  Investor's Business Daily",ESG,-0.99997425,negative,2023-10-27 07:00:00
AMAT,Applied Materials,100 ESG Stocks To Consider For Your Portfolio - Investor's Business Daily,100 ESG Stocks To Consider For Your Portfolio  Investor's Business Daily,100 ESG Stocks To Consider For Your Portfolio - Investor's Business Daily. 100 ESG Stocks To Consider For Your Portfolio  Investor's Business Daily,ESG,-0.99999154,negative,2023-10-27 07:00:00
AMAT,Applied Materials,Are Investors Looking At ESG The Wrong Way? - Investor's Business Daily,Are Investors Looking At ESG The Wrong Way?  Investor's Business Daily,Are Investors Looking At ESG The Wrong Way? - Investor's Business Daily. Are Investors Looking At ESG The Wrong Way?  Investor's Business Daily,ESG,-0.774321,negative,2023-10-27 07:00:00
AMAT,Applied Materials,ESG Ratings: A Closer Look At The Leading Stocks - Investor's Business Daily,ESG Ratings: A Closer Look At The Leading Stocks  Investor's Business Daily,ESG Ratings: A Closer Look At The Leading Stocks - Investor's Business Daily. ESG Ratings: A Closer Look At The Leading Stocks  Investor's Business Daily,ESG,-0.99999905,negative,2023-10-27 07:00:00
AMAT,Applied Materials,ESG Investing: Best ESG Stocks By Industry - Investor's Business Daily,ESG Investing: Best ESG Stocks By Industry  Investor's Business Daily,ESG Investing: Best ESG Stocks By Industry - Investor's Business Daily. ESG Investing: Best ESG Stocks By Industry  Investor's Business Daily,ESG,0.6900103,neutral,2023-10-27 07:00:00
AMAT,Applied Materials,ESG Reporting Software | Nasdaq Metrio Platform - Nasdaq,ESG Reporting Software | Nasdaq Metrio Platform  Nasdaq,ESG Reporting Software | Nasdaq Metrio Platform - Nasdaq. ESG Reporting Software | Nasdaq Metrio Platform  Nasdaq,ESG,-0.9999558,negative,2023-08-08 18:07:35
AMAT,Applied Materials,Applied Materials Highlights Progress Toward its 10-Year Sustainability Roadmap - ESG News,Applied Materials Highlights Progress Toward its 10-Year Sustainability Roadmap  ESG News,Applied Materials Highlights Progress Toward its 10-Year Sustainability Roadmap - ESG News. Applied Materials Highlights Progress Toward its 10-Year Sustainability Roadmap  ESG News,ESG,0.9976508,neutral,2022-06-30 07:00:00
AMAT,Applied Materials,Alphabet was the most widely held stock for the largest ESG funds. Here’s what else they own - CNBC,Alphabet was the most widely held stock for the largest ESG funds. Here’s what else they own  CNBC,Alphabet was the most widely held stock for the largest ESG funds. Here’s what else they own - CNBC. Alphabet was the most widely held stock for the largest ESG funds. Here’s what else they own  CNBC,ESG,-0.9998222,negative,2021-05-18 07:00:00
AMAT,Applied Materials,"50 Best ESG Companies: A List Of Today's Top Stocks For Environmental, Social And Governance Values - Investor's Business Daily","50 Best ESG Companies: A List Of Today's Top Stocks For Environmental, Social And Governance Values  Investor's Business Daily","50 Best ESG Companies: A List Of Today's Top Stocks For Environmental, Social And Governance Values - Investor's Business Daily. 50 Best ESG Companies: A List Of Today's Top Stocks For Environmental, Social And Governance Values  Investor's Business Daily",ESG,-0.9999914,negative,2020-12-02 08:00:00
