ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
BAC,Bank of America,"US banks turn to SEC to dodge climate, social shareholder proposals - ESG Dive","US banks turn to SEC to dodge climate, social shareholder proposals  ESG Dive","US banks turn to SEC to dodge climate, social shareholder proposals - ESG Dive. US banks turn to SEC to dodge climate, social shareholder proposals  ESG Dive",ESG,-0.9999987,negative,2025-03-14 07:00:00
BAC,Bank of America,Bank of America and BlackRock Remove DEI Terms From Reports - Sustainability Magazine,Bank of America and BlackRock Remove DEI Terms From Reports  Sustainability Magazine,Bank of America and BlackRock Remove DEI Terms From Reports - Sustainability Magazine. Bank of America and BlackRock Remove DEI Terms From Reports  Sustainability Magazine,ESG,-0.9988971,negative,2025-03-06 08:00:00
BAC,Bank of America,"State AGs threaten financial institutions over ESG, DEI policies - CFO Dive","State AGs threaten financial institutions over ESG, DEI policies  CFO Dive","State AGs threaten financial institutions over ESG, DEI policies - CFO Dive. State AGs threaten financial institutions over ESG, DEI policies  CFO Dive",ESG,-0.999899,negative,2025-01-28 08:00:00
BAC,Bank of America,Texas ramps up ESG pressure on Wall Street over DEI efforts - Investment News,Texas ramps up ESG pressure on Wall Street over DEI efforts  Investment News,Texas ramps up ESG pressure on Wall Street over DEI efforts - Investment News. Texas ramps up ESG pressure on Wall Street over DEI efforts  Investment News,ESG,-0.8995158,negative,2025-01-24 08:00:00
BAC,Bank of America,Six US banks quit net-zero finance group as ESG pressure mounts - Upstream Online,Six US banks quit net-zero finance group as ESG pressure mounts  Upstream Online,Six US banks quit net-zero finance group as ESG pressure mounts - Upstream Online. Six US banks quit net-zero finance group as ESG pressure mounts  Upstream Online,ESG,-0.99999726,negative,2025-01-10 08:00:00
BAC,Bank of America,Six big US banks quit net zero alliance before Trump inauguration - The Guardian,Six big US banks quit net zero alliance before Trump inauguration  The Guardian,Six big US banks quit net zero alliance before Trump inauguration - The Guardian. Six big US banks quit net zero alliance before Trump inauguration  The Guardian,ESG,-0.99998355,negative,2025-01-08 08:00:00
BAC,Bank of America,"Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today. Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today",ESG,-0.9999707,negative,2025-01-02 08:00:00
BAC,Bank of America,"Morgan Stanley, Citi, Bank of America Join Others in Exiting Net Zero Banking Alliance - ESG News","Morgan Stanley, Citi, Bank of America Join Others in Exiting Net Zero Banking Alliance  ESG News","Morgan Stanley, Citi, Bank of America Join Others in Exiting Net Zero Banking Alliance - ESG News. Morgan Stanley, Citi, Bank of America Join Others in Exiting Net Zero Banking Alliance  ESG News",ESG,-0.9999958,negative,2025-01-02 08:00:00
BAC,Bank of America,Bankers whose job title includes ‘ESG’ are dodging wave of cuts - The Straits Times,Bankers whose job title includes ‘ESG’ are dodging wave of cuts  The Straits Times,Bankers whose job title includes ‘ESG’ are dodging wave of cuts - The Straits Times. Bankers whose job title includes ‘ESG’ are dodging wave of cuts  The Straits Times,ESG,-0.9998956,negative,2024-11-22 08:00:00
BAC,Bank of America,Louis Vuitton owner emerges as ESG magnet with almost $23 billion stake - The Straits Times,Louis Vuitton owner emerges as ESG magnet with almost $23 billion stake  The Straits Times,Louis Vuitton owner emerges as ESG magnet with almost $23 billion stake - The Straits Times. Louis Vuitton owner emerges as ESG magnet with almost $23 billion stake  The Straits Times,ESG,-0.99977654,negative,2024-11-21 08:00:00
BAC,Bank of America,Warehouse and ready-built factory developers adopt ESG standards - Vietnam Investment Review - VIR,Warehouse and ready-built factory developers adopt ESG standards  Vietnam Investment Review - VIR,Warehouse and ready-built factory developers adopt ESG standards - Vietnam Investment Review - VIR. Warehouse and ready-built factory developers adopt ESG standards  Vietnam Investment Review - VIR,ESG,-0.99998796,negative,2024-10-11 07:00:00
BAC,Bank of America,Bank of America Makes First-of-Its-Kind $205M Tax Credit Deal for Carbon Capture with Harvestone - ESG News,Bank of America Makes First-of-Its-Kind $205M Tax Credit Deal for Carbon Capture with Harvestone  ESG News,Bank of America Makes First-of-Its-Kind $205M Tax Credit Deal for Carbon Capture with Harvestone - ESG News. Bank of America Makes First-of-Its-Kind $205M Tax Credit Deal for Carbon Capture with Harvestone  ESG News,ESG,-0.99994934,negative,2024-09-05 07:00:00
