ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
CSCO,Cisco,Accenture DEI dump joins Trump 2.0 ESG fragmentation - Yahoo Finance,Accenture DEI dump joins Trump 2.0 ESG fragmentation  Yahoo Finance,Accenture DEI dump joins Trump 2.0 ESG fragmentation - Yahoo Finance. Accenture DEI dump joins Trump 2.0 ESG fragmentation  Yahoo Finance,ESG,-0.9998572,negative,2025-02-07 08:00:00
CSCO,Cisco,Flex Wins Cisco 2024 Excellence in ESG Award - Stock Titan,Flex Wins Cisco 2024 Excellence in ESG Award  Stock Titan,Flex Wins Cisco 2024 Excellence in ESG Award - Stock Titan. Flex Wins Cisco 2024 Excellence in ESG Award  Stock Titan,ESG,0.99999666,neutral,2024-11-04 08:00:00
CSCO,Cisco,Flex Wins Cisco 2024 Excellence in ESG Award - PR Newswire,Flex Wins Cisco 2024 Excellence in ESG Award  PR Newswire,Flex Wins Cisco 2024 Excellence in ESG Award - PR Newswire. Flex Wins Cisco 2024 Excellence in ESG Award  PR Newswire,ESG,0.9999976,neutral,2024-11-04 08:00:00
CSCO,Cisco,Cisco Foundation Impact Report 2024: 170 Million Lives Improved Globally Through Strategic Investments in SDGs and Digital Education - ESG News,Cisco Foundation Impact Report 2024: 170 Million Lives Improved Globally Through Strategic Investments in SDGs and Digital Education  ESG News,Cisco Foundation Impact Report 2024: 170 Million Lives Improved Globally Through Strategic Investments in SDGs and Digital Education - ESG News. Cisco Foundation Impact Report 2024: 170 Million Lives Improved Globally Through Strategic Investments in SDGs and Digital Education  ESG News,ESG,0.9999989,neutral,2024-10-31 07:00:00
CSCO,Cisco,ESG APAC - ESG News,ESG APAC  ESG News,ESG APAC - ESG News. ESG APAC  ESG News,ESG,-0.99999964,negative,2024-10-09 11:47:01
CSCO,Cisco,How Hybrid Work Can Advance Sustainability - Supply & Demand Chain Executive,How Hybrid Work Can Advance Sustainability  Supply & Demand Chain Executive,How Hybrid Work Can Advance Sustainability - Supply & Demand Chain Executive. How Hybrid Work Can Advance Sustainability  Supply & Demand Chain Executive,ESG,-0.96068764,negative,2024-10-02 07:00:00
CSCO,Cisco,"ESG Investing Market Size, Share And Growth Report, 2030 - Grand View Research","ESG Investing Market Size, Share And Growth Report, 2030  Grand View Research","ESG Investing Market Size, Share And Growth Report, 2030 - Grand View Research. ESG Investing Market Size, Share And Growth Report, 2030  Grand View Research",ESG,-0.99999654,negative,2024-07-17 11:01:34
CSCO,Cisco,"Exclusive: A Conversation with Mary de Wysocki, Chief Sustainability Officer Cisco - ESG News","Exclusive: A Conversation with Mary de Wysocki, Chief Sustainability Officer Cisco  ESG News","Exclusive: A Conversation with Mary de Wysocki, Chief Sustainability Officer Cisco - ESG News. Exclusive: A Conversation with Mary de Wysocki, Chief Sustainability Officer Cisco  ESG News",ESG,-0.9999895,negative,2024-06-03 07:00:00
CSCO,Cisco,Are these the best ESG shares to watch in March 2024? - ig.com,Are these the best ESG shares to watch in March 2024?  ig.com,Are these the best ESG shares to watch in March 2024? - ig.com. Are these the best ESG shares to watch in March 2024?  ig.com,ESG,-0.99995613,negative,2024-02-28 23:03:20
CSCO,Cisco,Amazon Loses Key Backer Four Years Into Plan to Eliminate Carbon Emissions - Bloomberg.com,Amazon Loses Key Backer Four Years Into Plan to Eliminate Carbon Emissions  Bloomberg.com,Amazon Loses Key Backer Four Years Into Plan to Eliminate Carbon Emissions - Bloomberg.com. Amazon Loses Key Backer Four Years Into Plan to Eliminate Carbon Emissions  Bloomberg.com,ESG,0.99982053,positive,2023-08-14 07:00:00
