ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
C,Citigroup,ESG Today: Week in Review - ESG Today,ESG Today: Week in Review  ESG Today,ESG Today: Week in Review - ESG Today. ESG Today: Week in Review  ESG Today,ESG,-1.0,negative,2025-04-20 07:00:00
C,Citigroup,(PDF) ESG Disclosures and Stock Price Crash Risk - ResearchGate,(PDF) ESG Disclosures and Stock Price Crash Risk  ResearchGate,(PDF) ESG Disclosures and Stock Price Crash Risk - ResearchGate. (PDF) ESG Disclosures and Stock Price Crash Risk  ResearchGate,ESG,-0.99995327,negative,2025-02-27 08:00:00
C,Citigroup,Legal & General Future World ESG Tilted & Optimised Developed Index: February 2025 fund update - Hargreaves Lansdown,Legal & General Future World ESG Tilted & Optimised Developed Index: February 2025 fund update  Hargreaves Lansdown,Legal & General Future World ESG Tilted & Optimised Developed Index: February 2025 fund update - Hargreaves Lansdown. Legal & General Future World ESG Tilted & Optimised Developed Index: February 2025 fund update  Hargreaves Lansdown,ESG,-0.99999857,negative,2025-02-03 08:00:00
C,Citigroup,Shanghai Stock Exchange Strengthens ESG Reporting - Seneca ESG,Shanghai Stock Exchange Strengthens ESG Reporting  Seneca ESG,Shanghai Stock Exchange Strengthens ESG Reporting - Seneca ESG. Shanghai Stock Exchange Strengthens ESG Reporting  Seneca ESG,ESG,0.99999726,neutral,2025-01-30 08:00:00
C,Citigroup,Texas ramps up ESG pressure on Wall Street over DEI efforts - Investment News,Texas ramps up ESG pressure on Wall Street over DEI efforts  Investment News,Texas ramps up ESG pressure on Wall Street over DEI efforts - Investment News. Texas ramps up ESG pressure on Wall Street over DEI efforts  Investment News,ESG,-0.8995158,negative,2025-01-24 08:00:00
C,Citigroup,"Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today. Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today",ESG,-0.9999707,negative,2025-01-02 08:00:00
C,Citigroup,Citigroup cuts ESG analyst jobs as research group trimmed - The Business Times,Citigroup cuts ESG analyst jobs as research group trimmed  The Business Times,Citigroup cuts ESG analyst jobs as research group trimmed - The Business Times. Citigroup cuts ESG analyst jobs as research group trimmed  The Business Times,ESG,0.99105376,positive,2024-12-11 08:00:00
C,Citigroup,Brookfield Renewable Launches C$200M Green Hybrid Bonds to Fund ESG Projects - ESG News,Brookfield Renewable Launches C$200M Green Hybrid Bonds to Fund ESG Projects  ESG News,Brookfield Renewable Launches C$200M Green Hybrid Bonds to Fund ESG Projects - ESG News. Brookfield Renewable Launches C$200M Green Hybrid Bonds to Fund ESG Projects  ESG News,ESG,-0.99998593,negative,2024-12-09 08:00:00
C,Citigroup,Does a company’s ESG score have a measurable impact on its market value? - Deloitte,Does a company’s ESG score have a measurable impact on its market value?  Deloitte,Does a company’s ESG score have a measurable impact on its market value? - Deloitte. Does a company’s ESG score have a measurable impact on its market value?  Deloitte,ESG,-0.9999957,negative,2024-11-21 20:41:04
C,Citigroup,How ESG Cultivates a New Paradigm in Risk Management - EY,How ESG Cultivates a New Paradigm in Risk Management  EY,How ESG Cultivates a New Paradigm in Risk Management - EY. How ESG Cultivates a New Paradigm in Risk Management  EY,ESG,-0.9523712,negative,2024-10-29 12:43:43
C,Citigroup,(PDF) A Comparative Study on ESG Performance of the top 100 Bombay Stock Exchange (BSE) Listed Companies in India - ResearchGate,(PDF) A Comparative Study on ESG Performance of the top 100 Bombay Stock Exchange (BSE) Listed Companies in India  ResearchGate,(PDF) A Comparative Study on ESG Performance of the top 100 Bombay Stock Exchange (BSE) Listed Companies in India - ResearchGate. (PDF) A Comparative Study on ESG Performance of the top 100 Bombay Stock Exchange (BSE) Listed Companies in India  ResearchGate,ESG,-0.9999969,negative,2024-10-22 07:00:00
C,Citigroup,Amazon Leads $500 Million Capital Raise for SMR Nuclear Technology Company X-Energy - ESG Today,Amazon Leads $500 Million Capital Raise for SMR Nuclear Technology Company X-Energy  ESG Today,Amazon Leads $500 Million Capital Raise for SMR Nuclear Technology Company X-Energy - ESG Today. Amazon Leads $500 Million Capital Raise for SMR Nuclear Technology Company X-Energy  ESG Today,ESG,-0.94297296,negative,2024-10-18 07:00:00
C,Citigroup,"How ESG risks impact global stock market returns, plus 2 fund ideas - Hargreaves Lansdown","How ESG risks impact global stock market returns, plus 2 fund ideas  Hargreaves Lansdown","How ESG risks impact global stock market returns, plus 2 fund ideas - Hargreaves Lansdown. How ESG risks impact global stock market returns, plus 2 fund ideas  Hargreaves Lansdown",ESG,-0.999943,negative,2024-09-26 07:00:00
C,Citigroup,ESG Strategist - green bonds & energy performance real estate - ABN AMRO Bank,ESG Strategist - green bonds & energy performance real estate  ABN AMRO Bank,ESG Strategist - green bonds & energy performance real estate - ABN AMRO Bank. ESG Strategist - green bonds & energy performance real estate  ABN AMRO Bank,ESG,-0.999998,negative,2024-09-20 07:00:00
C,Citigroup,"Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now? - Yahoo Finance","Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now?  Yahoo Finance","Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now? - Yahoo Finance. Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now?  Yahoo Finance",ESG,0.9991487,neutral,2024-09-08 07:00:00
C,Citigroup,"ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis - Nature","ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis  Nature","ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis - Nature. ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis  Nature",ESG,0.8731687,positive,2024-09-06 07:00:00
C,Citigroup,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research - Wiley Online Library,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research  Wiley Online Library,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research - Wiley Online Library. ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research  Wiley Online Library,ESG,-0.99999905,negative,2024-08-28 07:00:00
C,Citigroup,ESG performance and corporate value: Analysis from the stakeholders’ perspective - Frontiers,ESG performance and corporate value: Analysis from the stakeholders’ perspective  Frontiers,ESG performance and corporate value: Analysis from the stakeholders’ perspective - Frontiers. ESG performance and corporate value: Analysis from the stakeholders’ perspective  Frontiers,ESG,-0.99998045,negative,2024-06-27 10:31:29
C,Citigroup,ESG metrics and social equity: Investigating commensurability - Frontiers,ESG metrics and social equity: Investigating commensurability  Frontiers,ESG metrics and social equity: Investigating commensurability - Frontiers. ESG metrics and social equity: Investigating commensurability  Frontiers,ESG,-0.99999654,negative,2024-06-25 11:50:04
C,Citigroup,The evolving role of ESG in the defense industry | Strategy& - PwC,The evolving role of ESG in the defense industry | Strategy&  PwC,The evolving role of ESG in the defense industry | Strategy& - PwC. The evolving role of ESG in the defense industry | Strategy&  PwC,ESG,-0.9980416,negative,2024-05-08 05:59:36
C,Citigroup,The evaluation of ESG by C-level executives -respondents in the 2019... - ResearchGate,The evaluation of ESG by C-level executives -respondents in the 2019...  ResearchGate,The evaluation of ESG by C-level executives -respondents in the 2019... - ResearchGate. The evaluation of ESG by C-level executives -respondents in the 2019...  ResearchGate,ESG,-0.9999993,negative,2024-04-17 04:28:36
