ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
FITB,Fifth Third Bank,Fifth Third Bank: Empowering Black Women Business Owners - CSRwire,Fifth Third Bank: Empowering Black Women Business Owners  CSRwire,Fifth Third Bank: Empowering Black Women Business Owners - CSRwire. Fifth Third Bank: Empowering Black Women Business Owners  CSRwire,ESG,-0.9990175,negative,2022-11-02 07:00:00
FITB,Fifth Third Bank,2021 Fifth Third ESG Report: Inclusion Councils and BRGs - CSRwire,2021 Fifth Third ESG Report: Inclusion Councils and BRGs  CSRwire,2021 Fifth Third ESG Report: Inclusion Councils and BRGs - CSRwire. 2021 Fifth Third ESG Report: Inclusion Councils and BRGs  CSRwire,ESG,-0.99999976,negative,2022-09-28 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2021 ESG Report: Inclusion & Diversity - CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Inclusion & Diversity  CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Inclusion & Diversity - CSRwire. From the Fifth Third Bancorp 2021 ESG Report: Inclusion & Diversity  CSRwire,ESG,-0.99999905,negative,2022-09-22 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2021 ESG Report: Climate Risk Management - CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Climate Risk Management  CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Climate Risk Management - CSRwire. From the Fifth Third Bancorp 2021 ESG Report: Climate Risk Management  CSRwire,ESG,-0.9999933,negative,2022-09-01 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2021 ESG Report: Climate Strategy - CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Climate Strategy  CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Climate Strategy - CSRwire. From the Fifth Third Bancorp 2021 ESG Report: Climate Strategy  CSRwire,ESG,-0.9999989,negative,2022-08-12 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2021 ESG Report: Serving Customers - CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Serving Customers  CSRwire,From the Fifth Third Bancorp 2021 ESG Report: Serving Customers - CSRwire. From the Fifth Third Bancorp 2021 ESG Report: Serving Customers  CSRwire,ESG,-0.9999963,negative,2022-08-05 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2020 ESG Report: Communities - CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Communities  CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Communities - CSRwire. From the Fifth Third Bancorp 2020 ESG Report: Communities  CSRwire,ESG,-0.9999988,negative,2021-09-23 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2020 ESG Report: Retaining Employees - CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Retaining Employees  CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Retaining Employees - CSRwire. From the Fifth Third Bancorp 2020 ESG Report: Retaining Employees  CSRwire,ESG,-0.9991867,negative,2021-09-17 07:00:00
FITB,Fifth Third Bank,From the 2020 Fifth Third ESG Report: Employee Development - CSRwire,From the 2020 Fifth Third ESG Report: Employee Development  CSRwire,From the 2020 Fifth Third ESG Report: Employee Development - CSRwire. From the 2020 Fifth Third ESG Report: Employee Development  CSRwire,ESG,-0.9999989,negative,2021-09-15 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2020 ESG Report: Employee Engagement - CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Employee Engagement  CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Employee Engagement - CSRwire. From the Fifth Third Bancorp 2020 ESG Report: Employee Engagement  CSRwire,ESG,-0.9999988,negative,2021-09-13 07:00:00
FITB,Fifth Third Bank,From the Fifth Third Bancorp 2020 ESG Report: Human Capital Strategic Priorities - CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Human Capital Strategic Priorities  CSRwire,From the Fifth Third Bancorp 2020 ESG Report: Human Capital Strategic Priorities - CSRwire. From the Fifth Third Bancorp 2020 ESG Report: Human Capital Strategic Priorities  CSRwire,ESG,-0.9999956,negative,2021-09-07 07:00:00
