ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
JPM,JPMorgan Chase,"JPMorgan Chase & Co. Has $236,000 Holdings in ClearBridge Large Cap Growth ESG ETF (NASDAQ:LRGE) - Defense World","JPMorgan Chase & Co. Has $236,000 Holdings in ClearBridge Large Cap Growth ESG ETF (NASDAQ:LRGE)  Defense World","JPMorgan Chase & Co. Has $236,000 Holdings in ClearBridge Large Cap Growth ESG ETF (NASDAQ:LRGE) - Defense World. JPMorgan Chase & Co. Has $236,000 Holdings in ClearBridge Large Cap Growth ESG ETF (NASDAQ:LRGE)  Defense World",ESG,-0.9999988,negative,2025-05-04 09:13:41
JPM,JPMorgan Chase,JPMorgan Chase & Co. Increases Stake in Nuveen ESG Large-Cap Growth ETF (BATS:NULG) - Defense World,JPMorgan Chase & Co. Increases Stake in Nuveen ESG Large-Cap Growth ETF (BATS:NULG)  Defense World,JPMorgan Chase & Co. Increases Stake in Nuveen ESG Large-Cap Growth ETF (BATS:NULG) - Defense World. JPMorgan Chase & Co. Increases Stake in Nuveen ESG Large-Cap Growth ETF (BATS:NULG)  Defense World,ESG,0.90278345,neutral,2025-05-03 07:21:47
JPM,JPMorgan Chase,JPMorgan Chase & Co. Purchases 536 Shares of Nuveen ESG Mid-Cap Value ETF (BATS:NUMV) - Defense World,JPMorgan Chase & Co. Purchases 536 Shares of Nuveen ESG Mid-Cap Value ETF (BATS:NUMV)  Defense World,JPMorgan Chase & Co. Purchases 536 Shares of Nuveen ESG Mid-Cap Value ETF (BATS:NUMV) - Defense World. JPMorgan Chase & Co. Purchases 536 Shares of Nuveen ESG Mid-Cap Value ETF (BATS:NUMV)  Defense World,ESG,-0.99999845,negative,2025-05-02 08:53:57
JPM,JPMorgan Chase,"JPMorgan Chase & Co. Sells 2,772 Shares of Vanguard ESG U.S. Corporate Bond ETF (BATS:VCEB) - Defense World","JPMorgan Chase & Co. Sells 2,772 Shares of Vanguard ESG U.S. Corporate Bond ETF (BATS:VCEB)  Defense World","JPMorgan Chase & Co. Sells 2,772 Shares of Vanguard ESG U.S. Corporate Bond ETF (BATS:VCEB) - Defense World. JPMorgan Chase & Co. Sells 2,772 Shares of Vanguard ESG U.S. Corporate Bond ETF (BATS:VCEB)  Defense World",ESG,-0.9999933,negative,2025-05-02 08:13:55
JPM,JPMorgan Chase,"JPMorgan Chase & Co. Sells 94,656 Shares of Xtrackers MSCI USA ESG Leaders Equity ETF (NYSEARCA:USSG) - Defense World","JPMorgan Chase & Co. Sells 94,656 Shares of Xtrackers MSCI USA ESG Leaders Equity ETF (NYSEARCA:USSG)  Defense World","JPMorgan Chase & Co. Sells 94,656 Shares of Xtrackers MSCI USA ESG Leaders Equity ETF (NYSEARCA:USSG) - Defense World. JPMorgan Chase & Co. Sells 94,656 Shares of Xtrackers MSCI USA ESG Leaders Equity ETF (NYSEARCA:USSG)  Defense World",ESG,-0.9999862,negative,2025-05-01 07:29:58
JPM,JPMorgan Chase,"JPMorgan Chase & Co. Acquires 2,306 Shares of Nuveen ESG Emerging Markets Equity ETF (BATS:NUEM) - Defense World","JPMorgan Chase & Co. Acquires 2,306 Shares of Nuveen ESG Emerging Markets Equity ETF (BATS:NUEM)  Defense World","JPMorgan Chase & Co. Acquires 2,306 Shares of Nuveen ESG Emerging Markets Equity ETF (BATS:NUEM) - Defense World. JPMorgan Chase & Co. Acquires 2,306 Shares of Nuveen ESG Emerging Markets Equity ETF (BATS:NUEM)  Defense World",ESG,-0.99998415,negative,2025-05-01 07:22:02
JPM,JPMorgan Chase,Sustainability at J.P. Morgan - J.P. Morgan,Sustainability at J.P. Morgan  J.P. Morgan,Sustainability at J.P. Morgan - J.P. Morgan. Sustainability at J.P. Morgan  J.P. Morgan,ESG,-0.99998164,negative,2025-04-30 20:51:07
JPM,JPMorgan Chase,JPMorgan Chase & Co. Decreases Stake in Vanguard ESG International Stock ETF (BATS:VSGX) - Defense World,JPMorgan Chase & Co. Decreases Stake in Vanguard ESG International Stock ETF (BATS:VSGX)  Defense World,JPMorgan Chase & Co. Decreases Stake in Vanguard ESG International Stock ETF (BATS:VSGX) - Defense World. JPMorgan Chase & Co. Decreases Stake in Vanguard ESG International Stock ETF (BATS:VSGX)  Defense World,ESG,-0.999816,negative,2025-04-30 07:21:21
JPM,JPMorgan Chase,JPMorgan Chase & Co. Decreases Stock Holdings in Nuveen ESG U.S. Aggregate Bond ETF (NYSEARCA:NUBD) - Defense World,JPMorgan Chase & Co. Decreases Stock Holdings in Nuveen ESG U.S. Aggregate Bond ETF (NYSEARCA:NUBD)  Defense World,JPMorgan Chase & Co. Decreases Stock Holdings in Nuveen ESG U.S. Aggregate Bond ETF (NYSEARCA:NUBD) - Defense World. JPMorgan Chase & Co. Decreases Stock Holdings in Nuveen ESG U.S. Aggregate Bond ETF (NYSEARCA:NUBD)  Defense World,ESG,-0.99944013,negative,2025-04-30 07:19:53
JPM,JPMorgan Chase,iShares ESG MSCI EM Leaders ETF (NASDAQ:LDEM) Shares Sold by JPMorgan Chase & Co. - Defense World,iShares ESG MSCI EM Leaders ETF (NASDAQ:LDEM) Shares Sold by JPMorgan Chase & Co.  Defense World,iShares ESG MSCI EM Leaders ETF (NASDAQ:LDEM) Shares Sold by JPMorgan Chase & Co. - Defense World. iShares ESG MSCI EM Leaders ETF (NASDAQ:LDEM) Shares Sold by JPMorgan Chase & Co.  Defense World,ESG,-0.9999969,negative,2025-04-28 07:39:45
