ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
KEY,KeyCorp,Coty Leads Beauty Industry with Top-Tier ESG Ratings: Ranks 3rd Among 104 Companies - Stock Titan,Coty Leads Beauty Industry with Top-Tier ESG Ratings: Ranks 3rd Among 104 Companies  Stock Titan,Coty Leads Beauty Industry with Top-Tier ESG Ratings: Ranks 3rd Among 104 Companies - Stock Titan. Coty Leads Beauty Industry with Top-Tier ESG Ratings: Ranks 3rd Among 104 Companies  Stock Titan,ESG,-0.93559474,negative,2025-04-16 07:00:00
KEY,KeyCorp,OneStream Launches Game-Changing ESG Solution as 73% of Investors Demand Better Reporting - Stock Titan,OneStream Launches Game-Changing ESG Solution as 73% of Investors Demand Better Reporting  Stock Titan,OneStream Launches Game-Changing ESG Solution as 73% of Investors Demand Better Reporting - Stock Titan. OneStream Launches Game-Changing ESG Solution as 73% of Investors Demand Better Reporting  Stock Titan,ESG,0.9990368,neutral,2025-04-08 07:00:00
KEY,KeyCorp,ESG investing statistics: key UK trends and insights - Unbiased,ESG investing statistics: key UK trends and insights  Unbiased,ESG investing statistics: key UK trends and insights - Unbiased. ESG investing statistics: key UK trends and insights  Unbiased,ESG,-0.9999956,negative,2025-03-14 07:00:00
KEY,KeyCorp,10 Best ESG Stocks for 2025 - The Motley Fool,10 Best ESG Stocks for 2025  The Motley Fool,10 Best ESG Stocks for 2025 - The Motley Fool. 10 Best ESG Stocks for 2025  The Motley Fool,ESG,-0.96607536,negative,2025-02-25 08:00:00
KEY,KeyCorp,"ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider - GlobeNewswire","ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider  GlobeNewswire","ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider - GlobeNewswire. ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider  GlobeNewswire",ESG,-0.99998677,negative,2025-02-21 08:00:00
KEY,KeyCorp,5 Best Climate Change Stocks for 2025 - The Motley Fool,5 Best Climate Change Stocks for 2025  The Motley Fool,5 Best Climate Change Stocks for 2025 - The Motley Fool. 5 Best Climate Change Stocks for 2025  The Motley Fool,ESG,-0.99908686,negative,2025-02-21 08:00:00
KEY,KeyCorp,What Is ESG Investing? A Guide To Socially Responsible Investing - Bankrate,What Is ESG Investing? A Guide To Socially Responsible Investing  Bankrate,What Is ESG Investing? A Guide To Socially Responsible Investing - Bankrate. What Is ESG Investing? A Guide To Socially Responsible Investing  Bankrate,ESG,-0.9999974,negative,2025-02-13 08:00:00
KEY,KeyCorp,Genmab A/S Celebrates 25 Years with Key Acquisitions and ESG Milestones - TipRanks,Genmab A/S Celebrates 25 Years with Key Acquisitions and ESG Milestones  TipRanks,Genmab A/S Celebrates 25 Years with Key Acquisitions and ESG Milestones - TipRanks. Genmab A/S Celebrates 25 Years with Key Acquisitions and ESG Milestones  TipRanks,ESG,-0.9762353,negative,2025-02-12 08:00:00
KEY,KeyCorp,Shanghai Stock Exchange Strengthens ESG Reporting - Seneca ESG,Shanghai Stock Exchange Strengthens ESG Reporting  Seneca ESG,Shanghai Stock Exchange Strengthens ESG Reporting - Seneca ESG. Shanghai Stock Exchange Strengthens ESG Reporting  Seneca ESG,ESG,0.99999726,neutral,2025-01-30 08:00:00
KEY,KeyCorp,Thailand SEC Updates ‘ESG Product Platform’ with Key SRI Fund Data to Boost Sustainable Investing - ESG News,Thailand SEC Updates ‘ESG Product Platform’ with Key SRI Fund Data to Boost Sustainable Investing  ESG News,Thailand SEC Updates ‘ESG Product Platform’ with Key SRI Fund Data to Boost Sustainable Investing - ESG News. Thailand SEC Updates ‘ESG Product Platform’ with Key SRI Fund Data to Boost Sustainable Investing  ESG News,ESG,0.85311246,neutral,2025-01-24 08:00:00
KEY,KeyCorp,ESG in 2025: What to Expect in Trump 2.0 | V&E ESG Update | Outlook on the New Administration | Insights - Vinson & Elkins LLP,ESG in 2025: What to Expect in Trump 2.0 | V&E ESG Update | Outlook on the New Administration | Insights  Vinson & Elkins LLP,ESG in 2025: What to Expect in Trump 2.0 | V&E ESG Update | Outlook on the New Administration | Insights - Vinson & Elkins LLP. ESG in 2025: What to Expect in Trump 2.0 | V&E ESG Update | Outlook on the New Administration | Insights  Vinson & Elkins LLP,ESG,-0.99945277,negative,2025-01-15 08:00:00
KEY,KeyCorp,S&P Global's Top 10 Sustainability Trends to Watch in 2025 - S&P Global,S&P Global's Top 10 Sustainability Trends to Watch in 2025  S&P Global,S&P Global's Top 10 Sustainability Trends to Watch in 2025 - S&P Global. S&P Global's Top 10 Sustainability Trends to Watch in 2025  S&P Global,ESG,-0.9871974,negative,2025-01-15 08:00:00
KEY,KeyCorp,China embarks on a journey of ESG disclosure: 2024 progress and focus for 2025 - United Nations Environment Programme Finance Initiative (UNEP FI),China embarks on a journey of ESG disclosure: 2024 progress and focus for 2025  United Nations Environment Programme Finance Initiative (UNEP FI),China embarks on a journey of ESG disclosure: 2024 progress and focus for 2025 - United Nations Environment Programme Finance Initiative (UNEP FI). China embarks on a journey of ESG disclosure: 2024 progress and focus for 2025  United Nations Environment Programme Finance Initiative (UNEP FI),ESG,-0.99996567,negative,2025-01-07 08:00:00
