ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
LI,Li Auto,(PDF) ESG: Research Progress and Future Prospects - ResearchGate,(PDF) ESG: Research Progress and Future Prospects  ResearchGate,(PDF) ESG: Research Progress and Future Prospects - ResearchGate. (PDF) ESG: Research Progress and Future Prospects  ResearchGate,ESG,-0.9999746,negative,2025-04-23 07:00:00
LI,Li Auto,Li Auto's New ESG Report Reveals Strategic Sustainability Roadmap for 2024 - Stock Titan,Li Auto's New ESG Report Reveals Strategic Sustainability Roadmap for 2024  Stock Titan,Li Auto's New ESG Report Reveals Strategic Sustainability Roadmap for 2024 - Stock Titan. Li Auto's New ESG Report Reveals Strategic Sustainability Roadmap for 2024  Stock Titan,ESG,-0.96787816,negative,2025-04-10 07:00:00
LI,Li Auto,"Li Auto Inc. Releases 2024 Environmental, Social and Governance Report - TradingView","Li Auto Inc. Releases 2024 Environmental, Social and Governance Report  TradingView","Li Auto Inc. Releases 2024 Environmental, Social and Governance Report - TradingView. Li Auto Inc. Releases 2024 Environmental, Social and Governance Report  TradingView",ESG,-0.9999794,negative,2025-04-10 07:00:00
LI,Li Auto,"Li Auto Inc. Releases 2024 Environmental, Social and Governance Report | LI Stock News - GuruFocus","Li Auto Inc. Releases 2024 Environmental, Social and Governance Report | LI Stock News  GuruFocus","Li Auto Inc. Releases 2024 Environmental, Social and Governance Report | LI Stock News - GuruFocus. Li Auto Inc. Releases 2024 Environmental, Social and Governance Report | LI Stock News  GuruFocus",ESG,-0.9996032,negative,2025-04-10 07:00:00
LI,Li Auto,Ping An Health Releases 2024 ESG Report - PR Newswire,Ping An Health Releases 2024 ESG Report  PR Newswire,Ping An Health Releases 2024 ESG Report - PR Newswire. Ping An Health Releases 2024 ESG Report  PR Newswire,ESG,-0.99999917,negative,2025-03-25 07:00:00
LI,Li Auto,Investors hail impact of EU ESG rules in BYD exit from e-cigarettes - Responsible Investor,Investors hail impact of EU ESG rules in BYD exit from e-cigarettes  Responsible Investor,Investors hail impact of EU ESG rules in BYD exit from e-cigarettes - Responsible Investor. Investors hail impact of EU ESG rules in BYD exit from e-cigarettes  Responsible Investor,ESG,-0.99991727,negative,2025-03-13 07:00:00
LI,Li Auto,(PDF) ESG Disclosures and Stock Price Crash Risk - ResearchGate,(PDF) ESG Disclosures and Stock Price Crash Risk  ResearchGate,(PDF) ESG Disclosures and Stock Price Crash Risk - ResearchGate. (PDF) ESG Disclosures and Stock Price Crash Risk  ResearchGate,ESG,-0.99995327,negative,2025-02-27 08:00:00
LI,Li Auto,China SIF | Nan Li Collins (UN SSE Chair): ESG Leads Capital Markets Towards a Sustainable Future - Caixin Global,China SIF | Nan Li Collins (UN SSE Chair): ESG Leads Capital Markets Towards a Sustainable Future  Caixin Global,China SIF | Nan Li Collins (UN SSE Chair): ESG Leads Capital Markets Towards a Sustainable Future - Caixin Global. China SIF | Nan Li Collins (UN SSE Chair): ESG Leads Capital Markets Towards a Sustainable Future  Caixin Global,ESG,-0.9975061,negative,2024-12-23 08:00:00
LI,Li Auto,ESG Delivers LI Ferry To Mcallister Subsidiary - Marine News Magazine,ESG Delivers LI Ferry To Mcallister Subsidiary  Marine News Magazine,ESG Delivers LI Ferry To Mcallister Subsidiary - Marine News Magazine. ESG Delivers LI Ferry To Mcallister Subsidiary  Marine News Magazine,ESG,-0.99999607,negative,2024-12-20 08:00:00
LI,Li Auto,(PDF) Exploring the impact of sustainability (ESG) disclosure on firm value and financial performance (FP) in airline industry: the moderating role of size and age - ResearchGate,(PDF) Exploring the impact of sustainability (ESG) disclosure on firm value and financial performance (FP) in airline industry: the moderating role of size and age  ResearchGate,(PDF) Exploring the impact of sustainability (ESG) disclosure on firm value and financial performance (FP) in airline industry: the moderating role of size and age - ResearchGate. (PDF) Exploring the impact of sustainability (ESG) disclosure on firm value and financial performance (FP) in airline industry: the moderating role of size and age  ResearchGate,ESG,-0.9999963,negative,2024-12-09 08:00:00
