ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
META,Meta,"Meta, Zelestra Sign 4 New Renewable Energy Deals, Expanding U.S. Solar Portfolio - ESG News","Meta, Zelestra Sign 4 New Renewable Energy Deals, Expanding U.S. Solar Portfolio  ESG News","Meta, Zelestra Sign 4 New Renewable Energy Deals, Expanding U.S. Solar Portfolio - ESG News. Meta, Zelestra Sign 4 New Renewable Energy Deals, Expanding U.S. Solar Portfolio  ESG News",ESG,0.99969363,neutral,2025-01-31 08:00:00
META,Meta,"Editor’s note: Meta, misinformation and ESG metrics - Sustainable Views","Editor’s note: Meta, misinformation and ESG metrics  Sustainable Views","Editor’s note: Meta, misinformation and ESG metrics - Sustainable Views. Editor’s note: Meta, misinformation and ESG metrics  Sustainable Views",ESG,-0.9999982,negative,2025-01-16 08:00:00
META,Meta,Meta halt to fact checking sparks ESG concerns - Sustainable Views,Meta halt to fact checking sparks ESG concerns  Sustainable Views,Meta halt to fact checking sparks ESG concerns - Sustainable Views. Meta halt to fact checking sparks ESG concerns  Sustainable Views,ESG,0.9997166,positive,2025-01-16 08:00:00
META,Meta,ESG News Recap: Meta Cuts Back on DEI and Sustainability Goal - Impakter,ESG News Recap: Meta Cuts Back on DEI and Sustainability Goal  Impakter,ESG News Recap: Meta Cuts Back on DEI and Sustainability Goal - Impakter. ESG News Recap: Meta Cuts Back on DEI and Sustainability Goal  Impakter,ESG,-0.99954623,negative,2025-01-14 08:00:00
META,Meta,"Meta joins chorus of DEI rollbacks, cutting roles and programs - ESG Dive","Meta joins chorus of DEI rollbacks, cutting roles and programs  ESG Dive","Meta joins chorus of DEI rollbacks, cutting roles and programs - ESG Dive. Meta joins chorus of DEI rollbacks, cutting roles and programs  ESG Dive",ESG,-0.9998425,negative,2025-01-13 08:00:00
META,Meta,Meta Seeks up to 4 GW of New Nuclear Energy to Power AI and Sustainability Goals - ESG News,Meta Seeks up to 4 GW of New Nuclear Energy to Power AI and Sustainability Goals  ESG News,Meta Seeks up to 4 GW of New Nuclear Energy to Power AI and Sustainability Goals - ESG News. Meta Seeks up to 4 GW of New Nuclear Energy to Power AI and Sustainability Goals  ESG News,ESG,-0.9877143,negative,2024-12-05 08:00:00
META,Meta,Meta and ENGIE Sign 260 MW Renewable Energy Deal to Power Data Centers - ESG News,Meta and ENGIE Sign 260 MW Renewable Energy Deal to Power Data Centers  ESG News,Meta and ENGIE Sign 260 MW Renewable Energy Deal to Power Data Centers - ESG News. Meta and ENGIE Sign 260 MW Renewable Energy Deal to Power Data Centers  ESG News,ESG,-0.99995077,negative,2024-11-04 08:00:00
META,Meta,Meta Pledges $35 Million for Carbon Removal Projects in Partnership with U.S. Department of Energy - ESG News,Meta Pledges $35 Million for Carbon Removal Projects in Partnership with U.S. Department of Energy  ESG News,Meta Pledges $35 Million for Carbon Removal Projects in Partnership with U.S. Department of Energy - ESG News. Meta Pledges $35 Million for Carbon Removal Projects in Partnership with U.S. Department of Energy  ESG News,ESG,-0.9999962,negative,2024-10-18 07:00:00
META,Meta,ESG investing & firm performance: Retrospections of past & reflections of future - Wiley Online Library,ESG investing & firm performance: Retrospections of past & reflections of future  Wiley Online Library,ESG investing & firm performance: Retrospections of past & reflections of future - Wiley Online Library. ESG investing & firm performance: Retrospections of past & reflections of future  Wiley Online Library,ESG,-0.99999475,negative,2024-10-11 07:00:00
META,Meta,Power thirst complicates ESG investors' love affair with tech stocks - Reuters,Power thirst complicates ESG investors' love affair with tech stocks  Reuters,Power thirst complicates ESG investors' love affair with tech stocks - Reuters. Power thirst complicates ESG investors' love affair with tech stocks  Reuters,ESG,-0.9999132,negative,2024-09-26 07:00:00
META,Meta,Part III: ESG factors and returns – a review of recent research - PRI,Part III: ESG factors and returns – a review of recent research  PRI,Part III: ESG factors and returns – a review of recent research - PRI. Part III: ESG factors and returns – a review of recent research  PRI,ESG,-0.99999535,negative,2024-09-25 07:00:00
META,Meta,"Meta Launches Responsible Business Practices Report Highlighting Progress in AI, Human Rights, and Sustainability Goals - ESG News","Meta Launches Responsible Business Practices Report Highlighting Progress in AI, Human Rights, and Sustainability Goals  ESG News","Meta Launches Responsible Business Practices Report Highlighting Progress in AI, Human Rights, and Sustainability Goals - ESG News. Meta Launches Responsible Business Practices Report Highlighting Progress in AI, Human Rights, and Sustainability Goals  ESG News",ESG,-0.9708948,negative,2024-09-23 07:00:00
META,Meta,What Is ESG Investing? - Forbes,What Is ESG Investing?  Forbes,What Is ESG Investing? - Forbes. What Is ESG Investing?  Forbes,ESG,-0.99999547,negative,2024-09-02 07:00:00
