ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
MSFT,Microsoft,ESG Today: Week in Review - ESG Today,ESG Today: Week in Review  ESG Today,ESG Today: Week in Review - ESG Today. ESG Today: Week in Review  ESG Today,ESG,-1.0,negative,2025-04-20 07:00:00
MSFT,Microsoft,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger. Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,ESG,-0.999064,negative,2025-04-18 07:00:00
MSFT,Microsoft,"Microsoft, IAG Sign Largest-Ever Scope 3 SAF Deal to Cut Emissions from Business Travel and Air Freight - ESG News","Microsoft, IAG Sign Largest-Ever Scope 3 SAF Deal to Cut Emissions from Business Travel and Air Freight  ESG News","Microsoft, IAG Sign Largest-Ever Scope 3 SAF Deal to Cut Emissions from Business Travel and Air Freight - ESG News. Microsoft, IAG Sign Largest-Ever Scope 3 SAF Deal to Cut Emissions from Business Travel and Air Freight  ESG News",ESG,-0.9945708,negative,2025-04-07 07:00:00
MSFT,Microsoft,10 Best ESG Stocks for 2025 - The Motley Fool,10 Best ESG Stocks for 2025  The Motley Fool,10 Best ESG Stocks for 2025 - The Motley Fool. 10 Best ESG Stocks for 2025  The Motley Fool,ESG,-0.96607536,negative,2025-02-25 08:00:00
MSFT,Microsoft,ESG News Recap: Trump's Tariffs - a Big Blow for EU Carmakers - Impakter,ESG News Recap: Trump's Tariffs - a Big Blow for EU Carmakers  Impakter,ESG News Recap: Trump's Tariffs - a Big Blow for EU Carmakers - Impakter. ESG News Recap: Trump's Tariffs - a Big Blow for EU Carmakers  Impakter,ESG,0.99922454,neutral,2025-02-03 08:00:00
MSFT,Microsoft,ESG data readiness drives value for financial services firms - Microsoft,ESG data readiness drives value for financial services firms  Microsoft,ESG data readiness drives value for financial services firms - Microsoft. ESG data readiness drives value for financial services firms  Microsoft,ESG,-0.92600346,negative,2025-01-08 08:00:00
MSFT,Microsoft,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025 - StockNews,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025  StockNews,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025 - StockNews. AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025  StockNews,ESG,-0.9998678,negative,2025-01-03 08:00:00
MSFT,Microsoft,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com. 20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,ESG,-0.99984443,negative,2024-12-22 08:00:00
MSFT,Microsoft,"Microsoft, Acadia Launch Climate Investment Coalition Backing $9B in Renewable Projects - ESG News","Microsoft, Acadia Launch Climate Investment Coalition Backing $9B in Renewable Projects  ESG News","Microsoft, Acadia Launch Climate Investment Coalition Backing $9B in Renewable Projects - ESG News. Microsoft, Acadia Launch Climate Investment Coalition Backing $9B in Renewable Projects  ESG News",ESG,-0.99998665,negative,2024-12-12 08:00:00
MSFT,Microsoft,ESG Investing: Is Microsoft a Responsible Investment? - The Motley Fool,ESG Investing: Is Microsoft a Responsible Investment?  The Motley Fool,ESG Investing: Is Microsoft a Responsible Investment? - The Motley Fool. ESG Investing: Is Microsoft a Responsible Investment?  The Motley Fool,ESG,-0.9999951,negative,2024-12-12 08:00:00
MSFT,Microsoft,Microsoft clinches ocean-based carbon removal deal with Ebb Carbon - ESG Dive,Microsoft clinches ocean-based carbon removal deal with Ebb Carbon  ESG Dive,Microsoft clinches ocean-based carbon removal deal with Ebb Carbon - ESG Dive. Microsoft clinches ocean-based carbon removal deal with Ebb Carbon  ESG Dive,ESG,-0.99963355,negative,2024-10-28 07:00:00
MSFT,Microsoft,Generation Investment Management Global Equity Strategy’s Thoughts on Microsoft Corporation’s (MSFT) ESG Goal - Insider Monkey,Generation Investment Management Global Equity Strategy’s Thoughts on Microsoft Corporation’s (MSFT) ESG Goal  Insider Monkey,Generation Investment Management Global Equity Strategy’s Thoughts on Microsoft Corporation’s (MSFT) ESG Goal - Insider Monkey. Generation Investment Management Global Equity Strategy’s Thoughts on Microsoft Corporation’s (MSFT) ESG Goal  Insider Monkey,ESG,-0.9999989,negative,2024-10-01 07:00:00
