ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
MS,Morgan Stanley,7 Best-Performing ESG ETFs and 7 Cheapest ESG ETFs for May 2025 - NerdWallet,7 Best-Performing ESG ETFs and 7 Cheapest ESG ETFs for May 2025  NerdWallet,7 Best-Performing ESG ETFs and 7 Cheapest ESG ETFs for May 2025 - NerdWallet. 7 Best-Performing ESG ETFs and 7 Cheapest ESG ETFs for May 2025  NerdWallet,ESG,0.9898343,neutral,2025-05-01 07:00:00
MS,Morgan Stanley,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger. Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,ESG,-0.999064,negative,2025-04-18 07:00:00
MS,Morgan Stanley,Morgan Stanley Says ESG Easing Could Add $119 Billion to Defense - Bloomberg.com,Morgan Stanley Says ESG Easing Could Add $119 Billion to Defense  Bloomberg.com,Morgan Stanley Says ESG Easing Could Add $119 Billion to Defense - Bloomberg.com. Morgan Stanley Says ESG Easing Could Add $119 Billion to Defense  Bloomberg.com,ESG,-0.9996147,negative,2025-03-24 07:00:00
MS,Morgan Stanley,"ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider - GlobeNewswire","ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider  GlobeNewswire","ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider - GlobeNewswire. ESG Investing Market to Reach USD 130,880 Billion by 2032 | SNS Insider  GlobeNewswire",ESG,-0.99998677,negative,2025-02-21 08:00:00
MS,Morgan Stanley,ESG News Recap: South Korea Fines JP Morgan for Legal Breach - Impakter,ESG News Recap: South Korea Fines JP Morgan for Legal Breach  Impakter,ESG News Recap: South Korea Fines JP Morgan for Legal Breach - Impakter. ESG News Recap: South Korea Fines JP Morgan for Legal Breach  Impakter,ESG,-0.99999225,negative,2025-02-14 08:00:00
MS,Morgan Stanley,"Record $27 billion pulled from US environmental, social and governance funds - The Straits Times","Record $27 billion pulled from US environmental, social and governance funds  The Straits Times","Record $27 billion pulled from US environmental, social and governance funds - The Straits Times. Record $27 billion pulled from US environmental, social and governance funds  The Straits Times",ESG,-0.9992188,negative,2025-01-17 08:00:00
MS,Morgan Stanley,ESG round-up: GFANZ widens scope as Morgan Stanley joins bulge bracket exodus - Responsible Investor,ESG round-up: GFANZ widens scope as Morgan Stanley joins bulge bracket exodus  Responsible Investor,ESG round-up: GFANZ widens scope as Morgan Stanley joins bulge bracket exodus - Responsible Investor. ESG round-up: GFANZ widens scope as Morgan Stanley joins bulge bracket exodus  Responsible Investor,ESG,-0.9999291,negative,2025-01-02 08:00:00
MS,Morgan Stanley,Goldman Sachs exits Net-Zero Banking Alliance - ESG Dive,Goldman Sachs exits Net-Zero Banking Alliance  ESG Dive,Goldman Sachs exits Net-Zero Banking Alliance - ESG Dive. Goldman Sachs exits Net-Zero Banking Alliance  ESG Dive,ESG,-0.9999982,negative,2024-12-10 08:00:00
MS,Morgan Stanley,80% of Asset Owners Expect Sustainable Investments to Grow in Next Two Years: Morgan Stanley Survey - ESG News,80% of Asset Owners Expect Sustainable Investments to Grow in Next Two Years: Morgan Stanley Survey  ESG News,80% of Asset Owners Expect Sustainable Investments to Grow in Next Two Years: Morgan Stanley Survey - ESG News. 80% of Asset Owners Expect Sustainable Investments to Grow in Next Two Years: Morgan Stanley Survey  ESG News,ESG,0.9829412,neutral,2024-12-05 08:00:00
MS,Morgan Stanley,80% of Investors Expect to Increase Sustainable Investments Over Next 2 Years: Morgan Stanley Survey - ESG Today,80% of Investors Expect to Increase Sustainable Investments Over Next 2 Years: Morgan Stanley Survey  ESG Today,80% of Investors Expect to Increase Sustainable Investments Over Next 2 Years: Morgan Stanley Survey - ESG Today. 80% of Investors Expect to Increase Sustainable Investments Over Next 2 Years: Morgan Stanley Survey  ESG Today,ESG,-0.99664503,negative,2024-12-04 08:00:00
