ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NET,Cloudflare,ESG ETFs Take Big Hits During Trump's First 100 Days - Yahoo Finance,ESG ETFs Take Big Hits During Trump's First 100 Days  Yahoo Finance,ESG ETFs Take Big Hits During Trump's First 100 Days - Yahoo Finance. ESG ETFs Take Big Hits During Trump's First 100 Days  Yahoo Finance,ESG,-0.99555475,negative,2025-05-01 22:45:00
NET,Cloudflare,Noah Holdings Leads ESG Rankings with 62% Female Workforce and Double 'A' Ratings Globally - Stock Titan,Noah Holdings Leads ESG Rankings with 62% Female Workforce and Double 'A' Ratings Globally  Stock Titan,Noah Holdings Leads ESG Rankings with 62% Female Workforce and Double 'A' Ratings Globally - Stock Titan. Noah Holdings Leads ESG Rankings with 62% Female Workforce and Double 'A' Ratings Globally  Stock Titan,ESG,-0.9955787,negative,2025-04-17 07:00:00
NET,Cloudflare,ESG round-up: Deloitte pulls out of Net Zero Financial Service Providers Alliance - Responsible Investor,ESG round-up: Deloitte pulls out of Net Zero Financial Service Providers Alliance  Responsible Investor,ESG round-up: Deloitte pulls out of Net Zero Financial Service Providers Alliance - Responsible Investor. ESG round-up: Deloitte pulls out of Net Zero Financial Service Providers Alliance  Responsible Investor,ESG,-0.999997,negative,2025-03-19 07:00:00
NET,Cloudflare,HKMA’s $450bn fund expects managers to share its ESG convictions - Responsible Investor,HKMA’s $450bn fund expects managers to share its ESG convictions  Responsible Investor,HKMA’s $450bn fund expects managers to share its ESG convictions - Responsible Investor. HKMA’s $450bn fund expects managers to share its ESG convictions  Responsible Investor,ESG,-0.9999981,negative,2025-03-17 07:00:00
NET,Cloudflare,Wolters Kluwer Doubles Down on Sustainability: Sets Bold 60% Emissions Cut Target in Latest Annual Report - Stock Titan,Wolters Kluwer Doubles Down on Sustainability: Sets Bold 60% Emissions Cut Target in Latest Annual Report  Stock Titan,Wolters Kluwer Doubles Down on Sustainability: Sets Bold 60% Emissions Cut Target in Latest Annual Report - Stock Titan. Wolters Kluwer Doubles Down on Sustainability: Sets Bold 60% Emissions Cut Target in Latest Annual Report  Stock Titan,ESG,-0.9996656,negative,2025-03-12 07:00:00
NET,Cloudflare,Top ESG Stocks to Watch in April 2025 - ig.com,Top ESG Stocks to Watch in April 2025  ig.com,Top ESG Stocks to Watch in April 2025 - ig.com. Top ESG Stocks to Watch in April 2025  ig.com,ESG,-0.9999938,negative,2025-02-28 13:30:12
NET,Cloudflare,"CEE’s High-Net-Worth Investors Are Turning to Private Equity, Technology, and ESG for Growth - The Recursive","CEE’s High-Net-Worth Investors Are Turning to Private Equity, Technology, and ESG for Growth  The Recursive","CEE’s High-Net-Worth Investors Are Turning to Private Equity, Technology, and ESG for Growth - The Recursive. CEE’s High-Net-Worth Investors Are Turning to Private Equity, Technology, and ESG for Growth  The Recursive",ESG,-0.9999794,negative,2025-02-27 08:00:00
NET,Cloudflare,Inflows Surged for European Article 8 ESG Funds in Q4 - Morningstar,Inflows Surged for European Article 8 ESG Funds in Q4  Morningstar,Inflows Surged for European Article 8 ESG Funds in Q4 - Morningstar. Inflows Surged for European Article 8 ESG Funds in Q4  Morningstar,ESG,0.9999944,neutral,2025-02-05 08:00:00
NET,Cloudflare,Global ESG Fund Flows Increase in Q4 - Morningstar,Global ESG Fund Flows Increase in Q4  Morningstar,Global ESG Fund Flows Increase in Q4 - Morningstar. Global ESG Fund Flows Increase in Q4  Morningstar,ESG,0.9990876,neutral,2025-01-29 08:00:00
NET,Cloudflare,The anti-ESG movement scores a victory as net-zero financial alliance unravels - Corporate Knights,The anti-ESG movement scores a victory as net-zero financial alliance unravels  Corporate Knights,The anti-ESG movement scores a victory as net-zero financial alliance unravels - Corporate Knights. The anti-ESG movement scores a victory as net-zero financial alliance unravels  Corporate Knights,ESG,0.98277295,neutral,2025-01-15 08:00:00
NET,Cloudflare,Net Zero Investor Coalition Hits Pause After BlackRock Exit - ESG Today,Net Zero Investor Coalition Hits Pause After BlackRock Exit  ESG Today,Net Zero Investor Coalition Hits Pause After BlackRock Exit - ESG Today. Net Zero Investor Coalition Hits Pause After BlackRock Exit  ESG Today,ESG,0.83646965,positive,2025-01-14 08:00:00
NET,Cloudflare,Six US banks quit net-zero finance group as ESG pressure mounts - Upstream Online,Six US banks quit net-zero finance group as ESG pressure mounts  Upstream Online,Six US banks quit net-zero finance group as ESG pressure mounts - Upstream Online. Six US banks quit net-zero finance group as ESG pressure mounts  Upstream Online,ESG,-0.99999726,negative,2025-01-10 08:00:00
NET,Cloudflare,"BlackRock Withdraws From Climate Coalition, Backpedaling Again on ESG - WSJ","BlackRock Withdraws From Climate Coalition, Backpedaling Again on ESG  WSJ","BlackRock Withdraws From Climate Coalition, Backpedaling Again on ESG - WSJ. BlackRock Withdraws From Climate Coalition, Backpedaling Again on ESG  WSJ",ESG,-0.99970955,negative,2025-01-09 08:00:00
NET,Cloudflare,ESG round-up: JPMorgan leaves Net Zero Banking Alliance - Responsible Investor,ESG round-up: JPMorgan leaves Net Zero Banking Alliance  Responsible Investor,ESG round-up: JPMorgan leaves Net Zero Banking Alliance - Responsible Investor. ESG round-up: JPMorgan leaves Net Zero Banking Alliance  Responsible Investor,ESG,-0.99999905,negative,2025-01-07 08:00:00
NET,Cloudflare,"Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today","Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group - ESG Today. Citi, BofA Join Goldman Sachs and Wells Fargo in Exiting Net Zero Banking Group  ESG Today",ESG,-0.9999707,negative,2025-01-02 08:00:00
NET,Cloudflare,SEC: 95% of listed PH companies now reporting ESG initiatives - Inquirer.net,SEC: 95% of listed PH companies now reporting ESG initiatives  Inquirer.net,SEC: 95% of listed PH companies now reporting ESG initiatives - Inquirer.net. SEC: 95% of listed PH companies now reporting ESG initiatives  Inquirer.net,ESG,-0.99999344,negative,2024-12-19 08:00:00
NET,Cloudflare,"South-east Asia ESG funds record net inflows in Q3 2024, reversing two quarters of outflows - The Business Times","South-east Asia ESG funds record net inflows in Q3 2024, reversing two quarters of outflows  The Business Times","South-east Asia ESG funds record net inflows in Q3 2024, reversing two quarters of outflows - The Business Times. South-east Asia ESG funds record net inflows in Q3 2024, reversing two quarters of outflows  The Business Times",ESG,0.9999987,neutral,2024-12-15 08:00:00
NET,Cloudflare,Goldman Sachs exits Net-Zero Banking Alliance - ESG Dive,Goldman Sachs exits Net-Zero Banking Alliance  ESG Dive,Goldman Sachs exits Net-Zero Banking Alliance - ESG Dive. Goldman Sachs exits Net-Zero Banking Alliance  ESG Dive,ESG,-0.9999982,negative,2024-12-10 08:00:00
NET,Cloudflare,Global ESG Funds Attract $10.4 Billion in Q3 2024 - Morningstar,Global ESG Funds Attract $10.4 Billion in Q3 2024  Morningstar,Global ESG Funds Attract $10.4 Billion in Q3 2024 - Morningstar. Global ESG Funds Attract $10.4 Billion in Q3 2024  Morningstar,ESG,-0.999998,negative,2024-10-31 07:00:00
NET,Cloudflare,US ESG Fund Flows Continue to Improve in Q3 - Morningstar,US ESG Fund Flows Continue to Improve in Q3  Morningstar,US ESG Fund Flows Continue to Improve in Q3 - Morningstar. US ESG Fund Flows Continue to Improve in Q3  Morningstar,ESG,0.99999964,neutral,2024-10-25 07:00:00
NET,Cloudflare,85% of Investors to Prioritize Sustainability as Private Equity Accelerates Net Zero Efforts: BCG Report - ESG News,85% of Investors to Prioritize Sustainability as Private Equity Accelerates Net Zero Efforts: BCG Report  ESG News,85% of Investors to Prioritize Sustainability as Private Equity Accelerates Net Zero Efforts: BCG Report - ESG News. 85% of Investors to Prioritize Sustainability as Private Equity Accelerates Net Zero Efforts: BCG Report  ESG News,ESG,-0.9999089,negative,2024-10-23 07:00:00
