ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
ORCL,Oracle,Ecofin Global Water ESG Fund (NYSEARCA:EBLU) Trading Up 2.9% – Time to Buy? - Defense World,Ecofin Global Water ESG Fund (NYSEARCA:EBLU) Trading Up 2.9% – Time to Buy?  Defense World,Ecofin Global Water ESG Fund (NYSEARCA:EBLU) Trading Up 2.9% – Time to Buy? - Defense World. Ecofin Global Water ESG Fund (NYSEARCA:EBLU) Trading Up 2.9% – Time to Buy?  Defense World,ESG,-0.93651974,negative,2025-04-15 06:28:56
ORCL,Oracle,"Raymond James Financial Inc. Buys Shares of 20,953 iShares ESG Advanced MSCI USA ETF (NASDAQ:USXF) - Defense World","Raymond James Financial Inc. Buys Shares of 20,953 iShares ESG Advanced MSCI USA ETF (NASDAQ:USXF)  Defense World","Raymond James Financial Inc. Buys Shares of 20,953 iShares ESG Advanced MSCI USA ETF (NASDAQ:USXF) - Defense World. Raymond James Financial Inc. Buys Shares of 20,953 iShares ESG Advanced MSCI USA ETF (NASDAQ:USXF)  Defense World",ESG,-0.9998981,negative,2025-04-04 07:00:00
ORCL,Oracle,"PwC, Oracle Launch New Service to Simplify Pillar Two, CSRD, and CBAM Reporting - ESG News","PwC, Oracle Launch New Service to Simplify Pillar Two, CSRD, and CBAM Reporting  ESG News","PwC, Oracle Launch New Service to Simplify Pillar Two, CSRD, and CBAM Reporting - ESG News. PwC, Oracle Launch New Service to Simplify Pillar Two, CSRD, and CBAM Reporting  ESG News",ESG,-0.995083,negative,2024-12-19 08:00:00
ORCL,Oracle,Does a company’s ESG score have a measurable impact on its market value? - Deloitte,Does a company’s ESG score have a measurable impact on its market value?  Deloitte,Does a company’s ESG score have a measurable impact on its market value? - Deloitte. Does a company’s ESG score have a measurable impact on its market value?  Deloitte,ESG,-0.9999957,negative,2024-11-21 20:41:04
ORCL,Oracle,Oracle Launches Fusion Cloud Sustainability Application to Simplify ESG Reporting and Drive Environmental Progress - ESG News,Oracle Launches Fusion Cloud Sustainability Application to Simplify ESG Reporting and Drive Environmental Progress  ESG News,Oracle Launches Fusion Cloud Sustainability Application to Simplify ESG Reporting and Drive Environmental Progress - ESG News. Oracle Launches Fusion Cloud Sustainability Application to Simplify ESG Reporting and Drive Environmental Progress  ESG News,ESG,-0.605619,negative,2024-09-12 07:00:00
ORCL,Oracle,The 2024 Proxy Season: Which ESG Proposals Made the Podium? - Morningstar,The 2024 Proxy Season: Which ESG Proposals Made the Podium?  Morningstar,The 2024 Proxy Season: Which ESG Proposals Made the Podium? - Morningstar. The 2024 Proxy Season: Which ESG Proposals Made the Podium?  Morningstar,ESG,-0.9999999,negative,2024-09-11 07:00:00
ORCL,Oracle,Deutsche Bank Ties Senior Exec Compensation to Loan Book Decarbonization Goals - ESG Today,Deutsche Bank Ties Senior Exec Compensation to Loan Book Decarbonization Goals  ESG Today,Deutsche Bank Ties Senior Exec Compensation to Loan Book Decarbonization Goals - ESG Today. Deutsche Bank Ties Senior Exec Compensation to Loan Book Decarbonization Goals  ESG Today,ESG,-0.9999976,negative,2024-03-18 07:00:00
ORCL,Oracle,Climate Change Reporting: Bank Impacts - Oracle,Climate Change Reporting: Bank Impacts  Oracle,Climate Change Reporting: Bank Impacts - Oracle. Climate Change Reporting: Bank Impacts  Oracle,ESG,-0.99999654,negative,2024-01-26 07:27:40
ORCL,Oracle,16 Ways to Improve Supply Chain Sustainability - Oracle,16 Ways to Improve Supply Chain Sustainability  Oracle,16 Ways to Improve Supply Chain Sustainability - Oracle. 16 Ways to Improve Supply Chain Sustainability  Oracle,ESG,0.99999774,neutral,2023-08-15 07:00:00
ORCL,Oracle,Warren Buffett lifts fossil fuel bets as global ESG push mints bargains - Financial Post,Warren Buffett lifts fossil fuel bets as global ESG push mints bargains  Financial Post,Warren Buffett lifts fossil fuel bets as global ESG push mints bargains - Financial Post. Warren Buffett lifts fossil fuel bets as global ESG push mints bargains  Financial Post,ESG,-0.9967078,negative,2023-07-25 07:00:00
ORCL,Oracle,What is Sustainability? How It Works & Why It’s Important - Oracle,What is Sustainability? How It Works & Why It’s Important  Oracle,What is Sustainability? How It Works & Why It’s Important - Oracle. What is Sustainability? How It Works & Why It’s Important  Oracle,ESG,-0.98060614,negative,2023-06-14 07:00:00
ORCL,Oracle,The ESG challenge in banking is real — and massive - DXC Technology,The ESG challenge in banking is real — and massive  DXC Technology,The ESG challenge in banking is real — and massive - DXC Technology. The ESG challenge in banking is real — and massive  DXC Technology,ESG,0.9998555,positive,2023-05-30 06:43:30
ORCL,Oracle,ESG for large companies: CSRD ALSO MANDATORY IN ITALY - RSM Global,ESG for large companies: CSRD ALSO MANDATORY IN ITALY  RSM Global,ESG for large companies: CSRD ALSO MANDATORY IN ITALY - RSM Global. ESG for large companies: CSRD ALSO MANDATORY IN ITALY  RSM Global,ESG,-0.9999963,negative,2023-04-20 23:24:40
ORCL,Oracle,"The bonanza of the ESG software market has started, though the best is yet to come - PwC","The bonanza of the ESG software market has started, though the best is yet to come  PwC","The bonanza of the ESG software market has started, though the best is yet to come - PwC. The bonanza of the ESG software market has started, though the best is yet to come  PwC",ESG,-0.96311164,negative,2023-02-02 08:00:00
ORCL,Oracle,Why more than half of listed firms are yet to make ESG disclosures - Business Daily,Why more than half of listed firms are yet to make ESG disclosures  Business Daily,Why more than half of listed firms are yet to make ESG disclosures - Business Daily. Why more than half of listed firms are yet to make ESG disclosures  Business Daily,ESG,-0.99997485,negative,2022-12-09 08:00:00
ORCL,Oracle,Here's Our List Of The 100 Best ESG Companies 2021 - Investor's Business Daily,Here's Our List Of The 100 Best ESG Companies 2021  Investor's Business Daily,Here's Our List Of The 100 Best ESG Companies 2021 - Investor's Business Daily. Here's Our List Of The 100 Best ESG Companies 2021  Investor's Business Daily,ESG,-0.999997,negative,2022-10-17 07:00:00
ORCL,Oracle,Best ESG Stocks: 11 Best Stocks for ESG Investing - MarketBeat,Best ESG Stocks: 11 Best Stocks for ESG Investing  MarketBeat,Best ESG Stocks: 11 Best Stocks for ESG Investing - MarketBeat. Best ESG Stocks: 11 Best Stocks for ESG Investing  MarketBeat,ESG,0.99509287,neutral,2022-01-26 22:21:51
ORCL,Oracle,ESG India - ESG News,ESG India  ESG News,ESG India - ESG News. ESG India  ESG News,ESG,-0.99999964,negative,2022-01-25 17:55:23
ORCL,Oracle,Dow Jones: Privacy Scandals Led to Facebook’s S&P 500 ESG Ouster - CCN.com,Dow Jones: Privacy Scandals Led to Facebook’s S&P 500 ESG Ouster  CCN.com,Dow Jones: Privacy Scandals Led to Facebook’s S&P 500 ESG Ouster - CCN.com. Dow Jones: Privacy Scandals Led to Facebook’s S&P 500 ESG Ouster  CCN.com,ESG,-0.9981351,negative,2020-09-23 07:00:00
