ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
SCHW,Charles Schwab,11 Best Fidelity ESG Funds to Invest in 2025 - theimpactinvestor.com,11 Best Fidelity ESG Funds to Invest in 2025  theimpactinvestor.com,11 Best Fidelity ESG Funds to Invest in 2025 - theimpactinvestor.com. 11 Best Fidelity ESG Funds to Invest in 2025  theimpactinvestor.com,ESG,-0.99998987,negative,2024-12-22 08:00:00
SCHW,Charles Schwab,Anti-ESG firm Strive launches direct indexing product - ESG Dive,Anti-ESG firm Strive launches direct indexing product  ESG Dive,Anti-ESG firm Strive launches direct indexing product - ESG Dive. Anti-ESG firm Strive launches direct indexing product  ESG Dive,ESG,-0.9974251,negative,2024-12-03 08:00:00
SCHW,Charles Schwab,12 Best ESG Analysis Tools to Invest Smarter - theimpactinvestor.com,12 Best ESG Analysis Tools to Invest Smarter  theimpactinvestor.com,12 Best ESG Analysis Tools to Invest Smarter - theimpactinvestor.com. 12 Best ESG Analysis Tools to Invest Smarter  theimpactinvestor.com,ESG,0.82368916,neutral,2024-11-09 08:00:00
SCHW,Charles Schwab,Anti-ESG Proposals Surged in 2024 But Earned Less Support - The Harvard Law School Forum on Corporate Governance,Anti-ESG Proposals Surged in 2024 But Earned Less Support  The Harvard Law School Forum on Corporate Governance,Anti-ESG Proposals Surged in 2024 But Earned Less Support - The Harvard Law School Forum on Corporate Governance. Anti-ESG Proposals Surged in 2024 But Earned Less Support  The Harvard Law School Forum on Corporate Governance,ESG,0.994783,neutral,2024-07-31 07:00:00
SCHW,Charles Schwab,Opinion | The Retreat From ESG Proxy Voting - WSJ,Opinion | The Retreat From ESG Proxy Voting  WSJ,Opinion | The Retreat From ESG Proxy Voting - WSJ. Opinion | The Retreat From ESG Proxy Voting  WSJ,ESG,-0.9879964,negative,2024-05-15 07:00:00
SCHW,Charles Schwab,Top 10: ESG Fund Managers - Sustainability Magazine,Top 10: ESG Fund Managers  Sustainability Magazine,Top 10: ESG Fund Managers - Sustainability Magazine. Top 10: ESG Fund Managers  Sustainability Magazine,ESG,-0.99999464,negative,2024-05-15 07:00:00
SCHW,Charles Schwab,Anti-ESG Shareholder Proposals in 2023 - The Harvard Law School Forum on Corporate Governance,Anti-ESG Shareholder Proposals in 2023  The Harvard Law School Forum on Corporate Governance,Anti-ESG Shareholder Proposals in 2023 - The Harvard Law School Forum on Corporate Governance. Anti-ESG Shareholder Proposals in 2023  The Harvard Law School Forum on Corporate Governance,ESG,-0.9996959,negative,2023-06-01 07:00:00
SCHW,Charles Schwab,How to Invest in ESG in 2024 - Investopedia,How to Invest in ESG in 2024  Investopedia,How to Invest in ESG in 2024 - Investopedia. How to Invest in ESG in 2024  Investopedia,ESG,-0.9999763,negative,2023-05-30 16:53:49
SCHW,Charles Schwab,Opinion | The ESG Proxy Vote Ranking - WSJ,Opinion | The ESG Proxy Vote Ranking  WSJ,Opinion | The ESG Proxy Vote Ranking - WSJ. Opinion | The ESG Proxy Vote Ranking  WSJ,ESG,-0.9999727,negative,2023-05-15 07:00:00
SCHW,Charles Schwab,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG? - Forbes,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG?  Forbes,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG? - Forbes. Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG?  Forbes,ESG,-0.9934574,negative,2022-10-03 07:00:00
