ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
STLA,Stellantis,CSR Vision - Stellantis.com,CSR Vision  Stellantis.com,CSR Vision - Stellantis.com. CSR Vision  Stellantis.com,ESG,-0.9996947,negative,2025-04-01 07:57:27
STLA,Stellantis,Carbon Net Zero Strategy - Stellantis.com,Carbon Net Zero Strategy  Stellantis.com,Carbon Net Zero Strategy - Stellantis.com. Carbon Net Zero Strategy  Stellantis.com,ESG,-0.9999796,negative,2025-04-01 07:57:21
STLA,Stellantis,Diversity and Inclusion - Stellantis.com,Diversity and Inclusion  Stellantis.com,Diversity and Inclusion - Stellantis.com. Diversity and Inclusion  Stellantis.com,ESG,-0.99997115,negative,2025-04-01 07:55:21
STLA,Stellantis,ESG News Recap: Trump Pushes Anti-DEI Policies in Europe - Impakter,ESG News Recap: Trump Pushes Anti-DEI Policies in Europe  Impakter,ESG News Recap: Trump Pushes Anti-DEI Policies in Europe - Impakter. ESG News Recap: Trump Pushes Anti-DEI Policies in Europe  Impakter,ESG,-0.97641355,negative,2025-03-31 07:00:00
STLA,Stellantis,Stellantis to Keep Buying Tesla-Led Emissions Credits in 2025 Despite EU Compliance Delay - ESG News,Stellantis to Keep Buying Tesla-Led Emissions Credits in 2025 Despite EU Compliance Delay  ESG News,Stellantis to Keep Buying Tesla-Led Emissions Credits in 2025 Despite EU Compliance Delay - ESG News. Stellantis to Keep Buying Tesla-Led Emissions Credits in 2025 Despite EU Compliance Delay  ESG News,ESG,-0.83597404,negative,2025-03-31 07:00:00
STLA,Stellantis,ESG News Recap: Big Banks Align with Trump Last Minute - Impakter,ESG News Recap: Big Banks Align with Trump Last Minute  Impakter,ESG News Recap: Big Banks Align with Trump Last Minute - Impakter. ESG News Recap: Big Banks Align with Trump Last Minute  Impakter,ESG,-0.99997413,negative,2025-01-09 08:00:00
STLA,Stellantis,"Automakers to Partner with Tesla, Mercedes to Meet EU 2025 CO₂ Rules - ESG News","Automakers to Partner with Tesla, Mercedes to Meet EU 2025 CO₂ Rules  ESG News","Automakers to Partner with Tesla, Mercedes to Meet EU 2025 CO₂ Rules - ESG News. Automakers to Partner with Tesla, Mercedes to Meet EU 2025 CO₂ Rules  ESG News",ESG,-0.9999863,negative,2025-01-07 08:00:00
STLA,Stellantis,"Stellantis, CATL to Commit €4.1 Billion to Carbon-Neutral EV Battery Plant in Spain - ESG News","Stellantis, CATL to Commit €4.1 Billion to Carbon-Neutral EV Battery Plant in Spain  ESG News","Stellantis, CATL to Commit €4.1 Billion to Carbon-Neutral EV Battery Plant in Spain - ESG News. Stellantis, CATL to Commit €4.1 Billion to Carbon-Neutral EV Battery Plant in Spain  ESG News",ESG,-0.9999845,negative,2024-12-12 08:00:00
STLA,Stellantis,Stellantis 2023 Corporate Social Responsibility Report Outlines Strong Results Against Ambitious Dare Forward 2030 Targets - Stellantis.com,Stellantis 2023 Corporate Social Responsibility Report Outlines Strong Results Against Ambitious Dare Forward 2030 Targets  Stellantis.com,Stellantis 2023 Corporate Social Responsibility Report Outlines Strong Results Against Ambitious Dare Forward 2030 Targets - Stellantis.com. Stellantis 2023 Corporate Social Responsibility Report Outlines Strong Results Against Ambitious Dare Forward 2030 Targets  Stellantis.com,ESG,1.0,neutral,2024-04-05 07:00:00
STLA,Stellantis,Stellantis Ventures Boosts Eco-Friendly Mobility with Investment in Tiamat’s Sodium-Ion Battery Tech - ESG News,Stellantis Ventures Boosts Eco-Friendly Mobility with Investment in Tiamat’s Sodium-Ion Battery Tech  ESG News,Stellantis Ventures Boosts Eco-Friendly Mobility with Investment in Tiamat’s Sodium-Ion Battery Tech - ESG News. Stellantis Ventures Boosts Eco-Friendly Mobility with Investment in Tiamat’s Sodium-Ion Battery Tech  ESG News,ESG,0.99988735,neutral,2024-01-18 08:00:00
STLA,Stellantis,"Stellantis, Samsung SDI Invest over $3.2 billon in New Battery Plant Gigafactory - ESG News","Stellantis, Samsung SDI Invest over $3.2 billon in New Battery Plant Gigafactory  ESG News","Stellantis, Samsung SDI Invest over $3.2 billon in New Battery Plant Gigafactory - ESG News. Stellantis, Samsung SDI Invest over $3.2 billon in New Battery Plant Gigafactory  ESG News",ESG,-0.9999633,negative,2023-10-16 07:00:00
STLA,Stellantis,Stellantis on Track to Reach Bold Social and Environmental Targets - Stellantis.com,Stellantis on Track to Reach Bold Social and Environmental Targets  Stellantis.com,Stellantis on Track to Reach Bold Social and Environmental Targets - Stellantis.com. Stellantis on Track to Reach Bold Social and Environmental Targets  Stellantis.com,ESG,-0.9631403,negative,2023-04-28 07:00:00
STLA,Stellantis,5 ESG Risks and 5 Bargains in Auto Stocks - Morningstar,5 ESG Risks and 5 Bargains in Auto Stocks  Morningstar,5 ESG Risks and 5 Bargains in Auto Stocks - Morningstar. 5 ESG Risks and 5 Bargains in Auto Stocks  Morningstar,ESG,-0.9999906,negative,2023-03-17 07:00:00
STLA,Stellantis,Stellantis Targets $1.9 Billion in Recycling Revenue by 2030 - ESG News,Stellantis Targets $1.9 Billion in Recycling Revenue by 2030  ESG News,Stellantis Targets $1.9 Billion in Recycling Revenue by 2030 - ESG News. Stellantis Targets $1.9 Billion in Recycling Revenue by 2030  ESG News,ESG,-0.99999344,negative,2022-10-12 07:00:00
STLA,Stellantis,CSR Vision - Stellantis.com,CSR Vision  Stellantis.com,CSR Vision - Stellantis.com. CSR Vision  Stellantis.com,ESG,-0.9996947,negative,2021-03-18 10:31:23
