ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
STT,State Street,"BlackRock, State Street and Vanguard show swagger, unity and 'smell blood' as they fire back at charges they perniciously colluded to advance ESG goals - RIABiz","BlackRock, State Street and Vanguard show swagger, unity and 'smell blood' as they fire back at charges they perniciously colluded to advance ESG goals  RIABiz","BlackRock, State Street and Vanguard show swagger, unity and 'smell blood' as they fire back at charges they perniciously colluded to advance ESG goals - RIABiz. BlackRock, State Street and Vanguard show swagger, unity and 'smell blood' as they fire back at charges they perniciously colluded to advance ESG goals  RIABiz",ESG,-0.9839215,negative,2025-04-09 07:00:00
STT,State Street,"BlackRock (BLK), Vanguard, and State Street Push to Dismiss U.S. Antitrust Lawsuit over ESG Investing - TipRanks","BlackRock (BLK), Vanguard, and State Street Push to Dismiss U.S. Antitrust Lawsuit over ESG Investing  TipRanks","BlackRock (BLK), Vanguard, and State Street Push to Dismiss U.S. Antitrust Lawsuit over ESG Investing - TipRanks. BlackRock (BLK), Vanguard, and State Street Push to Dismiss U.S. Antitrust Lawsuit over ESG Investing  TipRanks",ESG,-0.9887849,negative,2025-03-17 07:00:00
STT,State Street,"State Street ditches board diversity requirement, completes Big Three DEI retreat - ESG Dive","State Street ditches board diversity requirement, completes Big Three DEI retreat  ESG Dive","State Street ditches board diversity requirement, completes Big Three DEI retreat - ESG Dive. State Street ditches board diversity requirement, completes Big Three DEI retreat  ESG Dive",ESG,-0.9999887,negative,2025-03-06 08:00:00
STT,State Street,'Fearless Girl' statue sponsor State Street drops boardroom diversity targets - Reuters,'Fearless Girl' statue sponsor State Street drops boardroom diversity targets  Reuters,'Fearless Girl' statue sponsor State Street drops boardroom diversity targets - Reuters. 'Fearless Girl' statue sponsor State Street drops boardroom diversity targets  Reuters,ESG,-0.99998486,negative,2025-03-01 08:00:00
STT,State Street,Top UK pension fund pulls £28bn from State Street over ESG retreat - Financial Times,Top UK pension fund pulls £28bn from State Street over ESG retreat  Financial Times,Top UK pension fund pulls £28bn from State Street over ESG retreat - Financial Times. Top UK pension fund pulls £28bn from State Street over ESG retreat  Financial Times,ESG,-0.9999536,negative,2025-02-26 08:00:00
STT,State Street,"Texas Leads 11 States in ESG Suit Against Vanguard, BlackRock, State Street - Barron's","Texas Leads 11 States in ESG Suit Against Vanguard, BlackRock, State Street  Barron's","Texas Leads 11 States in ESG Suit Against Vanguard, BlackRock, State Street - Barron's. Texas Leads 11 States in ESG Suit Against Vanguard, BlackRock, State Street  Barron's",ESG,-0.99540174,negative,2024-12-04 08:00:00
STT,State Street,"BlackRock, Vanguard, State Street sued by 11 GOP states, in ESG lawsuit - BenefitsPRO","BlackRock, Vanguard, State Street sued by 11 GOP states, in ESG lawsuit  BenefitsPRO","BlackRock, Vanguard, State Street sued by 11 GOP states, in ESG lawsuit - BenefitsPRO. BlackRock, Vanguard, State Street sued by 11 GOP states, in ESG lawsuit  BenefitsPRO",ESG,0.87752914,positive,2024-12-02 08:00:00
STT,State Street,"BlackRock, Vanguard, State Street sued by Texas, red states - ESG Dive","BlackRock, Vanguard, State Street sued by Texas, red states  ESG Dive","BlackRock, Vanguard, State Street sued by Texas, red states - ESG Dive. BlackRock, Vanguard, State Street sued by Texas, red states  ESG Dive",ESG,-0.97431177,negative,2024-12-02 08:00:00
STT,State Street,"BlackRock, State Street, Vanguard Face ESG Lawsuit by 11 States - 401k Specialist","BlackRock, State Street, Vanguard Face ESG Lawsuit by 11 States  401k Specialist","BlackRock, State Street, Vanguard Face ESG Lawsuit by 11 States - 401k Specialist. BlackRock, State Street, Vanguard Face ESG Lawsuit by 11 States  401k Specialist",ESG,-0.9991002,negative,2024-12-02 08:00:00
STT,State Street,"Texas Launches Multi-State Lawsuit Accusing BlackRock, Vanguard, State Street of Using ESG Investing to Manipulate Energy Markets - ESG Today","Texas Launches Multi-State Lawsuit Accusing BlackRock, Vanguard, State Street of Using ESG Investing to Manipulate Energy Markets  ESG Today","Texas Launches Multi-State Lawsuit Accusing BlackRock, Vanguard, State Street of Using ESG Investing to Manipulate Energy Markets - ESG Today. Texas Launches Multi-State Lawsuit Accusing BlackRock, Vanguard, State Street of Using ESG Investing to Manipulate Energy Markets  ESG Today",ESG,-0.96720517,negative,2024-12-02 08:00:00
