ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
TD,TD Bank,The anti-ESG movement scores a victory as net-zero financial alliance unravels - Corporate Knights,The anti-ESG movement scores a victory as net-zero financial alliance unravels  Corporate Knights,The anti-ESG movement scores a victory as net-zero financial alliance unravels - Corporate Knights. The anti-ESG movement scores a victory as net-zero financial alliance unravels  Corporate Knights,ESG,0.98277295,neutral,2025-01-15 08:00:00
TD,TD Bank,Asset Managers Bet Grid Stocks Will Soar in Trump’s Anti-ESG Era - Bloomberg.com,Asset Managers Bet Grid Stocks Will Soar in Trump’s Anti-ESG Era  Bloomberg.com,Asset Managers Bet Grid Stocks Will Soar in Trump’s Anti-ESG Era - Bloomberg.com. Asset Managers Bet Grid Stocks Will Soar in Trump’s Anti-ESG Era  Bloomberg.com,ESG,-0.9994167,negative,2024-11-17 08:00:00
TD,TD Bank,Twenty Canadian-listed ETFs with sustainability at their core - The Globe and Mail,Twenty Canadian-listed ETFs with sustainability at their core  The Globe and Mail,Twenty Canadian-listed ETFs with sustainability at their core - The Globe and Mail. Twenty Canadian-listed ETFs with sustainability at their core  The Globe and Mail,ESG,-0.99999774,negative,2024-05-29 07:00:00
TD,TD Bank,TD recognized with Best Corporate Sustainability Strategy: Bank award - PR Newswire,TD recognized with Best Corporate Sustainability Strategy: Bank award  PR Newswire,TD recognized with Best Corporate Sustainability Strategy: Bank award - PR Newswire. TD recognized with Best Corporate Sustainability Strategy: Bank award  PR Newswire,ESG,0.99758947,neutral,2024-05-16 07:00:00
TD,TD Bank,How will growing anti-ESG sentiment in the U.S. impact Canadian institutional investors? - Benefits Canada.com,How will growing anti-ESG sentiment in the U.S. impact Canadian institutional investors?  Benefits Canada.com,How will growing anti-ESG sentiment in the U.S. impact Canadian institutional investors? - Benefits Canada.com. How will growing anti-ESG sentiment in the U.S. impact Canadian institutional investors?  Benefits Canada.com,ESG,-0.9984164,negative,2024-04-12 07:00:00
TD,TD Bank,Canadian banks caught in ESG backlash from U.S. state officials - The Globe and Mail,Canadian banks caught in ESG backlash from U.S. state officials  The Globe and Mail,Canadian banks caught in ESG backlash from U.S. state officials - The Globe and Mail. Canadian banks caught in ESG backlash from U.S. state officials  The Globe and Mail,ESG,-0.99993515,negative,2024-04-09 07:00:00
TD,TD Bank,West Virginia cracks down on major banks over environmental activism - Fox Business,West Virginia cracks down on major banks over environmental activism  Fox Business,West Virginia cracks down on major banks over environmental activism - Fox Business. West Virginia cracks down on major banks over environmental activism  Fox Business,ESG,0.99998903,positive,2024-04-08 07:00:00
TD,TD Bank,Dive Deposits: ESG isn’t just BlackRock’s fight - Banking Dive,Dive Deposits: ESG isn’t just BlackRock’s fight  Banking Dive,Dive Deposits: ESG isn’t just BlackRock’s fight - Banking Dive. Dive Deposits: ESG isn’t just BlackRock’s fight  Banking Dive,ESG,-0.9999827,negative,2024-03-22 07:00:00
TD,TD Bank,TD outlines continued progress on sustainability goals in 2023 Sustainability Reporting Suite - PR Newswire,TD outlines continued progress on sustainability goals in 2023 Sustainability Reporting Suite  PR Newswire,TD outlines continued progress on sustainability goals in 2023 Sustainability Reporting Suite - PR Newswire. TD outlines continued progress on sustainability goals in 2023 Sustainability Reporting Suite  PR Newswire,ESG,0.98965305,neutral,2024-03-14 07:00:00
TD,TD Bank,TD Bank Makes Strides in Sustainability Goals: 2023 Report Highlights Progress - ESG News,TD Bank Makes Strides in Sustainability Goals: 2023 Report Highlights Progress  ESG News,TD Bank Makes Strides in Sustainability Goals: 2023 Report Highlights Progress - ESG News. TD Bank Makes Strides in Sustainability Goals: 2023 Report Highlights Progress  ESG News,ESG,0.9999994,neutral,2024-03-14 07:00:00
TD,TD Bank,TD named a 2024 S&P Global Sustainability Yearbook Member - PR Newswire,TD named a 2024 S&P Global Sustainability Yearbook Member  PR Newswire,TD named a 2024 S&P Global Sustainability Yearbook Member - PR Newswire. TD named a 2024 S&P Global Sustainability Yearbook Member  PR Newswire,ESG,-0.9999778,negative,2024-02-29 08:00:00
TD,TD Bank,Global Demand Surges for World Bank’s 10-Year Sustainable Development Bond - ESG News,Global Demand Surges for World Bank’s 10-Year Sustainable Development Bond  ESG News,Global Demand Surges for World Bank’s 10-Year Sustainable Development Bond - ESG News. Global Demand Surges for World Bank’s 10-Year Sustainable Development Bond  ESG News,ESG,0.9999976,neutral,2024-02-09 08:00:00
TD,TD Bank,"1PointFive, TD Announce One of the Finance Industry’s Largest Purchases of Direct Air Capture Carbon Removal Credits - ESG News","1PointFive, TD Announce One of the Finance Industry’s Largest Purchases of Direct Air Capture Carbon Removal Credits  ESG News","1PointFive, TD Announce One of the Finance Industry’s Largest Purchases of Direct Air Capture Carbon Removal Credits - ESG News. 1PointFive, TD Announce One of the Finance Industry’s Largest Purchases of Direct Air Capture Carbon Removal Credits  ESG News",ESG,-0.99965894,negative,2023-11-01 07:00:00
TD,TD Bank,TD Bank Launches Free Accessibility Tool to Help Drive Inclusive Online Experiences - ESG News,TD Bank Launches Free Accessibility Tool to Help Drive Inclusive Online Experiences  ESG News,TD Bank Launches Free Accessibility Tool to Help Drive Inclusive Online Experiences - ESG News. TD Bank Launches Free Accessibility Tool to Help Drive Inclusive Online Experiences  ESG News,ESG,-0.97757614,negative,2023-09-28 07:00:00
TD,TD Bank,"TD Cowen Managing Director talks ESG investing amid political backlash, climate change - Yahoo Finance","TD Cowen Managing Director talks ESG investing amid political backlash, climate change  Yahoo Finance","TD Cowen Managing Director talks ESG investing amid political backlash, climate change - Yahoo Finance. TD Cowen Managing Director talks ESG investing amid political backlash, climate change  Yahoo Finance",ESG,-0.9999939,negative,2023-05-01 07:00:00
TD,TD Bank,TD announces new interim financed emissions targets and TD Pathways to Economic Inclusion as part of its continued efforts to advance a sustainable and inclusive future - PR Newswire,TD announces new interim financed emissions targets and TD Pathways to Economic Inclusion as part of its continued efforts to advance a sustainable and inclusive future  PR Newswire,TD announces new interim financed emissions targets and TD Pathways to Economic Inclusion as part of its continued efforts to advance a sustainable and inclusive future - PR Newswire. TD announces new interim financed emissions targets and TD Pathways to Economic Inclusion as part of its continued efforts to advance a sustainable and inclusive future  PR Newswire,ESG,0.5533633,neutral,2023-03-16 07:00:00
TD,TD Bank,Clean Energy & Sustainable Infrastructure ETFs Shine - TD Securities,Clean Energy & Sustainable Infrastructure ETFs Shine  TD Securities,Clean Energy & Sustainable Infrastructure ETFs Shine - TD Securities. Clean Energy & Sustainable Infrastructure ETFs Shine  TD Securities,ESG,-0.75400335,negative,2022-10-19 07:00:00
TD,TD Bank,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG? - Forbes,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG?  Forbes,Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG? - Forbes. Does The Anti-Woke MAGA ETF Inadvertently Make The Case For ESG?  Forbes,ESG,-0.9934574,negative,2022-10-03 07:00:00
TD,TD Bank,"TD Securities invests in Canada's largest ever private conservation project, announces formation of ESG Solutions' Carbon Advisory Practice - PR Newswire","TD Securities invests in Canada's largest ever private conservation project, announces formation of ESG Solutions' Carbon Advisory Practice  PR Newswire","TD Securities invests in Canada's largest ever private conservation project, announces formation of ESG Solutions' Carbon Advisory Practice - PR Newswire. TD Securities invests in Canada's largest ever private conservation project, announces formation of ESG Solutions' Carbon Advisory Practice  PR Newswire",ESG,-0.99463946,negative,2022-09-21 07:00:00
TD,TD Bank,TD Launches ETF Focused on Global Carbon Credit Market - ESG News,TD Launches ETF Focused on Global Carbon Credit Market  ESG News,TD Launches ETF Focused on Global Carbon Credit Market - ESG News. TD Launches ETF Focused on Global Carbon Credit Market  ESG News,ESG,-0.9999969,negative,2022-08-31 07:00:00
TD,TD Bank,Reliable Energy Supply is Crucial for the Sustainability of the Clean Energy Transition - TD Economics - Canada,Reliable Energy Supply is Crucial for the Sustainability of the Clean Energy Transition  TD Economics - Canada,Reliable Energy Supply is Crucial for the Sustainability of the Clean Energy Transition - TD Economics - Canada. Reliable Energy Supply is Crucial for the Sustainability of the Clean Energy Transition  TD Economics - Canada,ESG,-0.90032923,negative,2022-04-13 07:00:00
TD,TD Bank,TD SYNNEX Announces Corporate Citizenship Program - ESG News,TD SYNNEX Announces Corporate Citizenship Program  ESG News,TD SYNNEX Announces Corporate Citizenship Program - ESG News. TD SYNNEX Announces Corporate Citizenship Program  ESG News,ESG,-0.99999094,negative,2022-03-28 07:00:00
TD,TD Bank,TD Sets 2030 Interim Financed Emissions Targets for High-Emitting Sectors: Energy and Power Generation - TD Stories,TD Sets 2030 Interim Financed Emissions Targets for High-Emitting Sectors: Energy and Power Generation  TD Stories,TD Sets 2030 Interim Financed Emissions Targets for High-Emitting Sectors: Energy and Power Generation - TD Stories. TD Sets 2030 Interim Financed Emissions Targets for High-Emitting Sectors: Energy and Power Generation  TD Stories,ESG,-0.99996793,negative,2022-03-09 08:00:00
TD,TD Bank,Cadillac Fairview Achieves Well Health-Safety Rating at Toronto-Dominion Centre - ESG News,Cadillac Fairview Achieves Well Health-Safety Rating at Toronto-Dominion Centre  ESG News,Cadillac Fairview Achieves Well Health-Safety Rating at Toronto-Dominion Centre - ESG News. Cadillac Fairview Achieves Well Health-Safety Rating at Toronto-Dominion Centre  ESG News,ESG,-0.8173571,negative,2022-02-09 08:00:00
TD,TD Bank,"TD helps build future innovation in Cleantech, Healthtech, and ESG through new patent funding - PR Newswire","TD helps build future innovation in Cleantech, Healthtech, and ESG through new patent funding  PR Newswire","TD helps build future innovation in Cleantech, Healthtech, and ESG through new patent funding - PR Newswire. TD helps build future innovation in Cleantech, Healthtech, and ESG through new patent funding  PR Newswire",ESG,0.9999994,neutral,2022-01-26 08:00:00
TD,TD Bank,"TD Bank Group Engages Diversity Firms to Actively Lead a US$500 Million Green Bond Offering - a First Among Canadian Issuers - Dec 13, 2021 - PR Newswire","TD Bank Group Engages Diversity Firms to Actively Lead a US$500 Million Green Bond Offering - a First Among Canadian Issuers - Dec 13, 2021  PR Newswire","TD Bank Group Engages Diversity Firms to Actively Lead a US$500 Million Green Bond Offering - a First Among Canadian Issuers - Dec 13, 2021 - PR Newswire. TD Bank Group Engages Diversity Firms to Actively Lead a US$500 Million Green Bond Offering - a First Among Canadian Issuers - Dec 13, 2021  PR Newswire",ESG,-0.99989605,negative,2021-12-13 08:00:00
TD,TD Bank,ETF Strategy Ideas Report: How do ETFs incorporate ESG factors? - TD Securities,ETF Strategy Ideas Report: How do ETFs incorporate ESG factors?  TD Securities,ETF Strategy Ideas Report: How do ETFs incorporate ESG factors? - TD Securities. ETF Strategy Ideas Report: How do ETFs incorporate ESG factors?  TD Securities,ESG,-0.9998041,negative,2021-07-15 07:00:00
TD,TD Bank,TD Accelerated Its Efforts and Broadened Its Positive Impact in a Year of Significant Change and Disruption - CSRwire,TD Accelerated Its Efforts and Broadened Its Positive Impact in a Year of Significant Change and Disruption  CSRwire,TD Accelerated Its Efforts and Broadened Its Positive Impact in a Year of Significant Change and Disruption - CSRwire. TD Accelerated Its Efforts and Broadened Its Positive Impact in a Year of Significant Change and Disruption  CSRwire,ESG,0.9999993,neutral,2021-03-12 08:00:00
TD,TD Bank,TD Commits to Ambitious Climate Action Plan and Targets Net-Zero Emissions by 2050 - TD Stories,TD Commits to Ambitious Climate Action Plan and Targets Net-Zero Emissions by 2050  TD Stories,TD Commits to Ambitious Climate Action Plan and Targets Net-Zero Emissions by 2050 - TD Stories. TD Commits to Ambitious Climate Action Plan and Targets Net-Zero Emissions by 2050  TD Stories,ESG,-0.9994585,negative,2021-01-26 11:16:50
