ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
TSLA,Tesla,"Is Tesla, Inc. (TSLA) the Best Environmental Stock to Buy? - Yahoo Finance","Is Tesla, Inc. (TSLA) the Best Environmental Stock to Buy?  Yahoo Finance","Is Tesla, Inc. (TSLA) the Best Environmental Stock to Buy? - Yahoo Finance. Is Tesla, Inc. (TSLA) the Best Environmental Stock to Buy?  Yahoo Finance",ESG,0.99996316,neutral,2025-02-10 08:00:00
TSLA,Tesla,Why Tesla is #1 in ESG Investing Stocks for 2025 - Energy & Capital,Why Tesla is #1 in ESG Investing Stocks for 2025  Energy & Capital,Why Tesla is #1 in ESG Investing Stocks for 2025 - Energy & Capital. Why Tesla is #1 in ESG Investing Stocks for 2025  Energy & Capital,ESG,-0.98848814,negative,2025-01-24 08:00:00
TSLA,Tesla,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025 - StockNews,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025  StockNews,AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025 - StockNews. AAPL: 3 ESG Stocks for Ethical and Profitable Investing in 2025  StockNews,ESG,-0.9998678,negative,2025-01-03 08:00:00
TSLA,Tesla,Elon Musk Gamble on Trump Pays Off – What This Means for the EV Industry - ESG News,Elon Musk Gamble on Trump Pays Off – What This Means for the EV Industry  ESG News,Elon Musk Gamble on Trump Pays Off – What This Means for the EV Industry - ESG News. Elon Musk Gamble on Trump Pays Off – What This Means for the EV Industry  ESG News,ESG,-0.99998796,negative,2024-11-06 08:00:00
TSLA,Tesla,Tesla Shares Soar 12% in Premarket Trading Following Trump Reelection - ESG News,Tesla Shares Soar 12% in Premarket Trading Following Trump Reelection  ESG News,Tesla Shares Soar 12% in Premarket Trading Following Trump Reelection - ESG News. Tesla Shares Soar 12% in Premarket Trading Following Trump Reelection  ESG News,ESG,-0.6717093,negative,2024-11-06 08:00:00
TSLA,Tesla,"Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now? - Yahoo Finance","Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now?  Yahoo Finance","Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now? - Yahoo Finance. Is Tesla, Inc. (TSLA) a Good ESG Stock To Buy Now?  Yahoo Finance",ESG,0.9991487,neutral,2024-09-08 07:00:00
TSLA,Tesla,Nvidia more popular than Tesla as another 100 ESG funds pile in - The Straits Times,Nvidia more popular than Tesla as another 100 ESG funds pile in  The Straits Times,Nvidia more popular than Tesla as another 100 ESG funds pile in - The Straits Times. Nvidia more popular than Tesla as another 100 ESG funds pile in  The Straits Times,ESG,0.73579234,neutral,2024-06-12 07:00:00
TSLA,Tesla,'It Needs To End:' Elon Musk Rages Again Against 'Corrupted Lie' Of ESG Scores After Tesla's Low Rating Puzzles Cathie Wood - Benzinga,'It Needs To End:' Elon Musk Rages Again Against 'Corrupted Lie' Of ESG Scores After Tesla's Low Rating Puzzles Cathie Wood  Benzinga,'It Needs To End:' Elon Musk Rages Again Against 'Corrupted Lie' Of ESG Scores After Tesla's Low Rating Puzzles Cathie Wood - Benzinga. 'It Needs To End:' Elon Musk Rages Again Against 'Corrupted Lie' Of ESG Scores After Tesla's Low Rating Puzzles Cathie Wood  Benzinga,ESG,-0.99968934,negative,2024-06-06 07:00:00
TSLA,Tesla,Is Musk Worth 160% Of Tesla's Total Profits? ESG Expert Thinks CEO's Pay Package Is 'Lunacy And Completely Detached From Reality' - Benzinga,Is Musk Worth 160% Of Tesla's Total Profits? ESG Expert Thinks CEO's Pay Package Is 'Lunacy And Completely Detached From Reality'  Benzinga,Is Musk Worth 160% Of Tesla's Total Profits? ESG Expert Thinks CEO's Pay Package Is 'Lunacy And Completely Detached From Reality' - Benzinga. Is Musk Worth 160% Of Tesla's Total Profits? ESG Expert Thinks CEO's Pay Package Is 'Lunacy And Completely Detached From Reality'  Benzinga,ESG,-0.99945694,negative,2024-05-02 07:00:00
TSLA,Tesla,Tesla’s ESG standing under fire amid sales slump and Musk controversy - BizNews,Tesla’s ESG standing under fire amid sales slump and Musk controversy  BizNews,Tesla’s ESG standing under fire amid sales slump and Musk controversy - BizNews. Tesla’s ESG standing under fire amid sales slump and Musk controversy  BizNews,ESG,0.9999927,positive,2024-04-04 07:00:00
TSLA,Tesla,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock? - Bloomberg.com,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock?  Bloomberg.com,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock? - Bloomberg.com. Faltering Tesla Faces a Familiar Question: Is It an ESG Stock?  Bloomberg.com,ESG,-0.98331374,negative,2024-04-03 07:00:00
TSLA,Tesla,3 ESG Stocks to Make Green on the Clean Energy Revolution - InvestorPlace,3 ESG Stocks to Make Green on the Clean Energy Revolution  InvestorPlace,3 ESG Stocks to Make Green on the Clean Energy Revolution - InvestorPlace. 3 ESG Stocks to Make Green on the Clean Energy Revolution  InvestorPlace,ESG,-0.99993014,negative,2023-12-01 08:00:00
TSLA,Tesla,"Tesla finds itself trailing behind Shell on ESG scores, why? - Motor Finance Online","Tesla finds itself trailing behind Shell on ESG scores, why?  Motor Finance Online","Tesla finds itself trailing behind Shell on ESG scores, why? - Motor Finance Online. Tesla finds itself trailing behind Shell on ESG scores, why?  Motor Finance Online",ESG,-0.9997733,negative,2023-10-13 07:00:00
TSLA,Tesla,INSIGHTS | Tesla’s Removal from S&P 500’s ESG Index Causes Debate on ESG Ratings - Seneca ESG,INSIGHTS | Tesla’s Removal from S&P 500’s ESG Index Causes Debate on ESG Ratings  Seneca ESG,INSIGHTS | Tesla’s Removal from S&P 500’s ESG Index Causes Debate on ESG Ratings - Seneca ESG. INSIGHTS | Tesla’s Removal from S&P 500’s ESG Index Causes Debate on ESG Ratings  Seneca ESG,ESG,-0.99985147,negative,2023-09-25 06:54:08
TSLA,Tesla,Why Tesla is not ESG - Investment Week,Why Tesla is not ESG  Investment Week,Why Tesla is not ESG - Investment Week. Why Tesla is not ESG  Investment Week,ESG,-0.99988115,negative,2023-08-26 01:23:14
TSLA,Tesla,"Is tobacco ESG-friendlier than Tesla? Funds, investors don't think so - Investment News","Is tobacco ESG-friendlier than Tesla? Funds, investors don't think so  Investment News","Is tobacco ESG-friendlier than Tesla? Funds, investors don't think so - Investment News. Is tobacco ESG-friendlier than Tesla? Funds, investors don't think so  Investment News",ESG,-0.9997154,negative,2023-07-03 07:00:00
TSLA,Tesla,Tesla returns to S&P 500 ESG index with more environmental disclosures - Reuters,Tesla returns to S&P 500 ESG index with more environmental disclosures  Reuters,Tesla returns to S&P 500 ESG index with more environmental disclosures - Reuters. Tesla returns to S&P 500 ESG index with more environmental disclosures  Reuters,ESG,-0.9999021,negative,2023-06-21 07:00:00
TSLA,Tesla,Elon Musk Critical of ESG - Nasdaq,Elon Musk Critical of ESG  Nasdaq,Elon Musk Critical of ESG - Nasdaq. Elon Musk Critical of ESG  Nasdaq,ESG,-0.99999917,negative,2023-06-19 07:00:00
TSLA,Tesla,"When tobacco is more ethical than Tesla, it’s time to dump ESG ratings - The Telegraph","When tobacco is more ethical than Tesla, it’s time to dump ESG ratings  The Telegraph","When tobacco is more ethical than Tesla, it’s time to dump ESG ratings - The Telegraph. When tobacco is more ethical than Tesla, it’s time to dump ESG ratings  The Telegraph",ESG,-0.99309933,negative,2023-06-16 07:00:00
TSLA,Tesla,Elon Musk blasts ESG as ‘the devil’ after tobacco stocks beat Tesla in sustainability indexes - Fortune,Elon Musk blasts ESG as ‘the devil’ after tobacco stocks beat Tesla in sustainability indexes  Fortune,Elon Musk blasts ESG as ‘the devil’ after tobacco stocks beat Tesla in sustainability indexes - Fortune. Elon Musk blasts ESG as ‘the devil’ after tobacco stocks beat Tesla in sustainability indexes  Fortune,ESG,-0.9330038,negative,2023-06-15 07:00:00
TSLA,Tesla,Tobacco Outranks Electric Vehicles on ESG - Tobacco Reporter,Tobacco Outranks Electric Vehicles on ESG  Tobacco Reporter,Tobacco Outranks Electric Vehicles on ESG - Tobacco Reporter. Tobacco Outranks Electric Vehicles on ESG  Tobacco Reporter,ESG,-0.99999535,negative,2023-06-15 07:00:00
