ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
VWAGY,Volkswagen,Volkswagen Group Doubles EV Deliveries in Europe - ESG News,Volkswagen Group Doubles EV Deliveries in Europe  ESG News,Volkswagen Group Doubles EV Deliveries in Europe - ESG News. Volkswagen Group Doubles EV Deliveries in Europe  ESG News,ESG,0.7808141,neutral,2025-04-11 07:00:00
VWAGY,Volkswagen,Volkswagen Emissions Scandal: “Dieselgate”. This graph shows the sharp... - ResearchGate,Volkswagen Emissions Scandal: “Dieselgate”. This graph shows the sharp...  ResearchGate,Volkswagen Emissions Scandal: “Dieselgate”. This graph shows the sharp... - ResearchGate. Volkswagen Emissions Scandal: “Dieselgate”. This graph shows the sharp...  ResearchGate,ESG,-0.9999937,negative,2025-03-24 15:29:56
VWAGY,Volkswagen,Sustainability liabilities move up the D&O watchlist - Allianz Commercial,Sustainability liabilities move up the D&O watchlist  Allianz Commercial,Sustainability liabilities move up the D&O watchlist - Allianz Commercial. Sustainability liabilities move up the D&O watchlist  Allianz Commercial,ESG,-0.9997123,negative,2025-02-05 23:01:23
VWAGY,Volkswagen,Greenwashing: A False Shade of Green - RSM Global,Greenwashing: A False Shade of Green  RSM Global,Greenwashing: A False Shade of Green - RSM Global. Greenwashing: A False Shade of Green  RSM Global,ESG,-0.9991763,negative,2025-01-24 08:00:00
VWAGY,Volkswagen,Analysts see ‘a real fear in the market’ as renewable energy stocks plummet on election results - ESG Dive,Analysts see ‘a real fear in the market’ as renewable energy stocks plummet on election results  ESG Dive,Analysts see ‘a real fear in the market’ as renewable energy stocks plummet on election results - ESG Dive. Analysts see ‘a real fear in the market’ as renewable energy stocks plummet on election results  ESG Dive,ESG,0.96674246,positive,2024-11-08 08:00:00
VWAGY,Volkswagen,"The ESG, climate rules at stake under a second Trump term - ESG Dive","The ESG, climate rules at stake under a second Trump term  ESG Dive","The ESG, climate rules at stake under a second Trump term - ESG Dive. The ESG, climate rules at stake under a second Trump term  ESG Dive",ESG,-0.9999945,negative,2024-11-07 08:00:00
VWAGY,Volkswagen,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace - The Guardian,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace  The Guardian,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace - The Guardian. ‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace  The Guardian,ESG,-0.79183257,negative,2024-10-13 07:00:00
VWAGY,Volkswagen,5 High-Yielding Stocks With a Renewable Energy Tilt - Morningstar,5 High-Yielding Stocks With a Renewable Energy Tilt  Morningstar,5 High-Yielding Stocks With a Renewable Energy Tilt - Morningstar. 5 High-Yielding Stocks With a Renewable Energy Tilt  Morningstar,ESG,-0.99990606,negative,2024-07-18 07:00:00
VWAGY,Volkswagen,Trump could roll back Inflation Reduction Act tax credits if reelected - ESG Dive,Trump could roll back Inflation Reduction Act tax credits if reelected  ESG Dive,Trump could roll back Inflation Reduction Act tax credits if reelected - ESG Dive. Trump could roll back Inflation Reduction Act tax credits if reelected  ESG Dive,ESG,-0.991046,negative,2024-06-20 07:00:00
VWAGY,Volkswagen,Sustainability Strategy - volkswagen-group.com,Sustainability Strategy  volkswagen-group.com,Sustainability Strategy - volkswagen-group.com. Sustainability Strategy  volkswagen-group.com,ESG,-0.99327505,negative,2024-04-10 07:00:00
VWAGY,Volkswagen,ESG Pioneer Mary Jane McQuillen Says Sector Held to ‘Different Standard’ - Bloomberg.com,ESG Pioneer Mary Jane McQuillen Says Sector Held to ‘Different Standard’  Bloomberg.com,ESG Pioneer Mary Jane McQuillen Says Sector Held to ‘Different Standard’ - Bloomberg.com. ESG Pioneer Mary Jane McQuillen Says Sector Held to ‘Different Standard’  Bloomberg.com,ESG,-0.99999523,negative,2024-04-05 07:00:00
VWAGY,Volkswagen,ESG at a Crossroads - The University of Virginia,ESG at a Crossroads  The University of Virginia,ESG at a Crossroads - The University of Virginia. ESG at a Crossroads  The University of Virginia,ESG,-0.99999666,negative,2024-03-26 07:00:00
VWAGY,Volkswagen,Volkswagen Group Taps into New Profit Pools with Sustainable Mobility - ESG News,Volkswagen Group Taps into New Profit Pools with Sustainable Mobility  ESG News,Volkswagen Group Taps into New Profit Pools with Sustainable Mobility - ESG News. Volkswagen Group Taps into New Profit Pools with Sustainable Mobility  ESG News,ESG,-0.9997154,negative,2023-09-04 07:00:00
VWAGY,Volkswagen,Volkswagen to Showcase Diverse Product Portfolio and Commitment to Corporate Responsibility at IAA MOBILITY 2023 - ESG News,Volkswagen to Showcase Diverse Product Portfolio and Commitment to Corporate Responsibility at IAA MOBILITY 2023  ESG News,Volkswagen to Showcase Diverse Product Portfolio and Commitment to Corporate Responsibility at IAA MOBILITY 2023 - ESG News. Volkswagen to Showcase Diverse Product Portfolio and Commitment to Corporate Responsibility at IAA MOBILITY 2023  ESG News,ESG,0.8534836,neutral,2023-08-31 07:00:00
VWAGY,Volkswagen,Volkswagen Group and Elli Launch Electricity Trading on the European Energy Exchange - ESG News,Volkswagen Group and Elli Launch Electricity Trading on the European Energy Exchange  ESG News,Volkswagen Group and Elli Launch Electricity Trading on the European Energy Exchange - ESG News. Volkswagen Group and Elli Launch Electricity Trading on the European Energy Exchange  ESG News,ESG,-0.9999962,negative,2023-07-12 07:00:00
VWAGY,Volkswagen,Volkswagen Group Appoints Giovanni Palazzo as New Head of Charging and Energy - ESG News,Volkswagen Group Appoints Giovanni Palazzo as New Head of Charging and Energy  ESG News,Volkswagen Group Appoints Giovanni Palazzo as New Head of Charging and Energy - ESG News. Volkswagen Group Appoints Giovanni Palazzo as New Head of Charging and Energy  ESG News,ESG,-0.999863,negative,2023-07-10 07:00:00
VWAGY,Volkswagen,Exposing greenwashing: Fighting deceptive sustainability claims - The Malaysian Reserve,Exposing greenwashing: Fighting deceptive sustainability claims  The Malaysian Reserve,Exposing greenwashing: Fighting deceptive sustainability claims - The Malaysian Reserve. Exposing greenwashing: Fighting deceptive sustainability claims  The Malaysian Reserve,ESG,-0.99924755,negative,2023-06-26 07:00:00
VWAGY,Volkswagen,Sustainability Council - volkswagen-group.com,Sustainability Council  volkswagen-group.com,Sustainability Council - volkswagen-group.com. Sustainability Council  volkswagen-group.com,ESG,-0.9975073,negative,2023-06-21 11:44:08
VWAGY,Volkswagen,Sustainability in the Supply Chain - volkswagen-group.com,Sustainability in the Supply Chain  volkswagen-group.com,Sustainability in the Supply Chain - volkswagen-group.com. Sustainability in the Supply Chain  volkswagen-group.com,ESG,-0.97676396,negative,2023-06-13 06:29:19
VWAGY,Volkswagen,ESG-Performance & Reporting - volkswagen-group.com,ESG-Performance & Reporting  volkswagen-group.com,ESG-Performance & Reporting - volkswagen-group.com. ESG-Performance & Reporting  volkswagen-group.com,ESG,-0.9999223,negative,2023-06-13 06:29:16
VWAGY,Volkswagen,Corporate Governance - volkswagen-group.com,Corporate Governance  volkswagen-group.com,Corporate Governance - volkswagen-group.com. Corporate Governance  volkswagen-group.com,ESG,-0.999542,negative,2023-06-13 06:28:54
VWAGY,Volkswagen,Sustainability - volkswagen-group.com,Sustainability  volkswagen-group.com,Sustainability - volkswagen-group.com. Sustainability  volkswagen-group.com,ESG,-0.98282224,negative,2023-06-13 06:28:37
VWAGY,Volkswagen,What ESG Investors Must Demand For Credible Sustainability Reporting - Forbes,What ESG Investors Must Demand For Credible Sustainability Reporting  Forbes,What ESG Investors Must Demand For Credible Sustainability Reporting - Forbes. What ESG Investors Must Demand For Credible Sustainability Reporting  Forbes,ESG,-0.9999049,negative,2023-06-05 07:00:00
VWAGY,Volkswagen,Diversity & Inclusion - volkswagen-group.com,Diversity & Inclusion  volkswagen-group.com,Diversity & Inclusion - volkswagen-group.com. Diversity & Inclusion  volkswagen-group.com,ESG,-0.99963224,negative,2023-05-01 07:00:00
VWAGY,Volkswagen,Leading vehicle manufacturing companies in the ESG theme - Just Auto,Leading vehicle manufacturing companies in the ESG theme  Just Auto,Leading vehicle manufacturing companies in the ESG theme - Just Auto. Leading vehicle manufacturing companies in the ESG theme  Just Auto,ESG,0.7140223,neutral,2023-04-18 07:00:00
VWAGY,Volkswagen,Volkswagen Group to Invest EUR 52 Billion for Emission-Free Mobility - ESG News,Volkswagen Group to Invest EUR 52 Billion for Emission-Free Mobility  ESG News,Volkswagen Group to Invest EUR 52 Billion for Emission-Free Mobility - ESG News. Volkswagen Group to Invest EUR 52 Billion for Emission-Free Mobility  ESG News,ESG,-0.99999154,negative,2023-04-11 07:00:00
VWAGY,Volkswagen,Volkswagen restructures Sustainability unit - volkswagen-group.com,Volkswagen restructures Sustainability unit  volkswagen-group.com,Volkswagen restructures Sustainability unit - volkswagen-group.com. Volkswagen restructures Sustainability unit  volkswagen-group.com,ESG,-0.99970335,negative,2023-03-28 07:00:00
VWAGY,Volkswagen,5 ESG Risks and 5 Bargains in Auto Stocks - Morningstar,5 ESG Risks and 5 Bargains in Auto Stocks  Morningstar,5 ESG Risks and 5 Bargains in Auto Stocks - Morningstar. 5 ESG Risks and 5 Bargains in Auto Stocks  Morningstar,ESG,-0.9999906,negative,2023-03-17 07:00:00
VWAGY,Volkswagen,Volkswagen Appoints Nicole Mommsen as Head of Global Communications and Sustainability at Group Technology - ESG News,Volkswagen Appoints Nicole Mommsen as Head of Global Communications and Sustainability at Group Technology  ESG News,Volkswagen Appoints Nicole Mommsen as Head of Global Communications and Sustainability at Group Technology - ESG News. Volkswagen Appoints Nicole Mommsen as Head of Global Communications and Sustainability at Group Technology  ESG News,ESG,-0.99946815,negative,2023-02-28 08:00:00
VWAGY,Volkswagen,Volkswagen Group presents new Green Finance Framework - ESG News,Volkswagen Group presents new Green Finance Framework  ESG News,Volkswagen Group presents new Green Finance Framework - ESG News. Volkswagen Group presents new Green Finance Framework  ESG News,ESG,-0.99999857,negative,2022-11-01 07:00:00
VWAGY,Volkswagen,Porsche poses governance dilemma for investors weighing IPO - Reuters,Porsche poses governance dilemma for investors weighing IPO  Reuters,Porsche poses governance dilemma for investors weighing IPO - Reuters. Porsche poses governance dilemma for investors weighing IPO  Reuters,ESG,-0.99993336,negative,2022-09-16 07:00:00
VWAGY,Volkswagen,Volkswagen to Supply Mahindra with Electric Components for New Electric Platform ‘INGO’ - ESG News,Volkswagen to Supply Mahindra with Electric Components for New Electric Platform ‘INGO’  ESG News,Volkswagen to Supply Mahindra with Electric Components for New Electric Platform ‘INGO’ - ESG News. Volkswagen to Supply Mahindra with Electric Components for New Electric Platform ‘INGO’  ESG News,ESG,-0.99991524,negative,2022-08-16 07:00:00
VWAGY,Volkswagen,Examples of Greenwashing - The Motley Fool,Examples of Greenwashing  The Motley Fool,Examples of Greenwashing - The Motley Fool. Examples of Greenwashing  The Motley Fool,ESG,-0.99999547,negative,2022-08-10 14:35:55
