ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
ADBE,Adobe,"At least 1 dead after 16 people shot at a Houston family party, police say - WKBN.com","At least 1 dead after 16 people shot at a Houston family party, police say  WKBN.com","At least 1 dead after 16 people shot at a Houston family party, police say - WKBN.com. At least 1 dead after 16 people shot at a Houston family party, police say  WKBN.com",,-0.9999765,negative,2025-05-05 00:49:11
ADBE,Adobe,BT Money Hacks: Million dollar retirement - Enough or good start? - The Business Times,BT Money Hacks: Million dollar retirement - Enough or good start?  The Business Times,BT Money Hacks: Million dollar retirement - Enough or good start? - The Business Times. BT Money Hacks: Million dollar retirement - Enough or good start?  The Business Times,,-0.9956185,negative,2025-05-04 21:00:00
ADBE,Adobe,Tariff Turbulence: What Shifting Trade Policies Mean for Small and Midsize Businesses - Supply & Demand Chain Executive,Tariff Turbulence: What Shifting Trade Policies Mean for Small and Midsize Businesses  Supply & Demand Chain Executive,Tariff Turbulence: What Shifting Trade Policies Mean for Small and Midsize Businesses - Supply & Demand Chain Executive. Tariff Turbulence: What Shifting Trade Policies Mean for Small and Midsize Businesses  Supply & Demand Chain Executive,,0.7158477,positive,2025-05-04 19:53:57
ADBE,Adobe,Check Out This New Diver’s Guide To Sustainable Seafood - DeeperBlue.com,Check Out This New Diver’s Guide To Sustainable Seafood  DeeperBlue.com,Check Out This New Diver’s Guide To Sustainable Seafood - DeeperBlue.com. Check Out This New Diver’s Guide To Sustainable Seafood  DeeperBlue.com,,-0.999902,negative,2025-05-04 18:00:50
ADBE,Adobe,Man whose son was killed by Cincinnati police now charged in death of deputy - WKBN.com,Man whose son was killed by Cincinnati police now charged in death of deputy  WKBN.com,Man whose son was killed by Cincinnati police now charged in death of deputy - WKBN.com. Man whose son was killed by Cincinnati police now charged in death of deputy  WKBN.com,,-0.99862754,negative,2025-05-04 01:21:28
ADBE,Adobe,Two injured in motorcycle crash on I-80 - WKBN.com,Two injured in motorcycle crash on I-80  WKBN.com,Two injured in motorcycle crash on I-80 - WKBN.com. Two injured in motorcycle crash on I-80  WKBN.com,,-0.9999621,negative,2025-05-04 00:49:10
ADBE,Adobe,Adobe (ADBE) Demonstrates Strong Return on Capital - GuruFocus,Adobe (ADBE) Demonstrates Strong Return on Capital  GuruFocus,Adobe (ADBE) Demonstrates Strong Return on Capital - GuruFocus. Adobe (ADBE) Demonstrates Strong Return on Capital  GuruFocus,,1.0,neutral,2025-05-03 18:55:29
ADBE,Adobe,Why Digitizing Supply Chain Mapping Data is the Way of the Future - Supply & Demand Chain Executive,Why Digitizing Supply Chain Mapping Data is the Way of the Future  Supply & Demand Chain Executive,Why Digitizing Supply Chain Mapping Data is the Way of the Future - Supply & Demand Chain Executive. Why Digitizing Supply Chain Mapping Data is the Way of the Future  Supply & Demand Chain Executive,,-0.99969065,negative,2025-05-03 18:18:23
ADBE,Adobe,EPA approves Wyoming uranium mining project - High Plains Journal,EPA approves Wyoming uranium mining project  High Plains Journal,EPA approves Wyoming uranium mining project - High Plains Journal. EPA approves Wyoming uranium mining project  High Plains Journal,,-0.9964734,negative,2025-05-03 13:34:03
ADBE,Adobe,Ready for stagflation? Here's how the Trump tariffs could take us back to the not-so-groovy 70s - Fast Company,Ready for stagflation? Here's how the Trump tariffs could take us back to the not-so-groovy 70s  Fast Company,Ready for stagflation? Here's how the Trump tariffs could take us back to the not-so-groovy 70s - Fast Company. Ready for stagflation? Here's how the Trump tariffs could take us back to the not-so-groovy 70s  Fast Company,,-0.99997354,negative,2025-05-03 10:04:43
