ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
AMZN,Amazon,"Apple, Amazon, Block, Take-Two, Dexcom, MicroStrategy, Duolingo, Roku, and More Movers - Barron's","Apple, Amazon, Block, Take-Two, Dexcom, MicroStrategy, Duolingo, Roku, and More Movers  Barron's","Apple, Amazon, Block, Take-Two, Dexcom, MicroStrategy, Duolingo, Roku, and More Movers - Barron's. Apple, Amazon, Block, Take-Two, Dexcom, MicroStrategy, Duolingo, Roku, and More Movers  Barron's",,-0.9999517,negative,2025-05-05 01:11:13
AMZN,Amazon,"Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com. Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com",,0.99999595,neutral,2025-05-05 00:37:18
AMZN,Amazon,Amazon.com Inc. (AMZN): Among Billionaire Chase Coleman’s Stocks with Huge Upside Potential - Insider Monkey,Amazon.com Inc. (AMZN): Among Billionaire Chase Coleman’s Stocks with Huge Upside Potential  Insider Monkey,Amazon.com Inc. (AMZN): Among Billionaire Chase Coleman’s Stocks with Huge Upside Potential - Insider Monkey. Amazon.com Inc. (AMZN): Among Billionaire Chase Coleman’s Stocks with Huge Upside Potential  Insider Monkey,,0.9999565,neutral,2025-05-04 21:14:17
AMZN,Amazon,Jeff Bezos Is Selling $4.8 Billion Worth of Amazon Stock Amid Trump Tariffs - Just Jared,Jeff Bezos Is Selling $4.8 Billion Worth of Amazon Stock Amid Trump Tariffs  Just Jared,Jeff Bezos Is Selling $4.8 Billion Worth of Amazon Stock Amid Trump Tariffs - Just Jared. Jeff Bezos Is Selling $4.8 Billion Worth of Amazon Stock Amid Trump Tariffs  Just Jared,,-0.99999595,negative,2025-05-04 20:22:25
AMZN,Amazon,Apple and Amazon Grapple with Tariff Costs as Stocks Slide Despite Strong Earnings - BBN Times,Apple and Amazon Grapple with Tariff Costs as Stocks Slide Despite Strong Earnings  BBN Times,Apple and Amazon Grapple with Tariff Costs as Stocks Slide Despite Strong Earnings - BBN Times. Apple and Amazon Grapple with Tariff Costs as Stocks Slide Despite Strong Earnings  BBN Times,,0.9449962,positive,2025-05-04 18:40:22
AMZN,Amazon,3 Soaring Retail Stocks to Hold for the Next 20 Years - Yahoo Finance,3 Soaring Retail Stocks to Hold for the Next 20 Years  Yahoo Finance,3 Soaring Retail Stocks to Hold for the Next 20 Years - Yahoo Finance. 3 Soaring Retail Stocks to Hold for the Next 20 Years  Yahoo Finance,,-0.98166806,negative,2025-05-04 13:45:00
AMZN,Amazon,Analysts revise Amazon stock price targets after earnings - TheStreet,Analysts revise Amazon stock price targets after earnings  TheStreet,Analysts revise Amazon stock price targets after earnings - TheStreet. Analysts revise Amazon stock price targets after earnings  TheStreet,,-0.999964,negative,2025-05-04 13:33:00
AMZN,Amazon,Think Amazon Is Expensive? These 3 Charts Might Change Your Mind. - The Motley Fool,Think Amazon Is Expensive? These 3 Charts Might Change Your Mind.  The Motley Fool,Think Amazon Is Expensive? These 3 Charts Might Change Your Mind. - The Motley Fool. Think Amazon Is Expensive? These 3 Charts Might Change Your Mind.  The Motley Fool,,-0.99969697,negative,2025-05-04 13:30:00
AMZN,Amazon,"1 Unstoppable Stock Set to Join Nvidia, Microsoft, Amazon, and Apple in the $2 Trillion Club - The Motley Fool","1 Unstoppable Stock Set to Join Nvidia, Microsoft, Amazon, and Apple in the $2 Trillion Club  The Motley Fool","1 Unstoppable Stock Set to Join Nvidia, Microsoft, Amazon, and Apple in the $2 Trillion Club - The Motley Fool. 1 Unstoppable Stock Set to Join Nvidia, Microsoft, Amazon, and Apple in the $2 Trillion Club  The Motley Fool",,-0.9999527,negative,2025-05-04 09:47:00
AMZN,Amazon,Amazon: R&D + EBIT Demonstrate Hidden Earnings Power - Seeking Alpha,Amazon: R&D + EBIT Demonstrate Hidden Earnings Power  Seeking Alpha,Amazon: R&D + EBIT Demonstrate Hidden Earnings Power - Seeking Alpha. Amazon: R&D + EBIT Demonstrate Hidden Earnings Power  Seeking Alpha,,0.9999877,neutral,2025-05-04 09:34:00
AMZN,Amazon,5 Growth Stocks to Buy in May and Go Away - Yahoo Finance,5 Growth Stocks to Buy in May and Go Away  Yahoo Finance,5 Growth Stocks to Buy in May and Go Away - Yahoo Finance. 5 Growth Stocks to Buy in May and Go Away  Yahoo Finance,,-0.9992125,negative,2025-05-04 08:42:00
AMZN,Amazon,"Nvidia Stock Investors Just Got the Best News of 2025 (So Far) From Meta Platforms, Amazon, and Microsoft - The Motley Fool","Nvidia Stock Investors Just Got the Best News of 2025 (So Far) From Meta Platforms, Amazon, and Microsoft  The Motley Fool","Nvidia Stock Investors Just Got the Best News of 2025 (So Far) From Meta Platforms, Amazon, and Microsoft - The Motley Fool. Nvidia Stock Investors Just Got the Best News of 2025 (So Far) From Meta Platforms, Amazon, and Microsoft  The Motley Fool",,0.99999857,neutral,2025-05-04 08:02:00
AMZN,Amazon,Bezos Discloses Plan to Sell Up to 25 Million Amazon Shares - MSN,Bezos Discloses Plan to Sell Up to 25 Million Amazon Shares  MSN,Bezos Discloses Plan to Sell Up to 25 Million Amazon Shares - MSN. Bezos Discloses Plan to Sell Up to 25 Million Amazon Shares  MSN,,-0.9999907,negative,2025-05-04 07:38:46
AMZN,Amazon,"Amazon.com, Inc. (AMZN): Among Ken Fisher’s Technology Stock Picks with Huge Upside Potential - Yahoo Finance","Amazon.com, Inc. (AMZN): Among Ken Fisher’s Technology Stock Picks with Huge Upside Potential  Yahoo Finance","Amazon.com, Inc. (AMZN): Among Ken Fisher’s Technology Stock Picks with Huge Upside Potential - Yahoo Finance. Amazon.com, Inc. (AMZN): Among Ken Fisher’s Technology Stock Picks with Huge Upside Potential  Yahoo Finance",,0.9999821,neutral,2025-05-03 14:16:44
AMZN,Amazon,Should Investors Buy Amazon Stock Right Now in May? - Nasdaq,Should Investors Buy Amazon Stock Right Now in May?  Nasdaq,Should Investors Buy Amazon Stock Right Now in May? - Nasdaq. Should Investors Buy Amazon Stock Right Now in May?  Nasdaq,,-0.9999279,negative,2025-05-03 11:45:00
AMZN,Amazon,"Jeff Bezos Is Selling Billions Worth of Amazon Stock, According to a New Filing - Entrepreneur","Jeff Bezos Is Selling Billions Worth of Amazon Stock, According to a New Filing  Entrepreneur","Jeff Bezos Is Selling Billions Worth of Amazon Stock, According to a New Filing - Entrepreneur. Jeff Bezos Is Selling Billions Worth of Amazon Stock, According to a New Filing  Entrepreneur",,-0.99998,negative,2025-05-02 20:51:00
