ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
COF,Capital One,140 Summer Partners LP Makes New $71.15 Million Investment in Capital One Financial Co. (NYSE:COF) - MarketBeat,140 Summer Partners LP Makes New $71.15 Million Investment in Capital One Financial Co. (NYSE:COF)  MarketBeat,140 Summer Partners LP Makes New $71.15 Million Investment in Capital One Financial Co. (NYSE:COF) - MarketBeat. 140 Summer Partners LP Makes New $71.15 Million Investment in Capital One Financial Co. (NYSE:COF)  MarketBeat,,-0.9999974,negative,2025-05-04 11:34:09
COF,Capital One,Comerica Bank Decreases Stake in Capital One Financial Co. (NYSE:COF) - MarketBeat,Comerica Bank Decreases Stake in Capital One Financial Co. (NYSE:COF)  MarketBeat,Comerica Bank Decreases Stake in Capital One Financial Co. (NYSE:COF) - MarketBeat. Comerica Bank Decreases Stake in Capital One Financial Co. (NYSE:COF)  MarketBeat,,-0.99962604,negative,2025-05-04 09:35:44
COF,Capital One,How Capital One can get an even bigger payoff from its Discover purchase - CNBC,How Capital One can get an even bigger payoff from its Discover purchase  CNBC,How Capital One can get an even bigger payoff from its Discover purchase - CNBC. How Capital One can get an even bigger payoff from its Discover purchase  CNBC,,0.999395,neutral,2025-05-03 16:06:22
COF,Capital One,Capital One Financial Insiders Sold US$7.7m Of Shares Suggesting Hesitancy - Yahoo Finance,Capital One Financial Insiders Sold US$7.7m Of Shares Suggesting Hesitancy  Yahoo Finance,Capital One Financial Insiders Sold US$7.7m Of Shares Suggesting Hesitancy - Yahoo Finance. Capital One Financial Insiders Sold US$7.7m Of Shares Suggesting Hesitancy  Yahoo Finance,,-0.99999607,negative,2025-05-03 14:00:29
COF,Capital One,Concerns Raised Over Capital One's (COF) Acquisition of Discover Financial (DFS) - GuruFocus,Concerns Raised Over Capital One's (COF) Acquisition of Discover Financial (DFS)  GuruFocus,Concerns Raised Over Capital One's (COF) Acquisition of Discover Financial (DFS) - GuruFocus. Concerns Raised Over Capital One's (COF) Acquisition of Discover Financial (DFS)  GuruFocus,,0.9999461,positive,2025-05-03 13:57:11
COF,Capital One,Lawmakers Urge Fed to Reevaluate Capital One (COF) Acquisition of Discover - GuruFocus,Lawmakers Urge Fed to Reevaluate Capital One (COF) Acquisition of Discover  GuruFocus,Lawmakers Urge Fed to Reevaluate Capital One (COF) Acquisition of Discover - GuruFocus. Lawmakers Urge Fed to Reevaluate Capital One (COF) Acquisition of Discover  GuruFocus,,-0.9998288,negative,2025-05-03 13:56:51
COF,Capital One,Third Point LLC Takes Position in Capital One Financial Co. (NYSE:COF) - MarketBeat,Third Point LLC Takes Position in Capital One Financial Co. (NYSE:COF)  MarketBeat,Third Point LLC Takes Position in Capital One Financial Co. (NYSE:COF) - MarketBeat. Third Point LLC Takes Position in Capital One Financial Co. (NYSE:COF)  MarketBeat,,-0.9999473,negative,2025-05-03 11:39:31
COF,Capital One,Q2 Earnings Forecast for EQT Issued By Capital One Financial - MarketBeat,Q2 Earnings Forecast for EQT Issued By Capital One Financial  MarketBeat,Q2 Earnings Forecast for EQT Issued By Capital One Financial - MarketBeat. Q2 Earnings Forecast for EQT Issued By Capital One Financial  MarketBeat,,-0.99999964,negative,2025-05-03 11:15:31
COF,Capital One,"2,300 Shares in Capital One Financial Co. (NYSE:COF) Purchased by Westbourne Investments Inc. - MarketBeat","2,300 Shares in Capital One Financial Co. (NYSE:COF) Purchased by Westbourne Investments Inc.  MarketBeat","2,300 Shares in Capital One Financial Co. (NYSE:COF) Purchased by Westbourne Investments Inc. - MarketBeat. 2,300 Shares in Capital One Financial Co. (NYSE:COF) Purchased by Westbourne Investments Inc.  MarketBeat",,-0.99999917,negative,2025-05-03 11:14:11
COF,Capital One,Capital One Financial (NYSE:COF) Sets New 12-Month Low - Here's What Happened - MarketBeat,Capital One Financial (NYSE:COF) Sets New 12-Month Low - Here's What Happened  MarketBeat,Capital One Financial (NYSE:COF) Sets New 12-Month Low - Here's What Happened - MarketBeat. Capital One Financial (NYSE:COF) Sets New 12-Month Low - Here's What Happened  MarketBeat,,-0.9823928,negative,2025-05-03 09:43:23
