ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
C,Citigroup,Is Citigroup Inc. (C) The Most Profitable Cheap Stock to Buy Now? - Yahoo Finance,Is Citigroup Inc. (C) The Most Profitable Cheap Stock to Buy Now?  Yahoo Finance,Is Citigroup Inc. (C) The Most Profitable Cheap Stock to Buy Now? - Yahoo Finance. Is Citigroup Inc. (C) The Most Profitable Cheap Stock to Buy Now?  Yahoo Finance,,0.9552705,neutral,2025-05-04 15:18:57
C,Citigroup,Learn to Evaluate (CGL.C) using the Charts (CGL.C:CA) - news.stocktradersdaily.com,Learn to Evaluate (CGL.C) using the Charts (CGL.C:CA)  news.stocktradersdaily.com,Learn to Evaluate (CGL.C) using the Charts (CGL.C:CA) - news.stocktradersdaily.com. Learn to Evaluate (CGL.C) using the Charts (CGL.C:CA)  news.stocktradersdaily.com,,-0.9999994,negative,2025-05-04 13:25:19
C,Citigroup,(ULV.C) Equity Trading Insights (ULV.C:CA) - news.stocktradersdaily.com,(ULV.C) Equity Trading Insights (ULV.C:CA)  news.stocktradersdaily.com,(ULV.C) Equity Trading Insights (ULV.C:CA) - news.stocktradersdaily.com. (ULV.C) Equity Trading Insights (ULV.C:CA)  news.stocktradersdaily.com,,-0.9999982,negative,2025-05-04 08:04:48
C,Citigroup,Citigroup (NYSE:C) Stock Price Down 1.4% - Time to Sell? - MarketBeat,Citigroup (NYSE:C) Stock Price Down 1.4% - Time to Sell?  MarketBeat,Citigroup (NYSE:C) Stock Price Down 1.4% - Time to Sell? - MarketBeat. Citigroup (NYSE:C) Stock Price Down 1.4% - Time to Sell?  MarketBeat,,0.9989221,positive,2025-05-04 06:03:25
C,Citigroup,(INE.DB.C) Financial Trading Report (INE.DB.C:CA) - news.stocktradersdaily.com,(INE.DB.C) Financial Trading Report (INE.DB.C:CA)  news.stocktradersdaily.com,(INE.DB.C) Financial Trading Report (INE.DB.C:CA) - news.stocktradersdaily.com. (INE.DB.C) Financial Trading Report (INE.DB.C:CA)  news.stocktradersdaily.com,,-0.9999987,negative,2025-05-03 23:13:58
C,Citigroup,Citigroup Issues Positive Forecast for McDonald's (NYSE:MCD) Stock Price - MarketBeat,Citigroup Issues Positive Forecast for McDonald's (NYSE:MCD) Stock Price  MarketBeat,Citigroup Issues Positive Forecast for McDonald's (NYSE:MCD) Stock Price - MarketBeat. Citigroup Issues Positive Forecast for McDonald's (NYSE:MCD) Stock Price  MarketBeat,,1.0,neutral,2025-05-03 22:46:01
C,Citigroup,Corporación Actinver S. A. B. de C. V Reports First Quarter 2025 Earnings - simplywall.st,Corporación Actinver S. A. B. de C. V Reports First Quarter 2025 Earnings  simplywall.st,Corporación Actinver S. A. B. de C. V Reports First Quarter 2025 Earnings - simplywall.st. Corporación Actinver S. A. B. de C. V Reports First Quarter 2025 Earnings  simplywall.st,,-0.9999888,negative,2025-05-03 16:07:25
C,Citigroup,Citigroup Issues Pessimistic Forecast for Amer Sports (NYSE:AS) Stock Price - MarketBeat,Citigroup Issues Pessimistic Forecast for Amer Sports (NYSE:AS) Stock Price  MarketBeat,Citigroup Issues Pessimistic Forecast for Amer Sports (NYSE:AS) Stock Price - MarketBeat. Citigroup Issues Pessimistic Forecast for Amer Sports (NYSE:AS) Stock Price  MarketBeat,,0.9986897,positive,2025-05-03 04:01:11
C,Citigroup,Citigroup Director’s Stock Sale Shakes Up the Market! - TipRanks,Citigroup Director’s Stock Sale Shakes Up the Market!  TipRanks,Citigroup Director’s Stock Sale Shakes Up the Market! - TipRanks. Citigroup Director’s Stock Sale Shakes Up the Market!  TipRanks,,-0.99988735,negative,2025-05-03 02:38:42
C,Citigroup,"Jay C. Hoag Sells 32,515 Shares of Netflix, Inc. (NASDAQ:NFLX) Stock - MarketBeat","Jay C. Hoag Sells 32,515 Shares of Netflix, Inc. (NASDAQ:NFLX) Stock  MarketBeat","Jay C. Hoag Sells 32,515 Shares of Netflix, Inc. (NASDAQ:NFLX) Stock - MarketBeat. Jay C. Hoag Sells 32,515 Shares of Netflix, Inc. (NASDAQ:NFLX) Stock  MarketBeat",,-0.99999523,negative,2025-05-02 22:54:06
C,Citigroup,"Vistra Declares Dividend on Common Stock, Series B Preferred Stock and Series C Preferred Stock - StreetInsider","Vistra Declares Dividend on Common Stock, Series B Preferred Stock and Series C Preferred Stock  StreetInsider","Vistra Declares Dividend on Common Stock, Series B Preferred Stock and Series C Preferred Stock - StreetInsider. Vistra Declares Dividend on Common Stock, Series B Preferred Stock and Series C Preferred Stock  StreetInsider",,-0.99998295,negative,2025-05-01 22:11:38
C,Citigroup,Oppenheimer Issues Positive Forecast for Citigroup (NYSE:C) Stock Price - MarketBeat,Oppenheimer Issues Positive Forecast for Citigroup (NYSE:C) Stock Price  MarketBeat,Oppenheimer Issues Positive Forecast for Citigroup (NYSE:C) Stock Price - MarketBeat. Oppenheimer Issues Positive Forecast for Citigroup (NYSE:C) Stock Price  MarketBeat,,1.0,neutral,2025-05-01 14:37:30
