ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
F,Ford,(ESG.F) Stock Evaluation Report (ESG.F:CA) - news.stocktradersdaily.com,(ESG.F) Stock Evaluation Report (ESG.F:CA)  news.stocktradersdaily.com,(ESG.F) Stock Evaluation Report (ESG.F:CA) - news.stocktradersdaily.com. (ESG.F) Stock Evaluation Report (ESG.F:CA)  news.stocktradersdaily.com,,-0.9999988,negative,2025-05-04 17:29:48
F,Ford,"Ford Motor Stock: Aspire Growth Partners LLC Acquires 55,826 Shares-What It Means for Investors - paginasiete.bo","Ford Motor Stock: Aspire Growth Partners LLC Acquires 55,826 Shares-What It Means for Investors  paginasiete.bo","Ford Motor Stock: Aspire Growth Partners LLC Acquires 55,826 Shares-What It Means for Investors - paginasiete.bo. Ford Motor Stock: Aspire Growth Partners LLC Acquires 55,826 Shares-What It Means for Investors  paginasiete.bo",,-0.9998721,negative,2025-05-04 15:18:02
F,Ford,"1 Stock to Buy, 1 Stock to Sell This Week: Palantir, Ford - Yahoo Finance","1 Stock to Buy, 1 Stock to Sell This Week: Palantir, Ford  Yahoo Finance","1 Stock to Buy, 1 Stock to Sell This Week: Palantir, Ford - Yahoo Finance. 1 Stock to Buy, 1 Stock to Sell This Week: Palantir, Ford  Yahoo Finance",,-0.63660884,negative,2025-05-04 13:43:34
F,Ford,(MAYB.F) Investment Analysis (MAYB.F:CA) - news.stocktradersdaily.com,(MAYB.F) Investment Analysis (MAYB.F:CA)  news.stocktradersdaily.com,(MAYB.F) Investment Analysis (MAYB.F:CA) - news.stocktradersdaily.com. (MAYB.F) Investment Analysis (MAYB.F:CA)  news.stocktradersdaily.com,,-0.99999917,negative,2025-05-04 10:24:33
F,Ford,(ESGY.F) Strategic Investment Report (ESGY.F:CA) - news.stocktradersdaily.com,(ESGY.F) Strategic Investment Report (ESGY.F:CA)  news.stocktradersdaily.com,(ESGY.F) Strategic Investment Report (ESGY.F:CA) - news.stocktradersdaily.com. (ESGY.F) Strategic Investment Report (ESGY.F:CA)  news.stocktradersdaily.com,,-0.99999845,negative,2025-05-04 07:38:22
F,Ford,(ZUAG.F) Investment Performance Report (ZUAG.F:CA) - news.stocktradersdaily.com,(ZUAG.F) Investment Performance Report (ZUAG.F:CA)  news.stocktradersdaily.com,(ZUAG.F) Investment Performance Report (ZUAG.F:CA) - news.stocktradersdaily.com. (ZUAG.F) Investment Performance Report (ZUAG.F:CA)  news.stocktradersdaily.com,,-0.99999785,negative,2025-05-04 04:48:13
F,Ford,Ford Motor (NYSE:F) Stock Price Up 0.3% Following Dividend Announcement - MarketBeat,Ford Motor (NYSE:F) Stock Price Up 0.3% Following Dividend Announcement  MarketBeat,Ford Motor (NYSE:F) Stock Price Up 0.3% Following Dividend Announcement - MarketBeat. Ford Motor (NYSE:F) Stock Price Up 0.3% Following Dividend Announcement  MarketBeat,,0.9998292,neutral,2025-05-04 01:18:43
F,Ford,Ford (NYSE: F) Stock Back Below $10 Today. Should You Buy? - AOL.com,Ford (NYSE: F) Stock Back Below $10 Today. Should You Buy?  AOL.com,Ford (NYSE: F) Stock Back Below $10 Today. Should You Buy? - AOL.com. Ford (NYSE: F) Stock Back Below $10 Today. Should You Buy?  AOL.com,,-0.99710804,negative,2025-05-04 00:58:22
F,Ford,(EQL.F) Stock Trading Blueprint (EQL.F:CA) - news.stocktradersdaily.com,(EQL.F) Stock Trading Blueprint (EQL.F:CA)  news.stocktradersdaily.com,(EQL.F) Stock Trading Blueprint (EQL.F:CA) - news.stocktradersdaily.com. (EQL.F) Stock Trading Blueprint (EQL.F:CA)  news.stocktradersdaily.com,,-0.9999981,negative,2025-05-03 21:44:48
F,Ford,Ford Motor (NYSE:F) Stock Price Up 2.9% on Analyst Upgrade - MarketBeat,Ford Motor (NYSE:F) Stock Price Up 2.9% on Analyst Upgrade  MarketBeat,Ford Motor (NYSE:F) Stock Price Up 2.9% on Analyst Upgrade - MarketBeat. Ford Motor (NYSE:F) Stock Price Up 2.9% on Analyst Upgrade  MarketBeat,,0.9999472,neutral,2025-05-03 19:49:47
F,Ford,(NOVB.F) Stock Evaluation Report (NOVB.F:CA) - news.stocktradersdaily.com,(NOVB.F) Stock Evaluation Report (NOVB.F:CA)  news.stocktradersdaily.com,(NOVB.F) Stock Evaluation Report (NOVB.F:CA) - news.stocktradersdaily.com. (NOVB.F) Stock Evaluation Report (NOVB.F:CA)  news.stocktradersdaily.com,,-0.9999995,negative,2025-05-03 18:18:04
