ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
GNZUF,GAC Group,"Guangzhou Automobile Group Co., Ltd. (OTCMKTS:GNZUF) Short Interest Update - Defense World","Guangzhou Automobile Group Co., Ltd. (OTCMKTS:GNZUF) Short Interest Update  Defense World","Guangzhou Automobile Group Co., Ltd. (OTCMKTS:GNZUF) Short Interest Update - Defense World. Guangzhou Automobile Group Co., Ltd. (OTCMKTS:GNZUF) Short Interest Update  Defense World",,-0.9999776,negative,2025-04-29 06:48:49
GNZUF,GAC Group,"CN NDRC To Guide Cities with Purchase Limits to Issue Targeted Vehicle Quotas for Carless Families, While Accelerating Unified National Mkt Construction - AASTOCKS.com","CN NDRC To Guide Cities with Purchase Limits to Issue Targeted Vehicle Quotas for Carless Families, While Accelerating Unified National Mkt Construction  AASTOCKS.com","CN NDRC To Guide Cities with Purchase Limits to Issue Targeted Vehicle Quotas for Carless Families, While Accelerating Unified National Mkt Construction - AASTOCKS.com. CN NDRC To Guide Cities with Purchase Limits to Issue Targeted Vehicle Quotas for Carless Families, While Accelerating Unified National Mkt Construction  AASTOCKS.com",,-0.99990845,negative,2025-04-28 03:40:00
GNZUF,GAC Group,MOFCOM To Launch Refined Measures Focusing on '2 Stabilizations' to Enhance Pull Effect of Consumption on Econ Growth - AASTOCKS.com,MOFCOM To Launch Refined Measures Focusing on '2 Stabilizations' to Enhance Pull Effect of Consumption on Econ Growth  AASTOCKS.com,MOFCOM To Launch Refined Measures Focusing on '2 Stabilizations' to Enhance Pull Effect of Consumption on Econ Growth - AASTOCKS.com. MOFCOM To Launch Refined Measures Focusing on '2 Stabilizations' to Enhance Pull Effect of Consumption on Econ Growth  AASTOCKS.com,,-0.994686,negative,2025-04-28 03:04:00
GNZUF,GAC Group,China bans use of 'smart driving' terms in auto ads (FXI:NYSEARCA) - Seeking Alpha,China bans use of 'smart driving' terms in auto ads (FXI:NYSEARCA)  Seeking Alpha,China bans use of 'smart driving' terms in auto ads (FXI:NYSEARCA) - Seeking Alpha. China bans use of 'smart driving' terms in auto ads (FXI:NYSEARCA)  Seeking Alpha,,-0.988139,negative,2025-04-17 07:00:00
GNZUF,GAC Group,"GAC Group's ONTIME, GOVY partner to integrate flying cars into smart mobility ecosystem - Gasgoo","GAC Group's ONTIME, GOVY partner to integrate flying cars into smart mobility ecosystem  Gasgoo","GAC Group's ONTIME, GOVY partner to integrate flying cars into smart mobility ecosystem - Gasgoo. GAC Group's ONTIME, GOVY partner to integrate flying cars into smart mobility ecosystem  Gasgoo",,-0.9998578,negative,2025-04-11 13:31:03
GNZUF,GAC Group,Gasgoo Daily: BAIC BluePark to change name to BAICARCFOX - Gasgoo,Gasgoo Daily: BAIC BluePark to change name to BAICARCFOX  Gasgoo,Gasgoo Daily: BAIC BluePark to change name to BAICARCFOX - Gasgoo. Gasgoo Daily: BAIC BluePark to change name to BAICARCFOX  Gasgoo,,-0.99999416,negative,2025-02-17 08:00:00
GNZUF,GAC Group,Top stories of GAC Group in 2024 - Gasgoo,Top stories of GAC Group in 2024  Gasgoo,Top stories of GAC Group in 2024 - Gasgoo. Top stories of GAC Group in 2024  Gasgoo,,-0.9999765,negative,2025-02-03 08:00:00
GNZUF,GAC Group,Credit Agricole SA : Crédit Agricole Personal Finance & Mobility finalizes the GAC Leasing equity project to support the growth of GAC Group’s electric vehicle sales in China - Yahoo Finance,Credit Agricole SA : Crédit Agricole Personal Finance & Mobility finalizes the GAC Leasing equity project to support the growth of GAC Group’s electric vehicle sales in China  Yahoo Finance,Credit Agricole SA : Crédit Agricole Personal Finance & Mobility finalizes the GAC Leasing equity project to support the growth of GAC Group’s electric vehicle sales in China - Yahoo Finance. Credit Agricole SA : Crédit Agricole Personal Finance & Mobility finalizes the GAC Leasing equity project to support the growth of GAC Group’s electric vehicle sales in China  Yahoo Finance,,-0.9999043,negative,2025-01-27 08:00:00
GNZUF,GAC Group,GAC Group launches new eVTOL business and unveils flagship model called the AirJet - Electrek,GAC Group launches new eVTOL business and unveils flagship model called the AirJet  Electrek,GAC Group launches new eVTOL business and unveils flagship model called the AirJet - Electrek. GAC Group launches new eVTOL business and unveils flagship model called the AirJet  Electrek,,-0.9985851,negative,2024-12-19 08:00:00
GNZUF,GAC Group,SAIC-GM-Wuling unveils Hongguang MINIEV's four-door edition - Gasgoo,SAIC-GM-Wuling unveils Hongguang MINIEV's four-door edition  Gasgoo,SAIC-GM-Wuling unveils Hongguang MINIEV's four-door edition - Gasgoo. SAIC-GM-Wuling unveils Hongguang MINIEV's four-door edition  Gasgoo,,-0.99999547,negative,2024-12-10 08:00:00
