ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
LCID,Lucid Group,"Earnings week ahead: AMD, PLTR, F, DIS, SHOP, DKNG, AMC, LCID, GOLD, RIVN, and more - Seeking Alpha","Earnings week ahead: AMD, PLTR, F, DIS, SHOP, DKNG, AMC, LCID, GOLD, RIVN, and more  Seeking Alpha","Earnings week ahead: AMD, PLTR, F, DIS, SHOP, DKNG, AMC, LCID, GOLD, RIVN, and more - Seeking Alpha. Earnings week ahead: AMD, PLTR, F, DIS, SHOP, DKNG, AMC, LCID, GOLD, RIVN, and more  Seeking Alpha",,-0.99998426,negative,2025-05-04 12:00:00
LCID,Lucid Group,Lucid Group (LCID) to Release Quarterly Earnings on Tuesday - MarketBeat,Lucid Group (LCID) to Release Quarterly Earnings on Tuesday  MarketBeat,Lucid Group (LCID) to Release Quarterly Earnings on Tuesday - MarketBeat. Lucid Group (LCID) to Release Quarterly Earnings on Tuesday  MarketBeat,,-0.99999,negative,2025-05-04 08:00:44
LCID,Lucid Group,Lucid Group (NASDAQ:LCID) Trading Up 3.4% - Here's Why - MarketBeat,Lucid Group (NASDAQ:LCID) Trading Up 3.4% - Here's Why  MarketBeat,Lucid Group (NASDAQ:LCID) Trading Up 3.4% - Here's Why - MarketBeat. Lucid Group (NASDAQ:LCID) Trading Up 3.4% - Here's Why  MarketBeat,,0.99940693,neutral,2025-05-03 21:23:54
LCID,Lucid Group,Lucid Group (LCID) to Release Earnings on Tuesday - MarketBeat,Lucid Group (LCID) to Release Earnings on Tuesday  MarketBeat,Lucid Group (LCID) to Release Earnings on Tuesday - MarketBeat. Lucid Group (LCID) to Release Earnings on Tuesday  MarketBeat,,-0.9999943,negative,2025-05-03 19:14:41
LCID,Lucid Group,"Short Interest in Lucid Group, Inc. (NASDAQ:LCID) Grows By 29.2% - MarketBeat","Short Interest in Lucid Group, Inc. (NASDAQ:LCID) Grows By 29.2%  MarketBeat","Short Interest in Lucid Group, Inc. (NASDAQ:LCID) Grows By 29.2% - MarketBeat. Short Interest in Lucid Group, Inc. (NASDAQ:LCID) Grows By 29.2%  MarketBeat",,-0.9948537,negative,2025-05-03 18:25:44
LCID,Lucid Group,"Lucid Group Stock: If You Had Invested $1,000 in LCID Stock During Its 2021 IPO, Here’s What You’d Have Today - paginasiete.bo","Lucid Group Stock: If You Had Invested $1,000 in LCID Stock During Its 2021 IPO, Here’s What You’d Have Today  paginasiete.bo","Lucid Group Stock: If You Had Invested $1,000 in LCID Stock During Its 2021 IPO, Here’s What You’d Have Today - paginasiete.bo. Lucid Group Stock: If You Had Invested $1,000 in LCID Stock During Its 2021 IPO, Here’s What You’d Have Today  paginasiete.bo",,-0.9999993,negative,2025-05-03 14:35:28
LCID,Lucid Group,"Lucid Group, Inc. (NASDAQ:LCID) Shares Purchased by Tudor Investment Corp ET AL - MarketBeat","Lucid Group, Inc. (NASDAQ:LCID) Shares Purchased by Tudor Investment Corp ET AL  MarketBeat","Lucid Group, Inc. (NASDAQ:LCID) Shares Purchased by Tudor Investment Corp ET AL - MarketBeat. Lucid Group, Inc. (NASDAQ:LCID) Shares Purchased by Tudor Investment Corp ET AL  MarketBeat",,-0.9999982,negative,2025-05-03 09:45:19
LCID,Lucid Group,Lucid Group (NASDAQ:LCID) Shares Down 0.2% - Here's What Happened - MarketBeat,Lucid Group (NASDAQ:LCID) Shares Down 0.2% - Here's What Happened  MarketBeat,Lucid Group (NASDAQ:LCID) Shares Down 0.2% - Here's What Happened - MarketBeat. Lucid Group (NASDAQ:LCID) Shares Down 0.2% - Here's What Happened  MarketBeat,,0.99862456,positive,2025-05-03 09:11:43
LCID,Lucid Group,"Lucid Group, Inc. (NASDAQ:LCID) Shares Sold by Two Sigma Securities LLC - MarketBeat","Lucid Group, Inc. (NASDAQ:LCID) Shares Sold by Two Sigma Securities LLC  MarketBeat","Lucid Group, Inc. (NASDAQ:LCID) Shares Sold by Two Sigma Securities LLC - MarketBeat. Lucid Group, Inc. (NASDAQ:LCID) Shares Sold by Two Sigma Securities LLC  MarketBeat",,-0.99999714,negative,2025-05-03 02:59:39
LCID,Lucid Group,Is Lucid Stock a Buy Now? - The Motley Fool,Is Lucid Stock a Buy Now?  The Motley Fool,Is Lucid Stock a Buy Now? - The Motley Fool. Is Lucid Stock a Buy Now?  The Motley Fool,,0.9912149,neutral,2025-05-02 14:00:00
