ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
MAHMF,Mahindra,Kotak Mahindra Bank shares get multiple downgrades after Q4 results; check revised targets - CNBC TV18,Kotak Mahindra Bank shares get multiple downgrades after Q4 results; check revised targets  CNBC TV18,Kotak Mahindra Bank shares get multiple downgrades after Q4 results; check revised targets - CNBC TV18. Kotak Mahindra Bank shares get multiple downgrades after Q4 results; check revised targets  CNBC TV18,,0.9999503,positive,2025-05-05 01:18:56
MAHMF,Mahindra,"Stocks to Watch Today: SBI, Kotak Mahindra Bank, Marico, Indian Bank, RR Kabel, AU SFB, Azad Engineering, IRCON, Concord Biotech in focus on 5 May - TradingView","Stocks to Watch Today: SBI, Kotak Mahindra Bank, Marico, Indian Bank, RR Kabel, AU SFB, Azad Engineering, IRCON, Concord Biotech in focus on 5 May  TradingView","Stocks to Watch Today: SBI, Kotak Mahindra Bank, Marico, Indian Bank, RR Kabel, AU SFB, Azad Engineering, IRCON, Concord Biotech in focus on 5 May - TradingView. Stocks to Watch Today: SBI, Kotak Mahindra Bank, Marico, Indian Bank, RR Kabel, AU SFB, Azad Engineering, IRCON, Concord Biotech in focus on 5 May  TradingView",,-0.99999845,negative,2025-05-04 21:37:35
MAHMF,Mahindra,Kotak Mahindra Bank shares in focus: Here are key factors to know from Q4 earnings - Upstox,Kotak Mahindra Bank shares in focus: Here are key factors to know from Q4 earnings  Upstox,Kotak Mahindra Bank shares in focus: Here are key factors to know from Q4 earnings - Upstox. Kotak Mahindra Bank shares in focus: Here are key factors to know from Q4 earnings  Upstox,,-0.9999708,negative,2025-05-04 14:54:12
MAHMF,Mahindra,"Stocks to Watch: Mahindra, Dabur and 6 other stocks announcing results next week - Trade Brains","Stocks to Watch: Mahindra, Dabur and 6 other stocks announcing results next week  Trade Brains","Stocks to Watch: Mahindra, Dabur and 6 other stocks announcing results next week - Trade Brains. Stocks to Watch: Mahindra, Dabur and 6 other stocks announcing results next week  Trade Brains",,-0.9997274,negative,2025-05-04 14:33:15
MAHMF,Mahindra,"Mahindra & Mahindra Q4 results: Check earnings preview, dividend and key technical levels - Upstox","Mahindra & Mahindra Q4 results: Check earnings preview, dividend and key technical levels  Upstox","Mahindra & Mahindra Q4 results: Check earnings preview, dividend and key technical levels - Upstox. Mahindra & Mahindra Q4 results: Check earnings preview, dividend and key technical levels  Upstox",,-0.9999924,negative,2025-05-04 05:06:08
MAHMF,Mahindra,"Mahindra & Mahindra Q4 Results 2025: Date, Dividend Details, Earnings Call Schedule And More - NDTV Profit","Mahindra & Mahindra Q4 Results 2025: Date, Dividend Details, Earnings Call Schedule And More  NDTV Profit","Mahindra & Mahindra Q4 Results 2025: Date, Dividend Details, Earnings Call Schedule And More - NDTV Profit. Mahindra & Mahindra Q4 Results 2025: Date, Dividend Details, Earnings Call Schedule And More  NDTV Profit",,-0.9999989,negative,2025-05-04 02:45:00
MAHMF,Mahindra,"Electric car, SUV sales jump 58% to 12,330 units in April, Mahindra EVs grab 24% share - Autocar Professional","Electric car, SUV sales jump 58% to 12,330 units in April, Mahindra EVs grab 24% share  Autocar Professional","Electric car, SUV sales jump 58% to 12,330 units in April, Mahindra EVs grab 24% share - Autocar Professional. Electric car, SUV sales jump 58% to 12,330 units in April, Mahindra EVs grab 24% share  Autocar Professional",,0.9999999,neutral,2025-05-04 01:22:39
MAHMF,Mahindra,Did SBI lag ICICI Bank and HDFC Bank in March 2025 quarter? - The Financial Express,Did SBI lag ICICI Bank and HDFC Bank in March 2025 quarter?  The Financial Express,Did SBI lag ICICI Bank and HDFC Bank in March 2025 quarter? - The Financial Express. Did SBI lag ICICI Bank and HDFC Bank in March 2025 quarter?  The Financial Express,,-0.9999981,negative,2025-05-03 11:56:29
MAHMF,Mahindra,Kotak Mahindra Bank Q4 results: Consolidated net profit down 7.5% Y-o-Y - Business Standard,Kotak Mahindra Bank Q4 results: Consolidated net profit down 7.5% Y-o-Y  Business Standard,Kotak Mahindra Bank Q4 results: Consolidated net profit down 7.5% Y-o-Y - Business Standard. Kotak Mahindra Bank Q4 results: Consolidated net profit down 7.5% Y-o-Y  Business Standard,,0.999998,positive,2025-05-03 11:27:48
MAHMF,Mahindra,"Kotak Mahindra Bank Q4 result: Net profit declines 14% to ₹3,552 crore, NII rises 5%; bank announces dividend - Upstox","Kotak Mahindra Bank Q4 result: Net profit declines 14% to ₹3,552 crore, NII rises 5%; bank announces dividend  Upstox","Kotak Mahindra Bank Q4 result: Net profit declines 14% to ₹3,552 crore, NII rises 5%; bank announces dividend - Upstox. Kotak Mahindra Bank Q4 result: Net profit declines 14% to ₹3,552 crore, NII rises 5%; bank announces dividend  Upstox",,0.9998078,positive,2025-05-03 09:11:16
MAHMF,Mahindra,India Kotak Mahindra Bank's Q4 profit drops more than expected on higher provisions - marketscreener.com,India Kotak Mahindra Bank's Q4 profit drops more than expected on higher provisions  marketscreener.com,India Kotak Mahindra Bank's Q4 profit drops more than expected on higher provisions - marketscreener.com. India Kotak Mahindra Bank's Q4 profit drops more than expected on higher provisions  marketscreener.com,,0.9999889,positive,2025-05-03 09:04:21
MAHMF,Mahindra,"Kotak Mahindra Bank Q4 Results 2025: Dividend declared in quarterly earnings; check PAT, NII, NIM, NPA - ET Now","Kotak Mahindra Bank Q4 Results 2025: Dividend declared in quarterly earnings; check PAT, NII, NIM, NPA  ET Now","Kotak Mahindra Bank Q4 Results 2025: Dividend declared in quarterly earnings; check PAT, NII, NIM, NPA - ET Now. Kotak Mahindra Bank Q4 Results 2025: Dividend declared in quarterly earnings; check PAT, NII, NIM, NPA  ET Now",,-0.99999833,negative,2025-05-03 09:03:08
MAHMF,Mahindra,"Kotak Mahindra Bank Q4 Results: Net profit falls 14% to ₹3,552 crore over high provisions, dividend declared - Mint","Kotak Mahindra Bank Q4 Results: Net profit falls 14% to ₹3,552 crore over high provisions, dividend declared  Mint","Kotak Mahindra Bank Q4 Results: Net profit falls 14% to ₹3,552 crore over high provisions, dividend declared - Mint. Kotak Mahindra Bank Q4 Results: Net profit falls 14% to ₹3,552 crore over high provisions, dividend declared  Mint",,0.581607,positive,2025-05-03 08:47:25
MAHMF,Mahindra,"Kotak Mahindra Bank Q4 results: PAT drops 14% YoY, NII up 4% - The Economic Times","Kotak Mahindra Bank Q4 results: PAT drops 14% YoY, NII up 4%  The Economic Times","Kotak Mahindra Bank Q4 results: PAT drops 14% YoY, NII up 4% - The Economic Times. Kotak Mahindra Bank Q4 results: PAT drops 14% YoY, NII up 4%  The Economic Times",,-0.82400787,negative,2025-05-03 08:47:24
MAHMF,Mahindra,"TCS, Infosys, HCL Technologies, Tech Mahindra: IT stocks dividend 2025, record date, payment details - ET Now","TCS, Infosys, HCL Technologies, Tech Mahindra: IT stocks dividend 2025, record date, payment details  ET Now","TCS, Infosys, HCL Technologies, Tech Mahindra: IT stocks dividend 2025, record date, payment details - ET Now. TCS, Infosys, HCL Technologies, Tech Mahindra: IT stocks dividend 2025, record date, payment details  ET Now",,-0.99999845,negative,2025-05-03 05:00:54
MAHMF,Mahindra,"Mahindra & Mahindra Auto Q4 FY25 Preview: SUV Surge, Margin Squeeze - Value Research","Mahindra & Mahindra Auto Q4 FY25 Preview: SUV Surge, Margin Squeeze  Value Research","Mahindra & Mahindra Auto Q4 FY25 Preview: SUV Surge, Margin Squeeze - Value Research. Mahindra & Mahindra Auto Q4 FY25 Preview: SUV Surge, Margin Squeeze  Value Research",,-0.9919268,negative,2025-05-03 04:00:00
MAHMF,Mahindra,"Q4 results today: SBI, DMart, Kotak Mahindra Bank and others to declare earnings on Saturday, May 3 - Mint","Q4 results today: SBI, DMart, Kotak Mahindra Bank and others to declare earnings on Saturday, May 3  Mint","Q4 results today: SBI, DMart, Kotak Mahindra Bank and others to declare earnings on Saturday, May 3 - Mint. Q4 results today: SBI, DMart, Kotak Mahindra Bank and others to declare earnings on Saturday, May 3  Mint",,-0.99999964,negative,2025-05-03 01:52:29
MAHMF,Mahindra,"Harsh Goenka shares ‘then and now’ picture with Mukesh Ambani, Anand Mahindra: Netizens say ‘You look exactly…’ - Mint","Harsh Goenka shares ‘then and now’ picture with Mukesh Ambani, Anand Mahindra: Netizens say ‘You look exactly…’  Mint","Harsh Goenka shares ‘then and now’ picture with Mukesh Ambani, Anand Mahindra: Netizens say ‘You look exactly…’ - Mint. Harsh Goenka shares ‘then and now’ picture with Mukesh Ambani, Anand Mahindra: Netizens say ‘You look exactly…’  Mint",,-0.9999956,negative,2025-05-02 11:29:46
