ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NKLA,Nikola,Nikola bankruptcy auction in Coolidge won by company - KTAR News 92.3 FM,Nikola bankruptcy auction in Coolidge won by company  KTAR News 92.3 FM,Nikola bankruptcy auction in Coolidge won by company - KTAR News 92.3 FM. Nikola bankruptcy auction in Coolidge won by company  KTAR News 92.3 FM,,-0.9999006,negative,2025-04-15 07:00:00
NKLA,Nikola,Lucid to Buy Nikola Facilities to Expand Footprint in Arizona - Nasdaq,Lucid to Buy Nikola Facilities to Expand Footprint in Arizona  Nasdaq,Lucid to Buy Nikola Facilities to Expand Footprint in Arizona - Nasdaq. Lucid to Buy Nikola Facilities to Expand Footprint in Arizona  Nasdaq,,0.8490611,neutral,2025-04-14 07:00:00
NKLA,Nikola,"Nikola founder, now pardoned by Trump, says he wants to set the record straight - The Arizona Republic","Nikola founder, now pardoned by Trump, says he wants to set the record straight  The Arizona Republic","Nikola founder, now pardoned by Trump, says he wants to set the record straight - The Arizona Republic. Nikola founder, now pardoned by Trump, says he wants to set the record straight  The Arizona Republic",,-0.9980725,negative,2025-04-13 07:00:00
NKLA,Nikola,"Lucid Snaps Up Nikola's 884,000 sq ft Arizona Hub, Plans Major Manufacturing Expansion - Stock Titan","Lucid Snaps Up Nikola's 884,000 sq ft Arizona Hub, Plans Major Manufacturing Expansion  Stock Titan","Lucid Snaps Up Nikola's 884,000 sq ft Arizona Hub, Plans Major Manufacturing Expansion - Stock Titan. Lucid Snaps Up Nikola's 884,000 sq ft Arizona Hub, Plans Major Manufacturing Expansion  Stock Titan",,-0.9999422,negative,2025-04-11 07:00:00
NKLA,Nikola,"Lucid to Acquire Select Facilities and Assets Previously Belonging to Nikola Corporation, Will Extend Offers to 300+ Former Nikola Employees - Lucid Motors","Lucid to Acquire Select Facilities and Assets Previously Belonging to Nikola Corporation, Will Extend Offers to 300+ Former Nikola Employees  Lucid Motors","Lucid to Acquire Select Facilities and Assets Previously Belonging to Nikola Corporation, Will Extend Offers to 300+ Former Nikola Employees - Lucid Motors. Lucid to Acquire Select Facilities and Assets Previously Belonging to Nikola Corporation, Will Extend Offers to 300+ Former Nikola Employees  Lucid Motors",,-0.99995387,negative,2025-04-11 07:00:00
NKLA,Nikola,Lucid Stock (LCID) Gains on Acquiring Bankrupt Nikola’s Assets - TipRanks,Lucid Stock (LCID) Gains on Acquiring Bankrupt Nikola’s Assets  TipRanks,Lucid Stock (LCID) Gains on Acquiring Bankrupt Nikola’s Assets - TipRanks. Lucid Stock (LCID) Gains on Acquiring Bankrupt Nikola’s Assets  TipRanks,,-0.9586827,negative,2025-04-11 07:00:00
NKLA,Nikola,"Lucid Wins Nikola Bankruptcy Auction, Buys Nikola Facilities for $30 Million To Boost US EV Production - Yahoo Finance","Lucid Wins Nikola Bankruptcy Auction, Buys Nikola Facilities for $30 Million To Boost US EV Production  Yahoo Finance","Lucid Wins Nikola Bankruptcy Auction, Buys Nikola Facilities for $30 Million To Boost US EV Production - Yahoo Finance. Lucid Wins Nikola Bankruptcy Auction, Buys Nikola Facilities for $30 Million To Boost US EV Production  Yahoo Finance",,-0.99618185,negative,2025-04-11 07:00:00
NKLA,Nikola,Lucid to acquire select Arizona-based Nikola facilities and assets - Reuters,Lucid to acquire select Arizona-based Nikola facilities and assets  Reuters,Lucid to acquire select Arizona-based Nikola facilities and assets - Reuters. Lucid to acquire select Arizona-based Nikola facilities and assets  Reuters,,-0.9999608,negative,2025-04-11 07:00:00
NKLA,Nikola,Lucid Motors wins bankruptcy auction for Nikola’s Arizona factory and other assets - TechCrunch,Lucid Motors wins bankruptcy auction for Nikola’s Arizona factory and other assets  TechCrunch,Lucid Motors wins bankruptcy auction for Nikola’s Arizona factory and other assets - TechCrunch. Lucid Motors wins bankruptcy auction for Nikola’s Arizona factory and other assets  TechCrunch,,-0.9810048,negative,2025-04-10 07:00:00
NKLA,Nikola,Nikola founder Trevor Milton wants to buy the bankrupt startup’s assets - TechCrunch,Nikola founder Trevor Milton wants to buy the bankrupt startup’s assets  TechCrunch,Nikola founder Trevor Milton wants to buy the bankrupt startup’s assets - TechCrunch. Nikola founder Trevor Milton wants to buy the bankrupt startup’s assets  TechCrunch,,-0.9998777,negative,2025-04-07 07:00:00
NKLA,Nikola,Nikola Delays Annual Report Amid Bankruptcy Proceedings - TipRanks,Nikola Delays Annual Report Amid Bankruptcy Proceedings  TipRanks,Nikola Delays Annual Report Amid Bankruptcy Proceedings - TipRanks. Nikola Delays Annual Report Amid Bankruptcy Proceedings  TipRanks,,-0.95962566,negative,2025-03-31 07:00:00
NKLA,Nikola,Nikola founder pardoned by Trump after convicted of fraud costing investors hundreds of millions of dollars - landline.media,Nikola founder pardoned by Trump after convicted of fraud costing investors hundreds of millions of dollars  landline.media,Nikola founder pardoned by Trump after convicted of fraud costing investors hundreds of millions of dollars - landline.media. Nikola founder pardoned by Trump after convicted of fraud costing investors hundreds of millions of dollars  landline.media,,-0.99974626,negative,2025-03-31 07:00:00
NKLA,Nikola,Nikola’s Trevor Milton pardoned by Donald Trump - Financial Times,Nikola’s Trevor Milton pardoned by Donald Trump  Financial Times,Nikola’s Trevor Milton pardoned by Donald Trump - Financial Times. Nikola’s Trevor Milton pardoned by Donald Trump  Financial Times,,-0.999995,negative,2025-03-28 07:00:00
NKLA,Nikola,"Trump pardons founder of electric vehicle start-up Nikola, Trevor Milton - The Guardian","Trump pardons founder of electric vehicle start-up Nikola, Trevor Milton  The Guardian","Trump pardons founder of electric vehicle start-up Nikola, Trevor Milton - The Guardian. Trump pardons founder of electric vehicle start-up Nikola, Trevor Milton  The Guardian",,-0.9999355,negative,2025-03-28 07:00:00
NKLA,Nikola,"Alphabet, Wolfspeed, Nikola: Market Minute - Yahoo Finance","Alphabet, Wolfspeed, Nikola: Market Minute  Yahoo Finance","Alphabet, Wolfspeed, Nikola: Market Minute - Yahoo Finance. Alphabet, Wolfspeed, Nikola: Market Minute  Yahoo Finance",,-0.9999999,negative,2025-03-28 07:00:00
NKLA,Nikola,"Trump Pardons Trevor Milton, Founder of Bankrupt Truck Maker Nikola - The New York Times","Trump Pardons Trevor Milton, Founder of Bankrupt Truck Maker Nikola  The New York Times","Trump Pardons Trevor Milton, Founder of Bankrupt Truck Maker Nikola - The New York Times. Trump Pardons Trevor Milton, Founder of Bankrupt Truck Maker Nikola  The New York Times",,-0.99925953,negative,2025-03-28 07:00:00
NKLA,Nikola,Trump pardons Nikola founder Trevor Milton in securities fraud case - CNBC,Trump pardons Nikola founder Trevor Milton in securities fraud case  CNBC,Trump pardons Nikola founder Trevor Milton in securities fraud case - CNBC. Trump pardons Nikola founder Trevor Milton in securities fraud case  CNBC,,-0.9992792,negative,2025-03-28 07:00:00
NKLA,Nikola,Nikola stock soars on founder Milton’s claims of ’Greatest comeback story in America’ - Investing.com,Nikola stock soars on founder Milton’s claims of ’Greatest comeback story in America’  Investing.com,Nikola stock soars on founder Milton’s claims of ’Greatest comeback story in America’ - Investing.com. Nikola stock soars on founder Milton’s claims of ’Greatest comeback story in America’  Investing.com,,-0.9992599,negative,2025-03-28 07:00:00
NKLA,Nikola,Trump’s pardon of disgraced Nikola founder Trevor Milton could wipe out hundreds of millions in restitution for his victims - Fortune,Trump’s pardon of disgraced Nikola founder Trevor Milton could wipe out hundreds of millions in restitution for his victims  Fortune,Trump’s pardon of disgraced Nikola founder Trevor Milton could wipe out hundreds of millions in restitution for his victims - Fortune. Trump’s pardon of disgraced Nikola founder Trevor Milton could wipe out hundreds of millions in restitution for his victims  Fortune,,-0.9992017,negative,2025-03-28 07:00:00
NKLA,Nikola,EV company founder lost investors hundreds of millions. Trump just pardoned him. - MarketWatch,EV company founder lost investors hundreds of millions. Trump just pardoned him.  MarketWatch,EV company founder lost investors hundreds of millions. Trump just pardoned him. - MarketWatch. EV company founder lost investors hundreds of millions. Trump just pardoned him.  MarketWatch,,-0.99995816,negative,2025-03-28 07:00:00
NKLA,Nikola,Trump pardoned the founder of Nikola - Morning Brew,Trump pardoned the founder of Nikola  Morning Brew,Trump pardoned the founder of Nikola - Morning Brew. Trump pardoned the founder of Nikola  Morning Brew,,-0.9999863,negative,2025-03-28 07:00:00
NKLA,Nikola,Nikola Corp to voluntarily delist from Nasdaq - Investing.com,Nikola Corp to voluntarily delist from Nasdaq  Investing.com,Nikola Corp to voluntarily delist from Nasdaq - Investing.com. Nikola Corp to voluntarily delist from Nasdaq  Investing.com,,0.6998049,positive,2025-03-26 07:00:00
NKLA,Nikola,Nikola Corporation Announces Intent to Voluntarily Delist from Nasdaq and Deregister with the SEC - Nikola Corporation,Nikola Corporation Announces Intent to Voluntarily Delist from Nasdaq and Deregister with the SEC  Nikola Corporation,Nikola Corporation Announces Intent to Voluntarily Delist from Nasdaq and Deregister with the SEC - Nikola Corporation. Nikola Corporation Announces Intent to Voluntarily Delist from Nasdaq and Deregister with the SEC  Nikola Corporation,,-0.9994154,negative,2025-03-24 07:00:00
