ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NSANY,Nissan,Renault: Positive On Nissan Deal And Limited Tariff Exposure (OTCMKTS:RNSDF) - Seeking Alpha,Renault: Positive On Nissan Deal And Limited Tariff Exposure (OTCMKTS:RNSDF)  Seeking Alpha,Renault: Positive On Nissan Deal And Limited Tariff Exposure (OTCMKTS:RNSDF) - Seeking Alpha. Renault: Positive On Nissan Deal And Limited Tariff Exposure (OTCMKTS:RNSDF)  Seeking Alpha,,1.0,neutral,2025-05-04 09:36:00
NSANY,Nissan,Nissan's shares rise after restructuring loss heralds turnaround - Reuters,Nissan's shares rise after restructuring loss heralds turnaround  Reuters,Nissan's shares rise after restructuring loss heralds turnaround - Reuters. Nissan's shares rise after restructuring loss heralds turnaround  Reuters,,0.9998442,neutral,2025-04-24 07:00:00
NSANY,Nissan,Nissan's shares rise after restructuring loss heralds turnaround - Yahoo Finance,Nissan's shares rise after restructuring loss heralds turnaround  Yahoo Finance,Nissan's shares rise after restructuring loss heralds turnaround - Yahoo Finance. Nissan's shares rise after restructuring loss heralds turnaround  Yahoo Finance,,0.9998379,neutral,2025-04-24 07:00:00
NSANY,Nissan,Nissan aims to 'max out' U.S. production plant amid Trump's tariffs - CNBC,Nissan aims to 'max out' U.S. production plant amid Trump's tariffs  CNBC,Nissan aims to 'max out' U.S. production plant amid Trump's tariffs - CNBC. Nissan aims to 'max out' U.S. production plant amid Trump's tariffs  CNBC,,-0.999918,negative,2025-04-16 07:00:00
NSANY,Nissan,"Nissan to cut Japanese production of top-selling US model due to tariffs, source says - Yahoo Finance","Nissan to cut Japanese production of top-selling US model due to tariffs, source says  Yahoo Finance","Nissan to cut Japanese production of top-selling US model due to tariffs, source says - Yahoo Finance. Nissan to cut Japanese production of top-selling US model due to tariffs, source says  Yahoo Finance",,-0.82159996,negative,2025-04-14 07:00:00
NSANY,Nissan,Nissan stock rallies as Foxconn flags Japan EV ambitions - Investing.com,Nissan stock rallies as Foxconn flags Japan EV ambitions  Investing.com,Nissan stock rallies as Foxconn flags Japan EV ambitions - Investing.com. Nissan stock rallies as Foxconn flags Japan EV ambitions  Investing.com,,-0.999998,negative,2025-04-09 07:00:00
NSANY,Nissan,Nissan to Develop EV Platform to Underpin Production of Up to 5 EVs - Nasdaq,Nissan to Develop EV Platform to Underpin Production of Up to 5 EVs  Nasdaq,Nissan to Develop EV Platform to Underpin Production of Up to 5 EVs - Nasdaq. Nissan to Develop EV Platform to Underpin Production of Up to 5 EVs  Nasdaq,,-0.9000475,negative,2025-04-09 07:00:00
NSANY,Nissan,UK AI start-up Wayve clinches first carmaker deal with Nissan - Financial Times,UK AI start-up Wayve clinches first carmaker deal with Nissan  Financial Times,UK AI start-up Wayve clinches first carmaker deal with Nissan - Financial Times. UK AI start-up Wayve clinches first carmaker deal with Nissan  Financial Times,,-0.9999355,negative,2025-04-09 07:00:00
NSANY,Nissan,How Mississippi Nissan plant is trying to avoid Trump tariffs - The Clarion-Ledger,How Mississippi Nissan plant is trying to avoid Trump tariffs  The Clarion-Ledger,How Mississippi Nissan plant is trying to avoid Trump tariffs - The Clarion-Ledger. How Mississippi Nissan plant is trying to avoid Trump tariffs  The Clarion-Ledger,,-0.99962485,negative,2025-04-07 07:00:00
NSANY,Nissan,"Nissan considers transferring some domestic production to US, Nikkei says - Reuters","Nissan considers transferring some domestic production to US, Nikkei says  Reuters","Nissan considers transferring some domestic production to US, Nikkei says - Reuters. Nissan considers transferring some domestic production to US, Nikkei says  Reuters",,-0.99998677,negative,2025-04-05 07:00:00
NSANY,Nissan,Tariffs Prompt Nissan U-Turn on Tennessee Plant Making Rogue SUV - WSJ,Tariffs Prompt Nissan U-Turn on Tennessee Plant Making Rogue SUV  WSJ,Tariffs Prompt Nissan U-Turn on Tennessee Plant Making Rogue SUV - WSJ. Tariffs Prompt Nissan U-Turn on Tennessee Plant Making Rogue SUV  WSJ,,-0.9999852,negative,2025-04-04 07:00:00
