ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
SAIC,SAIC Motor,(SAIC) Technical Data - news.stocktradersdaily.com,(SAIC) Technical Data  news.stocktradersdaily.com,(SAIC) Technical Data - news.stocktradersdaily.com. (SAIC) Technical Data  news.stocktradersdaily.com,,-0.9999982,negative,2025-05-04 07:06:00
SAIC,SAIC Motor,SAIC Secures $55 Million Contract for Space Architecture Integration | SAIC Stock News - GuruFocus,SAIC Secures $55 Million Contract for Space Architecture Integration | SAIC Stock News  GuruFocus,SAIC Secures $55 Million Contract for Space Architecture Integration | SAIC Stock News - GuruFocus. SAIC Secures $55 Million Contract for Space Architecture Integration | SAIC Stock News  GuruFocus,,-0.99653375,negative,2025-05-01 13:35:28
SAIC,SAIC Motor,SAIC Awarded New $55 Million Mission Integration Contract From Space Development Agency - Stock Titan,SAIC Awarded New $55 Million Mission Integration Contract From Space Development Agency  Stock Titan,SAIC Awarded New $55 Million Mission Integration Contract From Space Development Agency - Stock Titan. SAIC Awarded New $55 Million Mission Integration Contract From Space Development Agency  Stock Titan,,0.7318131,neutral,2025-05-01 12:30:00
SAIC,SAIC Motor,SAIC Secures $136.43 Million Contract for MK 48 Torpedo Componen - GuruFocus,SAIC Secures $136.43 Million Contract for MK 48 Torpedo Componen  GuruFocus,SAIC Secures $136.43 Million Contract for MK 48 Torpedo Componen - GuruFocus. SAIC Secures $136.43 Million Contract for MK 48 Torpedo Componen  GuruFocus,,-0.99985135,negative,2025-04-30 23:50:38
SAIC,SAIC Motor,SAIC and Bluescape Announce Strategic Partnership to Deliver Sec - GuruFocus,SAIC and Bluescape Announce Strategic Partnership to Deliver Sec  GuruFocus,SAIC and Bluescape Announce Strategic Partnership to Deliver Sec - GuruFocus. SAIC and Bluescape Announce Strategic Partnership to Deliver Sec  GuruFocus,,0.930274,neutral,2025-04-30 17:10:04
SAIC,SAIC Motor,SAIC Partners with Bluescape to Enhance Defense Virtual Workspace | SAIC Stock News - GuruFocus,SAIC Partners with Bluescape to Enhance Defense Virtual Workspace | SAIC Stock News  GuruFocus,SAIC Partners with Bluescape to Enhance Defense Virtual Workspace | SAIC Stock News - GuruFocus. SAIC Partners with Bluescape to Enhance Defense Virtual Workspace | SAIC Stock News  GuruFocus,,0.9971347,neutral,2025-04-30 17:09:01
SAIC,SAIC Motor,SAIC Establishes Strategic Partnership with Bluescape to Enhance Virtual Collaboration for Department of Defense and Government Agencies - Nasdaq,SAIC Establishes Strategic Partnership with Bluescape to Enhance Virtual Collaboration for Department of Defense and Government Agencies  Nasdaq,SAIC Establishes Strategic Partnership with Bluescape to Enhance Virtual Collaboration for Department of Defense and Government Agencies - Nasdaq. SAIC Establishes Strategic Partnership with Bluescape to Enhance Virtual Collaboration for Department of Defense and Government Agencies  Nasdaq,,0.9867257,neutral,2025-04-30 12:44:00
SAIC,SAIC Motor,SAIC Revolutionizes Defense Operations with Secure Bluescape Partnership for Critical Military Missions - Stock Titan,SAIC Revolutionizes Defense Operations with Secure Bluescape Partnership for Critical Military Missions  Stock Titan,SAIC Revolutionizes Defense Operations with Secure Bluescape Partnership for Critical Military Missions - Stock Titan. SAIC Revolutionizes Defense Operations with Secure Bluescape Partnership for Critical Military Missions  Stock Titan,,-0.9134787,negative,2025-04-30 12:30:00
SAIC,SAIC Motor,Should Value Investors Buy Science Applications International (SAIC) Stock? - Nasdaq,Should Value Investors Buy Science Applications International (SAIC) Stock?  Nasdaq,Should Value Investors Buy Science Applications International (SAIC) Stock? - Nasdaq. Should Value Investors Buy Science Applications International (SAIC) Stock?  Nasdaq,,0.61408615,neutral,2025-04-29 13:40:00
SAIC,SAIC Motor,Science Applications International Corp. (SAIC): Among Mid- And Large-Cap Stocks Insiders Are Buying After Trump’s Tariff Rollout - Yahoo Finance,Science Applications International Corp. (SAIC): Among Mid- And Large-Cap Stocks Insiders Are Buying After Trump’s Tariff Rollout  Yahoo Finance,Science Applications International Corp. (SAIC): Among Mid- And Large-Cap Stocks Insiders Are Buying After Trump’s Tariff Rollout - Yahoo Finance. Science Applications International Corp. (SAIC): Among Mid- And Large-Cap Stocks Insiders Are Buying After Trump’s Tariff Rollout  Yahoo Finance,,-0.9999943,negative,2025-04-16 07:00:00
