ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
WFC,Wells Fargo,Is Wells Fargo & Company (WFC) The Most Profitable Cheap Stock to Buy Now? - Yahoo Finance,Is Wells Fargo & Company (WFC) The Most Profitable Cheap Stock to Buy Now?  Yahoo Finance,Is Wells Fargo & Company (WFC) The Most Profitable Cheap Stock to Buy Now? - Yahoo Finance. Is Wells Fargo & Company (WFC) The Most Profitable Cheap Stock to Buy Now?  Yahoo Finance,,0.99987555,neutral,2025-05-04 15:20:06
WFC,Wells Fargo,"Wells Fargo & Company (NYSE:WFC) Passed Our Checks, And It's About To Pay A US$0.40 Dividend - Yahoo Finance","Wells Fargo & Company (NYSE:WFC) Passed Our Checks, And It's About To Pay A US$0.40 Dividend  Yahoo Finance","Wells Fargo & Company (NYSE:WFC) Passed Our Checks, And It's About To Pay A US$0.40 Dividend - Yahoo Finance. Wells Fargo & Company (NYSE:WFC) Passed Our Checks, And It's About To Pay A US$0.40 Dividend  Yahoo Finance",,-0.9999416,negative,2025-05-04 12:16:59
WFC,Wells Fargo,"South Plains Financial Inc. Buys Shares of 4,038 Wells Fargo & Company (NYSE:WFC) - MarketBeat","South Plains Financial Inc. Buys Shares of 4,038 Wells Fargo & Company (NYSE:WFC)  MarketBeat","South Plains Financial Inc. Buys Shares of 4,038 Wells Fargo & Company (NYSE:WFC) - MarketBeat. South Plains Financial Inc. Buys Shares of 4,038 Wells Fargo & Company (NYSE:WFC)  MarketBeat",,-0.9999355,negative,2025-05-04 10:38:05
WFC,Wells Fargo,Wells Fargo & Company MN Grows Stock Holdings in Applied Digital Co. (NASDAQ:APLD) - MarketBeat,Wells Fargo & Company MN Grows Stock Holdings in Applied Digital Co. (NASDAQ:APLD)  MarketBeat,Wells Fargo & Company MN Grows Stock Holdings in Applied Digital Co. (NASDAQ:APLD) - MarketBeat. Wells Fargo & Company MN Grows Stock Holdings in Applied Digital Co. (NASDAQ:APLD)  MarketBeat,,-0.9999969,negative,2025-05-04 08:46:34
WFC,Wells Fargo,"Wells Fargo & Company MN Has $703,000 Stock Holdings in IPG Photonics Co. (NASDAQ:IPGP) - MarketBeat","Wells Fargo & Company MN Has $703,000 Stock Holdings in IPG Photonics Co. (NASDAQ:IPGP)  MarketBeat","Wells Fargo & Company MN Has $703,000 Stock Holdings in IPG Photonics Co. (NASDAQ:IPGP) - MarketBeat. Wells Fargo & Company MN Has $703,000 Stock Holdings in IPG Photonics Co. (NASDAQ:IPGP)  MarketBeat",,-0.99999774,negative,2025-05-04 07:39:36
WFC,Wells Fargo,Wells Fargo & Company MN Raises Stock Position in Fidelis Insurance Holdings Limited (NYSE:FIHL) - MarketBeat,Wells Fargo & Company MN Raises Stock Position in Fidelis Insurance Holdings Limited (NYSE:FIHL)  MarketBeat,Wells Fargo & Company MN Raises Stock Position in Fidelis Insurance Holdings Limited (NYSE:FIHL) - MarketBeat. Wells Fargo & Company MN Raises Stock Position in Fidelis Insurance Holdings Limited (NYSE:FIHL)  MarketBeat,,-0.99915266,negative,2025-05-04 07:39:35
WFC,Wells Fargo,"Wells Fargo & Company MN Sells 52,331 Shares of BlackRock TCP Capital Corp. (NASDAQ:TCPC) - MarketBeat","Wells Fargo & Company MN Sells 52,331 Shares of BlackRock TCP Capital Corp. (NASDAQ:TCPC)  MarketBeat","Wells Fargo & Company MN Sells 52,331 Shares of BlackRock TCP Capital Corp. (NASDAQ:TCPC) - MarketBeat. Wells Fargo & Company MN Sells 52,331 Shares of BlackRock TCP Capital Corp. (NASDAQ:TCPC)  MarketBeat",,-0.9999989,negative,2025-05-04 07:39:33
WFC,Wells Fargo,"Wells Fargo could see material earnings upside if asset cap is lifted, analyst says (WFC:NYSE) - Seeking Alpha","Wells Fargo could see material earnings upside if asset cap is lifted, analyst says (WFC:NYSE)  Seeking Alpha","Wells Fargo could see material earnings upside if asset cap is lifted, analyst says (WFC:NYSE) - Seeking Alpha. Wells Fargo could see material earnings upside if asset cap is lifted, analyst says (WFC:NYSE)  Seeking Alpha",,1.0,neutral,2025-05-03 20:05:00
WFC,Wells Fargo,Blue Rock Wealth Management LLC Purchases New Position in Wells Fargo & Company (NYSE:WFC) - MarketBeat,Blue Rock Wealth Management LLC Purchases New Position in Wells Fargo & Company (NYSE:WFC)  MarketBeat,Blue Rock Wealth Management LLC Purchases New Position in Wells Fargo & Company (NYSE:WFC) - MarketBeat. Blue Rock Wealth Management LLC Purchases New Position in Wells Fargo & Company (NYSE:WFC)  MarketBeat,,-0.9977762,negative,2025-05-03 12:21:16
WFC,Wells Fargo,"Mercer Global Advisors Inc. ADV Acquires 23,989 Shares of Wells Fargo & Company (NYSE:WFC) - MarketBeat","Mercer Global Advisors Inc. ADV Acquires 23,989 Shares of Wells Fargo & Company (NYSE:WFC)  MarketBeat","Mercer Global Advisors Inc. ADV Acquires 23,989 Shares of Wells Fargo & Company (NYSE:WFC) - MarketBeat. Mercer Global Advisors Inc. ADV Acquires 23,989 Shares of Wells Fargo & Company (NYSE:WFC)  MarketBeat",,-0.9999838,negative,2025-05-03 12:01:33
WFC,Wells Fargo,Freestone Grove Partners LP Makes New $43.86 Million Investment in Wells Fargo & Company (NYSE:WFC) - MarketBeat,Freestone Grove Partners LP Makes New $43.86 Million Investment in Wells Fargo & Company (NYSE:WFC)  MarketBeat,Freestone Grove Partners LP Makes New $43.86 Million Investment in Wells Fargo & Company (NYSE:WFC) - MarketBeat. Freestone Grove Partners LP Makes New $43.86 Million Investment in Wells Fargo & Company (NYSE:WFC)  MarketBeat,,-0.9999987,negative,2025-05-03 11:05:28
WFC,Wells Fargo,"Wells Fargo & Company MN Sells 23,763 Shares of Fox Co. (NASDAQ:FOX) - MarketBeat","Wells Fargo & Company MN Sells 23,763 Shares of Fox Co. (NASDAQ:FOX)  MarketBeat","Wells Fargo & Company MN Sells 23,763 Shares of Fox Co. (NASDAQ:FOX) - MarketBeat. Wells Fargo & Company MN Sells 23,763 Shares of Fox Co. (NASDAQ:FOX)  MarketBeat",,-0.99999905,negative,2025-05-03 07:47:34
WFC,Wells Fargo,"Wells Fargo & Company MN Purchases 19,178 Shares of Sable Offshore Corp. (NYSE:SOC) - MarketBeat","Wells Fargo & Company MN Purchases 19,178 Shares of Sable Offshore Corp. (NYSE:SOC)  MarketBeat","Wells Fargo & Company MN Purchases 19,178 Shares of Sable Offshore Corp. (NYSE:SOC) - MarketBeat. Wells Fargo & Company MN Purchases 19,178 Shares of Sable Offshore Corp. (NYSE:SOC)  MarketBeat",,-0.99999726,negative,2025-05-03 07:45:19
WFC,Wells Fargo,"Wells Fargo & Company MN Sells 8,628 Shares of Columbia Sportswear (NASDAQ:COLM) - MarketBeat","Wells Fargo & Company MN Sells 8,628 Shares of Columbia Sportswear (NASDAQ:COLM)  MarketBeat","Wells Fargo & Company MN Sells 8,628 Shares of Columbia Sportswear (NASDAQ:COLM) - MarketBeat. Wells Fargo & Company MN Sells 8,628 Shares of Columbia Sportswear (NASDAQ:COLM)  MarketBeat",,-0.999995,negative,2025-05-03 07:45:18
WFC,Wells Fargo,American Woodmark Co. (NASDAQ:AMWD) Shares Sold by Wells Fargo & Company MN - MarketBeat,American Woodmark Co. (NASDAQ:AMWD) Shares Sold by Wells Fargo & Company MN  MarketBeat,American Woodmark Co. (NASDAQ:AMWD) Shares Sold by Wells Fargo & Company MN - MarketBeat. American Woodmark Co. (NASDAQ:AMWD) Shares Sold by Wells Fargo & Company MN  MarketBeat,,-0.9999964,negative,2025-05-03 07:45:17
WFC,Wells Fargo,KKR Stock: Wells Fargo Raises Price Target to $136 | KKR Stock N - GuruFocus,KKR Stock: Wells Fargo Raises Price Target to $136 | KKR Stock N  GuruFocus,KKR Stock: Wells Fargo Raises Price Target to $136 | KKR Stock N - GuruFocus. KKR Stock: Wells Fargo Raises Price Target to $136 | KKR Stock N  GuruFocus,,-0.70609534,negative,2025-05-02 21:54:07
WFC,Wells Fargo,Floor & Decor Hldgs (FND) PT Lowered by Wells Fargo to $75 | FND Stock News - GuruFocus,Floor & Decor Hldgs (FND) PT Lowered by Wells Fargo to $75 | FND Stock News  GuruFocus,Floor & Decor Hldgs (FND) PT Lowered by Wells Fargo to $75 | FND Stock News - GuruFocus. Floor & Decor Hldgs (FND) PT Lowered by Wells Fargo to $75 | FND Stock News  GuruFocus,,-0.9386889,negative,2025-05-02 19:33:47
WFC,Wells Fargo,Southern Company (SO) Sees Price Target Raise by Wells Fargo | SO Stock News - GuruFocus,Southern Company (SO) Sees Price Target Raise by Wells Fargo | SO Stock News  GuruFocus,Southern Company (SO) Sees Price Target Raise by Wells Fargo | SO Stock News - GuruFocus. Southern Company (SO) Sees Price Target Raise by Wells Fargo | SO Stock News  GuruFocus,,-0.99158806,negative,2025-05-02 19:33:10
WFC,Wells Fargo,DTE Energy (DTE) Price Target Raised by Wells Fargo | DTE Stock News - GuruFocus,DTE Energy (DTE) Price Target Raised by Wells Fargo | DTE Stock News  GuruFocus,DTE Energy (DTE) Price Target Raised by Wells Fargo | DTE Stock News - GuruFocus. DTE Energy (DTE) Price Target Raised by Wells Fargo | DTE Stock News  GuruFocus,,-0.9945437,negative,2025-05-02 19:32:25
WFC,Wells Fargo,Consolidated Edison (ED) Sees Price Target Raised by Wells Fargo | ED Stock News - GuruFocus,Consolidated Edison (ED) Sees Price Target Raised by Wells Fargo | ED Stock News  GuruFocus,Consolidated Edison (ED) Sees Price Target Raised by Wells Fargo | ED Stock News - GuruFocus. Consolidated Edison (ED) Sees Price Target Raised by Wells Fargo | ED Stock News  GuruFocus,,-0.99866533,negative,2025-05-02 19:32:12
WFC,Wells Fargo,HWM Stock: Wells Fargo Raises Price Target to $145 | HWM Stock News - GuruFocus,HWM Stock: Wells Fargo Raises Price Target to $145 | HWM Stock News  GuruFocus,HWM Stock: Wells Fargo Raises Price Target to $145 | HWM Stock News - GuruFocus. HWM Stock: Wells Fargo Raises Price Target to $145 | HWM Stock News  GuruFocus,,-0.7688017,negative,2025-05-02 19:32:02
WFC,Wells Fargo,Aptiv (APTV) Price Target Lowered by Wells Fargo | APTV Stock News - GuruFocus,Aptiv (APTV) Price Target Lowered by Wells Fargo | APTV Stock News  GuruFocus,Aptiv (APTV) Price Target Lowered by Wells Fargo | APTV Stock News - GuruFocus. Aptiv (APTV) Price Target Lowered by Wells Fargo | APTV Stock News  GuruFocus,,0.7086479,positive,2025-05-02 19:31:38
WFC,Wells Fargo,Baxter Intl (BAX): Wells Fargo Lowers Price Target to $33 | BAX Stock News - GuruFocus,Baxter Intl (BAX): Wells Fargo Lowers Price Target to $33 | BAX Stock News  GuruFocus,Baxter Intl (BAX): Wells Fargo Lowers Price Target to $33 | BAX Stock News - GuruFocus. Baxter Intl (BAX): Wells Fargo Lowers Price Target to $33 | BAX Stock News  GuruFocus,,0.9931566,positive,2025-05-02 19:31:29
WFC,Wells Fargo,PBF Energy (PBF) Sees Target Price Cut by Wells Fargo | PBF Stock News - GuruFocus,PBF Energy (PBF) Sees Target Price Cut by Wells Fargo | PBF Stock News  GuruFocus,PBF Energy (PBF) Sees Target Price Cut by Wells Fargo | PBF Stock News - GuruFocus. PBF Energy (PBF) Sees Target Price Cut by Wells Fargo | PBF Stock News  GuruFocus,,-0.99893826,negative,2025-05-02 19:31:12
WFC,Wells Fargo,Wells Fargo Raises Roblox (RBLX) Price Target to $78 | RBLX Stock News - GuruFocus,Wells Fargo Raises Roblox (RBLX) Price Target to $78 | RBLX Stock News  GuruFocus,Wells Fargo Raises Roblox (RBLX) Price Target to $78 | RBLX Stock News - GuruFocus. Wells Fargo Raises Roblox (RBLX) Price Target to $78 | RBLX Stock News  GuruFocus,,-0.8074727,negative,2025-05-02 19:31:01
WFC,Wells Fargo,"Wells Fargo Upgrades iRhythm Technologies Stock, Raises Price Target To $130: Retail’s Thrilled - MSN","Wells Fargo Upgrades iRhythm Technologies Stock, Raises Price Target To $130: Retail’s Thrilled  MSN","Wells Fargo Upgrades iRhythm Technologies Stock, Raises Price Target To $130: Retail’s Thrilled - MSN. Wells Fargo Upgrades iRhythm Technologies Stock, Raises Price Target To $130: Retail’s Thrilled  MSN",,-0.93899953,negative,2025-05-02 16:40:00
