ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
XPEV,XPeng,XPeng Inc. (NYSE:XPEV) Holdings Boosted by Alibaba Group Holding Ltd - MarketBeat,XPeng Inc. (NYSE:XPEV) Holdings Boosted by Alibaba Group Holding Ltd  MarketBeat,XPeng Inc. (NYSE:XPEV) Holdings Boosted by Alibaba Group Holding Ltd - MarketBeat. XPeng Inc. (NYSE:XPEV) Holdings Boosted by Alibaba Group Holding Ltd  MarketBeat,,-0.9999858,negative,2025-05-04 12:10:10
XPEV,XPeng,XPeng (NYSE:XPEV) Shares Gap Down - Here's Why - MarketBeat,XPeng (NYSE:XPEV) Shares Gap Down - Here's Why  MarketBeat,XPeng (NYSE:XPEV) Shares Gap Down - Here's Why - MarketBeat. XPeng (NYSE:XPEV) Shares Gap Down - Here's Why  MarketBeat,,0.9978091,positive,2025-05-04 06:47:49
XPEV,XPeng,"Optiver Holding B.V. Purchases Shares of 97,500 XPeng Inc. (NYSE:XPEV) - MarketBeat","Optiver Holding B.V. Purchases Shares of 97,500 XPeng Inc. (NYSE:XPEV)  MarketBeat","Optiver Holding B.V. Purchases Shares of 97,500 XPeng Inc. (NYSE:XPEV) - MarketBeat. Optiver Holding B.V. Purchases Shares of 97,500 XPeng Inc. (NYSE:XPEV)  MarketBeat",,-0.9999975,negative,2025-05-03 18:31:23
XPEV,XPeng,"Orland Properties Ltd Sells 2,000,000 Shares of XPeng Inc. (NYSE:XPEV) - MarketBeat","Orland Properties Ltd Sells 2,000,000 Shares of XPeng Inc. (NYSE:XPEV)  MarketBeat","Orland Properties Ltd Sells 2,000,000 Shares of XPeng Inc. (NYSE:XPEV) - MarketBeat. Orland Properties Ltd Sells 2,000,000 Shares of XPeng Inc. (NYSE:XPEV)  MarketBeat",,-0.9999968,negative,2025-05-03 07:00:00
XPEV,XPeng,"Mariner LLC Acquires 18,892 Shares of XPeng Inc. (NYSE:XPEV) - MarketBeat","Mariner LLC Acquires 18,892 Shares of XPeng Inc. (NYSE:XPEV)  MarketBeat","Mariner LLC Acquires 18,892 Shares of XPeng Inc. (NYSE:XPEV) - MarketBeat. Mariner LLC Acquires 18,892 Shares of XPeng Inc. (NYSE:XPEV)  MarketBeat",,-0.9997764,negative,2025-05-02 19:16:33
XPEV,XPeng,"Tesla Optimus Vs. XPeng Iron: The $5 Trillion 'Iron Man' Showdown - XPeng (NYSE:XPEV), Tesla (NASDAQ:TSLA) - Benzinga","Tesla Optimus Vs. XPeng Iron: The $5 Trillion 'Iron Man' Showdown - XPeng (NYSE:XPEV), Tesla (NASDAQ:TSLA)  Benzinga","Tesla Optimus Vs. XPeng Iron: The $5 Trillion 'Iron Man' Showdown - XPeng (NYSE:XPEV), Tesla (NASDAQ:TSLA) - Benzinga. Tesla Optimus Vs. XPeng Iron: The $5 Trillion 'Iron Man' Showdown - XPeng (NYSE:XPEV), Tesla (NASDAQ:TSLA)  Benzinga",,-0.99999917,negative,2025-05-02 16:46:54
XPEV,XPeng,"NIO, XPeng and Li Auto Report Delivery Results for April - TradingView","NIO, XPeng and Li Auto Report Delivery Results for April  TradingView","NIO, XPeng and Li Auto Report Delivery Results for April - TradingView. NIO, XPeng and Li Auto Report Delivery Results for April  TradingView",,-0.9999987,negative,2025-05-02 14:26:00
XPEV,XPeng,XPeng (XPEV) Reports Impressive April EV Delivery Results - GuruFocus,XPeng (XPEV) Reports Impressive April EV Delivery Results  GuruFocus,XPeng (XPEV) Reports Impressive April EV Delivery Results - GuruFocus. XPeng (XPEV) Reports Impressive April EV Delivery Results  GuruFocus,,1.0,neutral,2025-05-02 10:03:03
XPEV,XPeng,"Leapmotor, XPeng See Triple-Digit Surge in April Sales - marketscreener.com","Leapmotor, XPeng See Triple-Digit Surge in April Sales  marketscreener.com","Leapmotor, XPeng See Triple-Digit Surge in April Sales - marketscreener.com. Leapmotor, XPeng See Triple-Digit Surge in April Sales  marketscreener.com",,0.9999999,neutral,2025-05-02 06:49:14
XPEV,XPeng,"Chinese HK-listed EV stocks rally on upbeat delivery figures, Xpeng leads gains - Investing.com","Chinese HK-listed EV stocks rally on upbeat delivery figures, Xpeng leads gains  Investing.com","Chinese HK-listed EV stocks rally on upbeat delivery figures, Xpeng leads gains - Investing.com. Chinese HK-listed EV stocks rally on upbeat delivery figures, Xpeng leads gains  Investing.com",,0.9999988,neutral,2025-05-02 05:48:35
XPEV,XPeng,XPeng Deliveries Soar. That’s Good and Bad for Tesla. - MSN,XPeng Deliveries Soar. That’s Good and Bad for Tesla.  MSN,XPeng Deliveries Soar. That’s Good and Bad for Tesla. - MSN. XPeng Deliveries Soar. That’s Good and Bad for Tesla.  MSN,,0.94335693,neutral,2025-05-01 22:54:27
XPEV,XPeng,XPeng (NYSE:XPEV) Achieves 273% YoY Increase In April Smart EV Deliveries - simplywall.st,XPeng (NYSE:XPEV) Achieves 273% YoY Increase In April Smart EV Deliveries  simplywall.st,XPeng (NYSE:XPEV) Achieves 273% YoY Increase In April Smart EV Deliveries - simplywall.st. XPeng (NYSE:XPEV) Achieves 273% YoY Increase In April Smart EV Deliveries  simplywall.st,,0.99997437,neutral,2025-05-01 18:50:35
